episode,timesteps,episode_reward,episode_length,entropy
1,12,0.3248067978962941,12,2.4775166511535645
2,58,-1.0138604406526297,46,2.4723825454711914
3,62,8.222979449737487,4,2.4765090942382812
4,66,7.1140708809173026,4,2.462113618850708
5,74,7.78671471109339,8,2.4788527488708496
6,80,3.741490196488912,6,2.4745633602142334
7,140,-15.000145178556874,60,2.4792709350585938
8,166,3.060955817910843,26,2.469756841659546
9,168,1.764187676953312,2,2.47629976272583
10,173,5.904282800506851,5,2.475367784500122
11,177,9.295216450919595,4,2.4735238552093506
12,193,1.081148217084202,16,2.4677000045776367
13,205,3.494391278871672,12,2.4766547679901123
14,227,6.082628603839067,22,2.4760477542877197
15,230,3.6864787825341914,3,2.45680832862854
16,290,-17.392059860795996,60,2.4647321701049805
17,303,-0.6849646893313455,13,2.470289468765259
18,311,1.8683820856496423,8,2.4618849754333496
19,320,6.52212765351866,9,2.460991859436035
20,374,-6.174703997464039,54,2.4713170528411865
21,392,2.8964390440131993,18,2.463552236557007
22,452,-19.94606432779493,60,2.463564157485962
23,453,5.983151236679375,1,2.4549524784088135
24,468,6.703009653116396,15,2.459397792816162
25,480,1.7098287369601297,12,2.453045606613159
26,540,-23.449875613177873,60,2.4505209922790527
27,551,2.4558421436257634,11,2.448643922805786
28,611,-15.629338385740235,60,2.448009729385376
29,621,8.442160041414743,10,2.4490859508514404
30,623,3.6308321270204282,2,2.440882682800293
31,634,2.0472716875902517,11,2.4518401622772217
32,639,3.185489186835796,5,2.4445817470550537
33,645,3.942382383515982,6,2.442101240158081
34,652,-2.1600896109935293,7,2.453221082687378
35,653,6.4327270723924475,1,2.440021276473999
36,656,8.226512896555098,3,2.439714193344116
37,669,4.898258644668905,13,2.431457757949829
38,683,-1.2513930820294965,14,2.430027723312378
39,695,8.465480103500528,12,2.4386003017425537
40,700,8.573404946062373,5,2.4307169914245605
41,708,-0.5323086254780888,8,2.428140163421631
42,710,5.744357347082434,2,2.4395296573638916
43,770,-18.039639806960327,60,2.4390385150909424
44,782,8.04118443349839,12,2.439173936843872
45,795,9.319604023381569,13,2.4550483226776123
46,803,2.6957478135216917,8,2.4477202892303467
47,805,6.005049574453228,2,2.443484306335449
48,835,-0.3698291837827281,30,2.427706480026245
49,840,9.508921688450156,5,2.440117120742798
50,855,2.1083651872405316,15,2.4508278369903564
51,904,-8.35564088102452,49,2.4517600536346436
52,934,4.855723152673233,30,2.4427409172058105
53,953,1.0132135067732504,19,2.4457807540893555
54,1013,-21.408881090371118,60,2.4362034797668457
55,1032,-0.5314392752829524,19,2.4374520778656006
56,1074,-1.0065647431621434,42,2.45682430267334
57,1076,4.916766369647685,2,2.442750930786133
58,1078,8.590580448062132,2,2.4493355751037598
59,1090,-0.4444425098585092,12,2.45253324508667
60,1101,5.874121615834469,11,2.431140184402466
61,1102,5.683235541262887,1,2.4459142684936523
62,1162,-22.27161471328579,60,2.443267345428467
63,1164,8.399457536166953,2,2.4543991088867188
64,1193,-0.9417715271083136,29,2.4200968742370605
65,1253,-18.769712169353323,60,2.4366581439971924
66,1313,-11.455179660984575,60,2.4548609256744385
67,1318,5.841836809917519,5,2.436412811279297
68,1327,6.447243465285602,9,2.4361281394958496
69,1387,-23.80921211216742,60,2.4427154064178467
70,1447,-12.445775264729814,60,2.427882194519043
71,1465,-1.3410673130668942,18,2.432433605194092
72,1469,0.6632226401166625,4,2.4408154487609863
73,1529,-17.57823693741038,60,2.44985294342041
74,1541,6.200600550866402,12,2.446410894393921
75,1542,1.4108538109084838,1,2.452082872390747
76,1554,5.3549426366101684,12,2.4383351802825928
