#{"t_start": 1785395450.3813584, "env_id": "None"}
r,l,t
8.694166,2,397.184567
6.385353,1,398.389844
5.285192,4,399.638021
7.736548,7,400.84785
7.546676,6,402.069258
3.479338,14,403.56532
8.438022,2,404.792022
7.130712,5,406.103029
5.391775,1,407.284803
0.323983,1,408.457361
-43.896241,60,410.99608
-29.036093,60,413.529908
-32.23048,60,415.991083
7.902764,1,417.188071
-26.627416,60,419.870823
7.629197,25,421.69764
-28.149523,60,424.011798
1.878646,11,425.509573
4.76476,20,427.12625
5.949243,1,428.313147
4.486781,9,429.593199
7.780478,2,430.756774
4.478723,14,432.175051
4.010632,6,433.350756
2.264779,5,434.594804
-20.907665,60,437.17823
4.781884,7,438.425082
1.610097,2,439.564066
1.70351,8,440.78455
4.538083,9,442.147911
7.683538,22,443.686972
4.016093,9,445.057858
-21.678529,60,447.61818
4.535891,1,448.87752
6.576611,2,450.150678
7.582156,6,451.389681
8.249392,1,452.557424
0.701003,16,453.951786
4.691262,2,455.159103
4.628528,5,456.402878
5.59935,19,457.911868
6.720781,1,459.054486
4.642454,7,460.389743
1.287539,11,461.750181
1.526469,7,463.034771
8.367125,2,464.214324
3.99194,3,465.322733
6.443203,23,466.900915
4.720097,2,468.137178
6.938686,1,469.25212
-19.815797,60,471.672832
6.572712,6,472.954632
6.356902,5,474.216614
3.034681,10,475.590305
3.802558,36,477.585004
4.770187,2,478.742777
3.625345,1,479.942869
6.835169,6,481.217717
2.533476,20,482.928618
6.706696,5,484.200699
5.838526,8,485.438339
4.996634,25,487.192097
-20.756813,60,489.706674
8.086344,2,490.944882
-6.344976,44,492.955675
8.893658,7,494.255023
-14.673795,60,496.706143
2.227054,19,498.249513
-23.425247,60,500.78749
3.423497,2,502.042589
5.402353,24,503.719811
4.654548,15,505.237421
2.356761,5,506.493965
7.651377,2,507.70384
9.614584,3,508.970238
3.993055,10,510.411342
7.405606,1,511.619619
4.614662,12,513.0277
1.621432,24,514.794077
5.553921,2,516.063854
5.637798,4,517.29563
4.006519,3,518.429709
0.309258,11,519.905509
4.874966,38,521.897928
-0.158285,11,523.291935
-6.50812,30,525.092441
4.484808,21,526.749558
1.402543,14,528.227701
-11.808197,60,530.814666
8.850121,7,532.17051
-10.711278,56,534.579677
-2.570145,37,536.546374
7.492797,2,537.786427
-13.014408,60,540.363261
1.963553,37,542.419308
4.908904,4,543.590769
2.437974,5,544.90605
3.469267,21,546.484867
3.720093,7,547.701588
-15.281,60,550.07147
2.598937,14,551.592784
9.407335,10,552.981984
2.263376,18,554.570168
-20.061963,60,557.036236
-10.00034,18,558.662494
6.413976,2,559.889361
7.26539,5,560.979753
9.839474,1,562.112984
-21.734439,60,564.589733
1.342171,9,565.90951
7.804464,4,567.170478
-0.399488,26,568.98785
-20.086247,60,571.52194
1.799759,17,572.975435
0.994393,17,574.467345
6.147175,27,576.09849
-2.83507,33,577.955788
7.782535,8,579.31276
3.372567,1,580.543899
-20.941391,60,582.959708
4.09879,30,584.862562
8.864677,6,586.098627
8.231274,2,587.288818
5.856875,7,588.601477
6.577097,3,589.84761
6.540614,6,591.176833
-0.472477,23,592.822176
4.014611,14,594.435993
6.648545,3,595.630639
-7.87772,40,597.527188
