time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
123,1,125.5,4,-34.2533775,512,,,,,,,,,,
116,2,152.75,8,-40.975168249999996,1024,0.0003,10,-2.48214738368988,1.5269577503204346,0.0045349454,7.37026849091053,0.1,-0.031867146492004395,-0.020338810852263123,0.2474609375
111,3,166.375,13,-38.049043624999996,1536,0.0003,20,-2.476787140965462,1.3530499935150146,0.004443563,3.7953147649765016,0.1,-0.060266852378845215,-0.012302353768609465,0.1052734375
111,4,169.1,18,-37.41499019999999,2048,0.0003,30,-2.4673090666532516,1.3330854177474976,0.0034674555,3.3824529990553858,0.1,0.08865207433700562,-0.010257590480614453,0.097265625
110,5,170.91666666666666,23,-36.97266658333333,2560,0.0003,40,-2.4581779837608337,0.700494647026062,0.004721376,2.3713167682290077,0.1,0.22400593757629395,-0.011075929360231385,0.1470703125
110,6,173.1875,27,-35.6711176875,3072,0.0003,50,-2.4507935523986815,0.8904000520706177,0.003745554,2.4575890734791757,0.1,0.3519999384880066,-0.010046652765595354,0.1294921875
110,7,171.66666666666666,32,-34.3261485,3584,0.0003,60,-2.444656202197075,0.3712865710258484,0.0039415183,0.9597347266972065,0.1,0.781829297542572,-0.009650718478951603,0.1478515625
109,8,170.28571428571428,37,-32.339390571428574,4096,0.0003,70,-2.4330203235149384,0.30543941259384155,0.0033512644,1.5295514345169068,0.1,0.7235252261161804,-0.011622227437328547,0.1515625
109,9,170.76,41,-30.687730920000003,4608,0.0003,80,-2.432335910201073,0.5075821876525879,0.0036372838,1.2700897954404353,0.1,0.6968620121479034,-0.0076730877859517935,0.1197265625
107,10,171.75,47,-30.20648017857143,5120,0.0003,90,-2.4181405782699583,0.2571345865726471,0.004430565,0.7034567080438137,0.1,0.9055697098374367,-0.015343508578371256,0.233984375
107,11,171.83333333333334,52,-29.687145233333332,5632,0.0003,100,-2.4032475531101225,0.1833685040473938,0.004019603,0.5563853520900011,0.1,0.9093519523739815,-0.01426651511574164,0.1814453125
107,12,172.57575757575756,57,-29.467343575757578,6144,0.0003,110,-2.383115640282631,0.4711652398109436,0.0039128074,0.9823119729757309,0.1,0.8450081050395966,-0.012701888079755008,0.185546875
107,13,173.3783783783784,61,-29.14594075675676,6656,0.0003,120,-2.367215833067894,0.1970910280942917,0.0044711195,0.8585215866565704,0.1,0.8856837823987007,-0.015590989764314145,0.22890625
108,14,173.71794871794873,66,-28.832788282051286,7168,0.0003,130,-2.352080437541008,0.07130246609449387,0.004624145,0.2851121164858341,0.1,0.9643617309629917,-0.012010271602775902,0.21171875
107,15,174.16666666666666,71,-28.457327690476195,7680,0.0003,140,-2.332428354024887,0.04697667062282562,0.0038260426,0.3508921707049012,0.1,0.9582809582352638,-0.009471441083587707,0.16953125
107,16,174.55555555555554,76,-28.15774853333334,8192,0.0003,150,-2.309885227680206,0.31812646985054016,0.004589624,0.6162721138447523,0.1,0.9241150543093681,-0.016103688231669366,0.2625
107,17,174.89583333333334,80,-27.66776733333333,8704,0.0003,160,-2.297519874572754,0.028567399829626083,0.0047513545,0.2260072685778141,0.1,0.9611621350049973,-0.011595307470997795,0.18515625
108,18,175.1,85,-27.381133139999996,9216,0.0003,170,-2.31400688290596,0.011604933068156242,0.0041332804,0.1302989566233009,0.1,0.9742219056934118,-0.010313731268979609,0.16171875
