#{"t_start": 1785377359.0395722, "env_id": "None"}
r,l,t
1.10532,2,2.74202
4.754024,8,8.155175
6.029755,5,9.472433
7.006343,4,10.745705
-15.788364,60,20.643883
3.066262,6,21.953048
7.165674,3,25.490606
3.26532,3,26.632356
-10.942942,60,47.115851
-21.918603,60,58.433801
4.165915,11,62.159693
7.048994,13,65.884616
5.979163,5,67.145094
4.56807,5,68.398539
6.487632,1,69.640703
-0.1669,29,77.989384
-22.774907,60,92.638441
5.674064,5,96.147958
5.372776,14,103.067191
1.670655,4,105.919304
2.353419,2,107.11436
7.304268,10,115.302283
-39.112349,60,125.213914
7.284839,3,126.333559
6.291236,4,128.806454
3.937303,4,134.446512
-21.041051,60,149.549325
1.511376,5,150.84922
8.053553,9,155.499367
5.521802,5,158.504026
5.285392,6,161.040777
7.246357,1,162.228037
8.251781,6,163.586417
-28.261539,60,181.953894
4.94129,2,184.121311
3.094802,5,186.346601
0.270394,1,187.360339
6.735903,3,188.635667
8.473052,9,190.02187
1.408658,4,191.261387
4.086253,6,192.5956
8.738872,3,193.807718
4.437146,8,196.327372
-3.713193,23,206.576278
3.860872,6,210.09765
6.136992,1,211.952608
0.41536,2,213.184948
4.064421,7,217.481511
-4.383769,9,219.942962
5.772499,1,220.974443
4.843494,1,222.126421
2.233272,2,224.227106
6.402137,4,226.67419
3.736027,4,227.920902
-25.205097,60,246.461986
-0.226431,11,248.891055
1.572959,17,257.761919
0.062422,9,259.203934
6.04705,15,263.015019
7.483631,6,264.307086
-33.521437,60,279.868813
7.332963,1,281.724778
7.242799,2,282.871996
7.221873,3,284.142911
4.992841,7,288.820439
1.157599,5,290.216868
-24.241984,60,313.466135
7.605345,8,318.827011
3.291172,4,322.010819
8.36308,8,325.760021
5.004541,1,327.354697
7.997357,3,329.07009
-32.627176,60,342.368933
7.663133,2,344.695714
6.13969,9,347.870291
4.658816,8,350.402759
5.851524,3,351.637618
6.907353,4,352.888891
6.799689,11,355.523186
-15.062142,60,371.104485
-1.677258,3,374.028542
8.019234,5,377.440212
0.46164,11,385.026777
0.490765,4,388.479059
6.34006,4,390.937388
6.962657,5,394.059033
-23.286228,60,412.426335
5.924066,1,414.190262
7.07105,1,415.524974
8.592792,2,416.774538
6.892684,1,417.853742
5.781385,2,419.062174
2.416679,6,422.637752
9.35435,1,423.847369
7.865088,3,425.179504
-28.741814,60,442.993439
7.552953,2,444.209914
0.008543,6,445.509691
7.750807,5,447.865198
8.939339,3,449.11017
6.438373,4,453.101174
7.374712,4,454.43733
-41.971838,60,470.83509
9.038122,1,472.631056
7.452429,1,473.81476
4.149478,3,476.177842
5.812068,6,477.530433
6.185496,1,478.68867
-28.603188,60,493.584268
-14.090703,38,506.867242
5.112176,5,509.313046
7.029121,1,510.497077
7.9384,3,511.686215
0.358757,8,513.074119
8.764295,2,514.321764
5.884887,6,515.6991
-11.67078,37,525.418763
4.249238,3,526.62991
6.516849,14,531.503393
8.172243,1,533.376074
4.614952,4,534.675629
7.695911,10,539.283041
3.764527,8,541.787655
4.060501,9,543.27414
0.68968,14,547.159869
2.184607,6,549.139392
-20.577898,60,568.612251
2.911831,1,569.756668
5.318335,8,574.459769
9.303395,18,582.843829
5.797114,9,586.502737
1.290638,5,587.781044
4.878269,3,588.998292
0.692952,2,592.173422
-9.197547,19,597.186384
-20.365587,60,611.698224
0.891473,15,620.393401
-11.171879,29,637.803667
-27.463859,60,647.070857
7.041643,3,648.298499
-25.083098,60,675.041802
-26.882998,60,695.776527
-15.482925,60,705.872787
7.646358,8,712.590209
-26.158062,60,728.941005
-7.727437,29,735.536788
8.206336,12,738.023467
5.258067,8,739.403465
2.614811,3,740.601653
0.215598,10,741.975605
-25.978305,60,764.049722
5.835506,6,767.4679
4.734079,5,768.769831
4.898165,6,772.335316
4.719168,5,773.688616
-15.724468,60,782.567288
2.330162,28,791.476269
7.622018,5,795.070535
7.159811,1,796.940237
8.501355,2,798.10081
8.193145,1,799.226419
