length,success,freeze_attempted,terminal_d_mm
60,False,False,51.081406569942025
60,False,False,41.178746854384165
60,False,False,13.954393902919954
60,False,False,13.061078140860394
60,False,False,33.56355916999948
60,False,False,34.51425927289037
60,False,False,0.9549884585954034
60,False,False,25.42130835702876
60,False,False,2.3156364554516933
60,False,False,17.791605072838216
60,False,False,68.65590323047114
60,False,False,11.021102153297273
60,False,False,28.57760809571916
60,False,False,40.003316631052954
60,False,False,21.319031584493313
60,False,False,48.88508330874179
60,False,False,9.683415917668013
60,False,False,58.620566381422044
60,False,False,12.432656677585241
60,False,False,34.961178272483664
60,False,False,37.91008499339554
60,False,False,24.74140098308541
60,False,False,21.838320301788997
60,False,False,56.142124046069526
60,False,False,28.22040094660566
60,False,False,31.618914572196537
60,False,False,56.455543130680006
60,False,False,46.37520543625133
60,False,False,76.50666569801125
60,False,False,35.885729632809046
60,False,False,34.467181343868084
60,False,False,0.7052358902092868
60,False,False,14.488921065408066
60,False,False,25.365613712966336
60,False,False,18.41215353239793
60,False,False,22.54145577246873
60,False,False,44.31907300736669
60,False,False,43.39721999440658
60,False,False,34.43196733827126
60,False,False,24.354094074174807
60,False,False,63.18984491811381
60,False,False,71.2662848481536
60,False,False,25.52917473145531
60,False,False,7.5751481528923135
60,False,False,35.59800423451814
60,False,False,50.60902470085915
60,False,False,33.77354751234445
60,False,False,53.140298838464126
60,False,False,5.193030130123499
60,False,False,0.28577351583359245
60,False,False,22.364044467057898
60,False,False,23.083026355922325
60,False,False,12.870907629803405
60,False,False,15.971944648315612
60,False,False,15.062098216754787
60,False,False,32.96078596840348
60,False,False,7.206585233390763
60,False,False,23.115358111630414
60,False,False,20.93278580211072
60,False,False,27.33151953501108
60,False,False,41.553108355039164
60,False,False,62.205980221201635
60,False,False,1.7911926279830652
60,False,False,38.699734118336
60,False,False,70.20111684599401
60,False,False,1.2280878776748487
60,False,False,59.15405458599779
60,False,False,57.27867806497597
60,False,False,17.34055140339967
60,False,False,48.07299909399639
60,False,False,31.4630252572489
60,False,False,17.596196216786865
60,False,False,11.605586457737692
60,False,False,13.036398075256965
60,False,False,15.528467832759508
60,False,False,30.806231825214635
60,False,False,17.88180199872188
60,False,False,24.87180529705586
60,False,False,24.513248022036567
60,False,False,48.84804684650035
60,False,False,42.25517859808481
60,False,False,35.45530582802057
60,False,False,66.39131390172662
60,False,False,32.83068842874886
60,False,False,21.278630403017672
60,False,False,0.8298847554557426
60,False,False,18.64309772099182
60,False,False,13.522952530289498
60,False,False,47.569124214785546
60,False,False,38.5750995492046
60,False,False,18.021797774884014
60,False,False,42.67501432555587
60,False,False,42.10995572270218
60,False,False,66.54119926638886
60,False,False,5.8399389568620546
60,False,False,50.676835264818635
60,False,False,57.38204816102627
60,False,False,33.36221574815044
60,False,False,36.25125671870129
60,False,False,29.045164516779447
