#{"t_start": 1785392240.8345144, "env_id": "None"}
r,l,t
1.10532,2,2.599615
4.754024,8,7.205406
6.029755,5,8.4197
7.006343,4,9.658188
-16.099391,60,23.550935
3.066262,6,24.843909
7.165674,3,27.158005
3.26532,3,28.26506
5.010784,4,30.531782
-2.012691,52,42.650104
1.939474,14,46.161726
8.478958,5,47.4638
5.595825,3,48.593208
5.071197,17,50.206029
-15.509873,60,60.957902
1.785581,35,70.407598
-0.31613,14,75.299464
7.718858,9,80.006265
3.752885,8,81.489565
1.430689,28,85.021874
2.323213,18,89.172889
2.205767,2,90.577748
-2.651637,25,100.061377
8.61906,1,101.288099
2.654277,3,102.622804
3.050195,9,104.149509
6.527847,6,106.816546
5.712574,8,109.492069
0.95569,5,110.88669
-18.739452,60,128.226304
-15.726709,60,144.744688
4.188686,3,146.158446
0.653675,5,147.626025
8.052751,3,149.590482
-11.843197,53,163.074313
7.168893,3,164.416462
0.282503,13,167.436186
7.351199,6,170.141736
3.164427,3,172.798782
2.692867,8,177.773472
5.178503,17,185.596263
-29.496944,60,201.272746
2.620406,17,206.987262
7.069164,1,208.156269
7.932204,1,209.338016
4.424913,3,211.731675
2.054706,11,216.898149
7.434914,7,219.77711
7.074597,1,221.009903
-13.246419,60,239.378654
-32.256313,60,261.166407
6.579735,3,262.761646
5.765366,3,264.328936
7.893711,7,267.384258
6.155428,5,268.922771
-17.996589,60,280.476733
5.696113,8,285.353156
4.193744,12,289.79215
5.870428,7,293.159288
6.620328,5,294.760316
-30.218317,60,309.005332
6.021718,11,313.684882
0.833661,3,315.419914
5.045347,4,317.099123
-18.508438,60,333.727196
4.846749,14,343.133349
6.29967,5,347.771754
5.411254,10,357.130523
8.472068,1,358.576081
-21.007614,60,375.452713
6.589027,6,379.802294
0.310673,2,381.163057
4.735906,6,384.122699
8.982652,4,385.689957
5.944679,2,387.080213
3.905013,7,392.801942
-3.317719,8,394.505462
-26.667447,60,408.641336
-0.054789,3,410.168273
-20.126636,60,424.62659
-30.493403,60,446.319473
5.40852,3,447.627859
0.307435,1,449.026957
4.06676,6,450.533305
1.220473,14,454.850478
6.840213,10,458.159292
6.140318,3,459.45259
0.146584,9,463.896188
-0.053601,4,465.260922
1.058941,11,470.859399
5.773265,10,475.019245
7.508001,4,476.415726
4.794175,16,485.278268
3.624632,13,489.916053
-22.618357,60,509.217091
4.456937,4,510.652305
1.29996,9,514.761073
4.909092,14,517.799047
8.946416,6,520.762263
3.643497,11,522.454378
-0.90372,6,525.221741
1.623546,6,528.351106
4.401616,2,529.684128
2.692323,29,541.120807
0.524921,7,544.296402
5.559093,8,550.150043
-22.867511,60,572.760918
-20.0958,60,595.587224
-1.300952,11,598.504316
4.774862,1,599.795348
2.336831,28,615.678538
2.515093,9,623.908555
3.571921,8,625.53685
7.51289,2,628.041286
5.801031,5,629.542166
-28.119677,60,656.661205
4.810282,10,659.678996
6.0787,2,661.047758
7.223769,2,662.410722
5.248971,3,663.786829
2.075566,10,665.315126
-32.044045,60,686.875551
5.350803,6,688.841976
1.625399,2,690.276094
7.838593,2,692.910419
6.604773,10,698.93962
-18.939984,60,709.396499
5.891916,2,710.951995
5.340564,10,713.936729
9.908283,1,715.323642
-6.426636,24,720.092723
1.371655,5,721.604515
-30.707757,60,744.509025
7.220109,7,746.070677
9.040683,3,747.435112
4.741285,10,750.533023
-0.159971,2,751.813009
0.964647,1,753.024077
5.879723,2,755.594431
8.15961,2,757.004804
5.084372,2,758.286057
2.68673,20,764.444169
7.469003,5,767.345824
0.714978,1,768.63327
5.694225,7,771.449307
5.500519,8,774.27564
5.300913,3,777.442344
3.433167,4,779.044615
2.474071,14,782.390226
3.065271,11,784.951724
7.64993,2,786.304615
8.585141,2,787.652171
8.364401,2,788.922665
0.306165,10,790.567315
3.820457,8,794.572262
8.389424,2,796.354085
6.810267,1,797.64706
4.955134,5,800.797637
5.340793,6,802.206578
3.955636,2,803.490806
-1.98964,21,814.253219
-30.64993,60,831.955786
8.725065,1,833.143173
4.194154,3,835.379753
8.211038,4,836.825492
9.156786,5,839.557634
7.216324,10,842.398523
9.184425,5,845.126705
6.197084,8,850.383176
8.129406,5,855.492618
6.797946,6,859.377326
-22.809356,60,877.280612
8.683997,1,878.599654
7.396789,8,880.072552
4.382309,9,884.890958
7.114272,9,892.301768
7.542593,1,893.760183
6.253538,4,895.10644
1.059356,8,898.828835
7.888788,6,900.355498
8.460866,5,902.901854
8.467786,1,904.093712
-4.352393,27,908.607935
5.723608,9,914.836868
8.045208,14,921.539999
3.046758,5,922.744795
-29.965699,60,936.913168
2.039169,8,943.267012
9.626899,1,944.680845
5.867048,3,947.151195
-11.987502,31,962.849963
-4.572955,15,972.034887
9.247067,1,973.437648
-33.544878,60,994.950889
4.781281,2,996.205689
-23.300413,60,1014.257415
-21.861756,60,1034.294158
7.939609,5,1038.071526
4.100065,6,1039.622012
-33.99056,60,1049.775437
7.51402,30,1061.786284
4.113114,2,1064.1936
-11.579036,46,1072.791442
4.573715,5,1077.157537
-0.903083,8,1079.71291
5.755188,2,1081.101185
6.8948,1,1082.494731
-0.064864,2,1083.833608
-5.864074,11,1088.901266
8.428063,8,1092.766682
5.761435,4,1094.12775
3.564888,6,1097.930043
5.9417,6,1099.482359
-28.810641,60,1111.856647
7.041475,3,1114.306151
0.683265,3,1115.86211
0.514897,4,1118.345032
6.755734,9,1125.827583
-25.712685,60,1142.081986
5.176763,6,1143.5507
-0.89091,16,1145.33192
6.50947,4,1146.733192
6.707989,2,1147.993294
-21.101948,60,1166.435844
-32.341201,60,1178.225085
3.389815,6,1182.147976
5.964129,12,1186.255368
6.78568,3,1187.616852
9.583947,6,1190.017368
5.865948,3,1191.237154
3.884425,25,1202.805245
7.647914,1,1204.11141
6.398231,1,1205.275383
0.769975,8,1210.586065
9.896466,1,1211.814232
-31.112425,60,1224.705622
8.958363,1,1225.918212
8.461991,2,1227.159588
7.609301,17,1235.079215
7.845675,1,1236.298026
0.766714,12,1245.078537
5.106247,10,1249.081338
3.948624,32,1255.261493
1.201438,5,1256.708606
2.175788,2,1257.895488
7.54859,4,1259.285013
-1.303104,15,1267.420786
9.626282,2,1268.709216
3.731405,4,1270.140554
8.382637,2,1271.470361
7.347981,4,1275.210646
7.821814,3,1277.950173
6.834867,6,1279.350385
6.605673,8,1287.0494
-2.29332,6,1288.430765
1.403056,8,1292.462543
6.157797,1,1293.686359
4.274926,2,1294.98438
5.309781,12,1298.714097
6.381601,4,1300.022813
3.252325,3,1301.476023
4.953953,4,1302.681763
2.714193,3,1304.048332
2.182389,4,1305.359806
1.973723,4,1306.687598
6.738557,3,1308.02158
3.650343,13,1312.138857
5.112961,9,1316.080387
-16.777984,40,1326.726716
2.779373,1,1327.94461
