length,success,freeze_attempted,terminal_d_mm
60,False,False,68.58277337140665
60,False,False,123.80067089787741
60,False,False,29.658730784866552
60,False,False,56.441720857768466
60,False,False,77.82934124847684
60,False,False,109.67572481038243
60,False,False,113.2258959891699
60,False,False,55.75711355635348
60,False,False,33.01244287948509
60,False,False,59.73965682705611
60,False,False,86.31893614167156
60,False,False,18.942276980383387
60,False,False,35.70876604986202
60,False,False,127.31195681263216
60,False,False,93.65282313818777
60,False,False,19.769085144470434
60,False,False,59.98030728593419
60,False,False,91.35702026611055
60,False,False,6.515011691153955
60,False,False,64.98420976065543
60,False,False,3.9498429928452428
60,False,False,63.85818758409051
60,False,False,119.42298640578159
60,False,False,38.19517996558973
60,False,False,86.58016777837946
60,False,False,30.74641304073219
60,False,False,36.031164645564964
60,False,False,11.123548901630787
60,False,False,25.534777669873247
60,False,False,92.20656195948675
60,False,False,19.07834429134583
60,False,False,63.452678367589165
60,False,False,31.66564884652044
60,False,False,2.0091237289882358
60,False,False,42.29381470240281
60,False,False,38.311213527147196
60,False,False,86.21127291656762
60,False,False,4.41626460061794
60,False,False,2.9716499174385764
60,False,False,30.389962264292166
60,False,False,16.64448092165465
60,False,False,64.65067755574891
60,False,False,36.70649644510521
60,False,False,6.1811809673972675
60,False,False,7.31316650366704
60,False,False,4.087580568827333
60,False,False,23.881784351175668
60,False,False,5.677774751228832
60,False,False,45.08217989037032
60,False,False,9.454064356826041
60,False,False,7.34244560408567
60,False,False,5.297145940486504
60,False,False,63.62257714006466
60,False,False,14.11407169336819
60,False,False,39.775912375601784
60,False,False,43.07811037226968
60,False,False,55.89157561079594
60,False,False,21.93476908122445
60,False,False,53.74813222080806
60,False,False,136.85784735308164
60,False,False,36.076482283314796
60,False,False,118.82550034195185
60,False,False,61.29961590983125
60,False,False,68.2094049265277
60,False,False,28.058674700329405
60,False,False,19.580396446190424
60,False,False,23.970987610139293
60,False,False,12.14085790778669
60,False,False,120.98486972766332
60,False,False,7.220949708255373
60,False,False,27.939764891252036
60,False,False,69.16605865370248
60,False,False,25.33362263756182
60,False,False,49.75162295547226
60,False,False,34.71562431972949
60,False,False,1.3293095953302703
60,False,False,128.98657785035377
60,False,False,12.553455194471455
60,False,False,5.8286240646733125
60,False,False,33.48947465912414
60,False,False,22.43729973565272
60,False,False,126.18482575583815
60,False,False,19.530669545528422
60,False,False,109.09901530282379
60,False,False,3.0330267648174503
60,False,False,65.1767081672015
60,False,False,82.58965456257503
60,False,False,4.834096405775499
60,False,False,5.772218802046574
60,False,False,22.86254976367648
60,False,False,18.962954887972
60,False,False,85.1397232220725
60,False,False,41.531486727564705
60,False,False,141.88314240497647
60,False,False,93.69710123877827
60,False,False,82.97169666308415
60,False,False,104.75180190935075
60,False,False,134.48754569870988
60,False,False,57.67975039730254
60,False,False,80.17921395710307
