time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/loss,train/explained_variance
1,512,9,-6.504735375,60.0,52,,,,,,,,,,
2,1024,19,-6.6063466875,60.0,53,-2.475484645366669,0.8111790375784039,0.020853693,0.0003,0.15390625,10,-0.019959623529575764,0.2,0.10496840626001358,-0.1548711061477661
3,1536,28,-6.543455583333333,60.0,53,-2.461945980787277,0.28060388755984605,0.012069127,0.0003,0.0740234375,20,-0.01226764934253879,0.2,0.000582374632358551,0.3895970582962036
4,2048,39,-6.536762625,60.0,52,-2.461436316370964,0.07172092531109228,0.010441378,0.0003,0.101171875,30,-0.01396800396614708,0.2,-0.01818903535604477,0.33764517307281494
5,2560,49,-6.5262402999999996,60.0,51,-2.46058494746685,0.04958242699503899,0.012105143,0.0003,0.06328125,40,-0.012342408119002357,0.2,-0.009091462939977646,-0.8182400465011597
6,3072,59,-6.527429895833333,60.0,51,-2.448126804828644,0.044876861432567236,0.007850574,0.0003,0.0513671875,50,-0.009101650206139312,0.2,0.0005047228187322617,-1.0122168064117432
7,3584,68,-6.515171357142857,60.0,51,-2.4418538600206374,0.034637819649651645,0.011064125,0.0003,0.0875,60,-0.015637469489593058,0.2,-0.03246635943651199,0.059009432792663574
8,4096,80,-6.50678975,60.0,50,-2.43225482404232,0.029340384469833225,0.009705394,0.0003,0.040625,70,-0.011318483098875731,0.2,0.00015336228534579277,0.5157811939716339
9,4608,90,-6.5026286578947365,60.0,50,-2.4255307376384736,0.01920884222490713,0.012606595,0.0003,0.073046875,80,-0.015300628734985366,0.2,0.014899088069796562,0.7607279866933823
10,5120,99,-6.502290440476191,60.0,51,-2.410750797390938,0.010077694879146292,0.008864896,0.0003,0.06171875,90,-0.01159030826529488,0.2,-0.014791760593652725,0.91231869161129
11,5632,108,-6.49418222826087,60.0,51,-2.4002031803131105,0.009643642674200236,0.011947286,0.0003,0.119140625,100,-0.020232042798306794,0.2,-0.046079568564891815,0.9068576321005821
12,6144,117,-6.500430590000001,60.0,52,-2.39153833091259,0.01006167932646349,0.011409145,0.0003,0.1240234375,110,-0.022365284513216465,0.2,-0.03639056161046028,0.8958036750555038
13,6656,126,-6.489257880000001,60.0,52,-2.3827344506978987,0.006960521097062156,0.01022058,0.0003,0.07265625,120,-0.013755759777268395,0.2,-0.01816972717642784,0.9184110388159752
14,7168,135,-6.469475610000001,60.0,52,-2.3544655323028563,0.003970225699595176,0.012052984,0.0003,0.1443359375,130,-0.02073757735779509,0.2,-0.040575116872787476,0.9511296972632408
15,7680,145,-6.458550749999998,60.0,52,-2.3429229497909545,0.008580783096840605,0.013654931,0.0003,0.1544921875,140,-0.02373358204495162,0.2,-0.007865417748689651,0.9204478189349174
16,8192,154,-6.45887929,60.0,52,-2.3218323320150374,0.006284451409010216,0.01474124,0.0003,0.1740234375,150,-0.026280744711402803,0.2,-0.02122461050748825,0.9251380488276482
17,8704,163,-6.43283193,60.0,53,-2.309316647052765,0.006884248205460608,0.010613887,0.0003,0.08515625,160,-0.01661880676401779,0.2,-0.05267263948917389,0.9283775612711906
18,9216,172,-6.4476482399999995,60.0,53,-2.290004074573517,0.00837095670576673,0.012684399,0.0003,0.1990234375,170,-0.025251634512096645,0.2,-0.03759859502315521,0.8986475244164467
19,9728,181,-6.421224390000001,60.0,53,-2.254438430070877,0.01730042485287413,0.011692746,0.0003,0.077734375,180,-0.015875362453516572,0.2,-0.027055997401475906,0.7297171056270599
20,10240,190,-6.406447910000001,60.0,53,-2.214620587229729,0.012102405831683427,0.010128414,0.0003,0.089453125,190,-0.014363058330491184,0.2,-0.034759826958179474,0.8499044179916382
21,10752,199,-6.385745310000001,60.0,53,-2.141787898540497,0.011624357488472015,0.011426157,0.0003,0.1134765625,200,-0.014290972930029965,0.2,-0.007973919622600079,0.8372972905635834
22,11264,208,-6.3593571,60.0,54,-2.1492565304040907,0.015138890227535739,0.011842536,0.0003,0.096484375,210,-0.014975927874911577,0.2,-0.017502158880233765,0.8568015396595001
23,11776,218,-6.330927919999999,60.0,53,-2.069555625319481,0.011859028920298442,0.010701524,0.0003,0.0904296875,220,-0.012254787271376699,0.2,-0.015105281956493855,0.847482904791832
24,12288,227,-6.330252599999999,60.0,54,-2.119674375653267,0.017626031266991048,0.012805168,0.0003,0.10703125,230,-0.015071134839672595,0.2,-0.0034860828891396523,0.8280969709157944
25,12800,236,-6.32461952,60.0,54,-2.1174330830574037,0.011361692810896783,0.009031613,0.0003,0.0693359375,240,-0.011513179005123674,0.2,-0.02138972282409668,0.8752304762601852
26,13312,245,-6.302873549999999,60.0,54,-2.1035552084445954,0.020620998821686953,0.012490557,0.0003,0.1099609375,250,-0.015272201644256711,0.2,-0.025453660637140274,0.7708475142717361
27,13824,254,-6.312062879999998,60.0,54,-2.0458550304174423,0.022058586496859788,0.014645591,0.0003,0.148046875,260,-0.017407335236202925,0.2,0.003329644910991192,0.7218203544616699
28,14336,263,-6.3105028700000005,60.0,54,-2.006863351166248,0.0246817760867998,0.008273806,0.0003,0.076953125,270,-0.01249309831764549,0.2,-0.03624751418828964,0.7045967280864716
29,14848,271,-6.33299935,60.0,54,-1.9978798747062683,0.010637141310144215,0.013255946,0.0003,0.1197265625,280,-0.01685638651251793,0.2,0.0020358136389404535,0.8621483892202377
30,15360,281,-6.3126684399999995,60.0,54,-1.9573071956634522,0.03341172673972324,0.012924709,0.0003,0.18125,290,-0.01925196108641103,0.2,-0.004385169595479965,0.6921737194061279
31,15872,290,-6.328280459999999,60.0,54,-2.000494134426117,0.02771001714281738,0.010422271,0.0003,0.0662109375,300,-0.011274800292449072,0.2,-0.014755635522305965,0.7611788958311081
32,16384,299,-6.39949382,60.0,54,-2.0867147535085677,0.024238365422934293,0.012809796,0.0003,0.1271484375,310,-0.019718337850645185,0.2,-0.029929451644420624,0.7513641566038132
