run_id,learning_rate,gamma,n_steps,gae_lambda,entropy_coef,clip_range,net_arch,timesteps_to_70pct_success_proxy,success_proxy_auc,timesteps_to_positive_reward,reward_auc,reward_std,reward_cv,success_proxy_rate_final,final_mean_reward,success_proxy_rate_overall,n_episodes,mean_episode_length,wall_clock_s
20260730_053623_single_target_grid_combo0_seed0,0.0003,0.99,128,0.95,0.0,0.1,"[64, 64]",15126,0.821538059484557,15149.0,0.5339961025524222,9.5464965340884,1.2923001263300213,0.8342541436464088,0.7197796243093926,0.8335183129855716,901,16.961154273029965,1119.337446
20260730_053623_single_target_grid_combo1_seed0,0.0003,0.99,128,0.95,0.0,0.2,"[64, 64]",13478,0.816869739858835,15196.0,-0.20275940884285906,10.606330963053825,1.3314397196883287,0.8232044198895028,-0.13893711049723748,0.831858407079646,904,16.902654867256636,1135.337639
20260730_053623_single_target_grid_combo2_seed0,0.0003,0.99,128,0.95,0.01,0.1,"[64, 64]",12166,0.802893363023728,14760.0,-0.16045084382436584,9.789472300461535,1.2885624922330643,0.8837209302325582,1.7151461744186045,0.824009324009324,858,17.731934731934732,1105.385115
20260730_053623_single_target_grid_combo3_seed0,0.0003,0.99,128,0.95,0.01,0.2,"[64, 64]",13432,0.8097962608752207,15080.0,-0.008093601045719845,10.033652753628667,1.2998231600907795,0.8187134502923976,0.2654915087719299,0.8208430913348946,854,17.905152224824356,1067.698062
20260730_053623_single_target_grid_combo4_seed0,0.0003,0.99,256,0.95,0.0,0.1,"[64, 64]",11888,0.7966949462358534,14802.0,-0.057149891055674217,9.570304664768809,1.2596866001410303,0.8509316770186336,1.4014415341614905,0.8102372034956304,801,19.039950062421973,1008.990205
20260730_053623_single_target_grid_combo5_seed0,0.0003,0.99,256,0.95,0.0,0.2,"[64, 64]",12263,0.7976872548727283,14259.0,-0.33608365082759506,9.955681239171478,1.3022588124327787,0.9047619047619048,2.0531551071428575,0.8210023866348448,838,18.255369928400956,1053.032886
20260730_053623_single_target_grid_combo6_seed0,0.0003,0.99,256,0.95,0.01,0.1,"[64, 64]",13843,0.8034501225918927,14816.0,-0.2294457721225958,9.47443493597017,1.2722419283907749,0.8506493506493507,0.5779144415584416,0.8181818181818182,770,19.863636363636363,975.552422
20260730_053623_single_target_grid_combo7_seed0,0.0003,0.99,256,0.95,0.01,0.2,"[64, 64]",12210,0.7616104660685218,14164.0,-0.5307847132497291,10.081140361342074,1.2696557637460537,0.8322147651006712,1.3616806845637583,0.7732793522267206,741,20.65991902834008,925.666864
20260730_053623_single_target_grid_combo8_seed0,0.0001,0.99,128,0.95,0.0,0.1,"[64, 64]",15234,0.8329702369309151,,0.10216842486477895,10.377077980335699,1.3364219577193217,0.8547486033519553,-0.35273850837988835,0.8408071748878924,892,17.152466367713004,1110.877451
20260730_053623_single_target_grid_combo9_seed0,0.0001,0.99,128,0.95,0.0,0.2,"[64, 64]",12107,0.857113775346174,,0.49667182999930987,10.895679253001987,1.375605445415749,0.8634146341463415,0.2908425658536587,0.8649706457925636,1022,14.960861056751467,1334.954201
