run_id,learning_rate,gamma,use_baseline,entropy_coef,net_arch,timesteps_to_70pct_success_proxy,success_proxy_auc,timesteps_to_positive_reward,reward_auc,reward_std,reward_cv,success_proxy_rate_final,final_mean_reward,success_proxy_rate_overall,n_episodes,mean_episode_length,wall_clock_s
20260730_083939_single_target_grid_combo0_seed0,0.001,0.99,True,0.0,"[64, 64]",6865.0,0.8226627473559188,6950.0,0.01802279520931399,9.16593383710015,1.3038072010396051,0.8266666666666667,0.74208636,0.8328840970350404,371,20.22911051212938,597.08839
20260730_083939_single_target_grid_combo1_seed0,0.001,0.99,True,0.01,"[64, 64]",6189.0,0.8471730738049528,,0.6228981730074487,9.333026196078055,1.2923367002563548,0.813953488372093,0.4050131162790695,0.8551401869158879,428,17.535046728971963,639.234529
20260730_083939_single_target_grid_combo2_seed0,0.001,0.99,False,0.0,"[64, 64]",,0.8327260384951594,,0.17663932651936748,9.795961292543693,1.32074010269198,0.7804878048780488,-0.403359487804878,0.8378378378378378,407,18.43980343980344,634.260796
20260730_083939_single_target_grid_combo3_seed0,0.001,0.99,False,0.01,"[64, 64]",1947.0,0.8304549436309261,,-0.26355074599446315,10.69422828565613,1.3635714079344854,0.8214285714285714,-0.46522716666666647,0.8345323741007195,417,18.127098321342924,648.486161
20260730_083939_single_target_grid_combo4_seed0,0.0003,0.99,True,0.0,"[64, 64]",6471.0,0.7979476531575239,,-0.07120522672516785,9.081986508273468,1.2903852062594632,0.7605633802816901,-1.433256661971831,0.8039772727272727,352,21.400568181818183,572.256639
20260730_083939_single_target_grid_combo5_seed0,0.0003,0.99,True,0.01,"[64, 64]",6471.0,0.7979476531575239,,-0.07120522672516785,9.081986508273468,1.2903852062594632,0.7605633802816901,-1.433256661971831,0.8039772727272727,352,21.400568181818183,666.953288
20260730_083939_single_target_grid_combo6_seed0,0.0003,0.99,False,0.0,"[64, 64]",6316.0,0.7992424611906231,7423.0,-0.24897493947507926,8.669471635513679,1.2876358478694625,0.8412698412698413,0.5215233174603172,0.805111821086262,313,23.977635782747605,614.181765
20260730_083939_single_target_grid_combo7_seed0,0.0003,0.99,False,0.01,"[64, 64]",6316.0,0.7992424611906231,7423.0,-0.24897493947507926,8.669471635513679,1.2876358478694625,0.8412698412698413,0.5215233174603172,0.805111821086262,313,23.977635782747605,549.909739
20260730_083939_single_target_grid_combo8_seed0,0.0001,0.99,True,0.0,"[64, 64]",4500.0,0.8198734076509427,6732.0,0.763092961121558,7.863415331148557,1.232806160040901,0.875,2.52173375,0.8258426966292135,356,21.087078651685392,582.031704
20260730_083939_single_target_grid_combo9_seed0,0.0001,0.99,True,0.01,"[64, 64]",4500.0,0.8198734076509427,6732.0,0.763092961121558,7.863415331148557,1.232806160040901,0.875,2.52173375,0.8258426966292135,356,21.087078651685392,756.888429
20260730_083939_single_target_grid_combo10_seed0,0.0001,0.99,False,0.0,"[64, 64]",6803.0,0.798196491836859,7499.0,0.19804414320313557,8.321626763246748,1.2628694048845983,0.7761194029850746,-0.22590919402985074,0.8053892215568862,334,22.47005988023952,742.130541
