run_id,learning_rate,gamma,buffer_size,batch_size,target_update_interval,exploration_fraction,net_arch,timesteps_to_70pct_success_proxy,success_proxy_auc,timesteps_to_positive_reward,reward_auc,reward_std,reward_cv,success_proxy_rate_final,final_mean_reward,success_proxy_rate_overall,n_episodes,mean_episode_length,wall_clock_s
20260729_231349_single_target_grid_combo0_seed0,0.001,0.99,50000,64,500,0.2,"[64, 64]",,0.3665539832426839,,-4.382846909820743,9.708987654033406,1.1533947137966671,0.18181818181818182,-5.944899870129869,0.4,385,38.65974025974026,620.93152
20260729_231349_single_target_grid_combo1_seed0,0.001,0.99,50000,64,500,0.2,"[128, 128]",,0.3874017442653318,,-4.515377020124921,10.10441610637906,1.168301574686495,0.26582278481012656,-6.7338990632911395,0.4289340101522843,394,37.67766497461929,582.96945
20260729_231349_single_target_grid_combo2_seed0,0.001,0.99,50000,64,2000,0.2,"[64, 64]",,0.4771625452861342,,-3.2991410213747807,13.01974492017998,1.4576947855450182,0.391304347826087,-3.2947142065217387,0.5021739130434782,460,32.358695652173914,1393.329042
20260729_231349_single_target_grid_combo3_seed0,0.001,0.99,50000,64,2000,0.2,"[128, 128]",,0.524783002803749,,-2.809023545035026,12.883920147788357,1.4638229109021144,0.3883495145631068,-2.9234812718446603,0.568359375,512,28.9921875,4687.632394
20260729_231349_single_target_grid_combo4_seed0,0.001,0.99,50000,128,500,0.2,"[64, 64]",,0.30579810296397975,,-5.398966027126662,8.046153861567964,0.9892063782383737,0.058823529411764705,-7.844941411764704,0.3352941176470588,340,43.694117647058825,495.495942
20260729_231349_single_target_grid_combo5_seed0,0.001,0.99,50000,128,500,0.2,"[128, 128]",,0.27548142092181255,,-6.628594156338074,10.965151266140765,1.2453992107730756,0.2647058823529412,-5.338121794117647,0.3244047619047619,336,44.273809523809526,475.757188
20260729_231349_single_target_grid_combo6_seed0,0.001,0.99,50000,128,2000,0.2,"[64, 64]",,0.411909534896537,,-4.071055991933492,10.804510899370888,1.2491939292897118,0.225,-5.894081262499999,0.43073047858942065,397,37.544080604534,529.258266
20260729_231349_single_target_grid_combo7_seed0,0.001,0.99,50000,128,2000,0.2,"[128, 128]",,0.3991847780895675,,-4.484163392434563,10.831332826982665,1.2264205482927575,0.1927710843373494,-6.09603713253012,0.441747572815534,412,36.06553398058252,545.86508
20260729_231349_single_target_grid_combo8_seed0,0.00025,0.99,50000,64,500,0.2,"[64, 64]",,0.21490602607421938,,-6.0658155851607205,6.191062401110232,0.8100269648401514,0.0967741935483871,-7.322247403225807,0.26537216828478966,309,47.87702265372168,452.001528
20260729_231349_single_target_grid_combo9_seed0,0.00025,0.99,50000,64,500,0.2,"[128, 128]",,0.42067188634150304,,-4.145807716062284,13.213257043241425,1.4985736353209445,0.39285714285714285,-7.389786476190476,0.46904761904761905,420,35.36904761904762,583.363818
20260729_231349_single_target_grid_combo10_seed0,0.001,0.99,10000,64,2000,0.2,"[128, 128]",,0.5155825576316965,,-3.0749826077426183,13.179898391438261,1.4841654752528053,0.3465346534653465,-4.083234366336633,0.5597609561752988,502,29.59163346613546,960.124452
20260729_231349_single_target_grid_combo11_seed0,0.001,0.99,50000,64,2000,0.5,"[128, 128]",,0.41875699256310717,,-4.785829036436302,10.704253731093292,1.295988362986944,0.17045454545454544,-6.5441310227272735,0.5273972602739726,438,34.04109589041096,876.755716
