episode,length,success,freeze_attempted,terminal_alpha_deg,terminal_d_mm,total_reward
0,60,False,False,0.031278789947876647,89.23753038401017,-7.24307611582494
1,60,False,False,0.01997022558418305,108.46296820479327,-7.296783641419664
2,60,False,False,0.2420924670007664,6.318155026044417,-5.212817987317339
3,60,False,False,0.03892371301862971,27.37110373287848,-7.9535934001457615
4,60,False,False,48.22733455609482,87.59967460290929,-6.144982755637771
5,60,False,False,52.0744067827811,4.377384516194533,-7.082809425219866
6,60,False,False,0.2002128362135992,83.15217993541793,-7.213163314664079
7,60,False,False,0.2946852312161155,0.4289589178607579,-5.316008520902447
8,60,False,False,65.45430046223197,4.375113565692638,-7.090896681594823
9,60,False,False,0.2383825804391737,0.7136322736680345,-6.676135010033953
10,60,False,False,75.84940215334268,4.471570371969841,-6.322353863751292
11,60,False,False,34.335765112736844,108.0101460842704,-5.958830359079187
12,60,False,False,0.2831616170495182,59.09078798752804,-7.705866426388903
13,60,False,False,77.14976287784177,36.75794394232268,-6.576993602777848
14,60,False,False,0.06591507602921524,66.3448394712877,-7.45388187957249
15,60,False,False,0.3170551630312359,112.29137077544934,-6.647559746361665
16,60,False,False,0.3096391109218378,73.01886570857415,-5.436794206474936
17,60,False,False,0.14649405414087355,29.213608850332427,-6.104255080081153
18,60,False,False,0.07527396000278345,76.88765014959016,-7.327486964292395
19,60,False,False,40.54187583933349,65.09561404243007,-6.21189111143681
20,60,False,False,0.1579227986570224,26.167679405707574,-6.884572854826212
21,60,False,False,0.26425227234275883,15.597685956620701,-4.971044967898758
22,60,False,False,0.1743602337317093,104.16393705385538,-7.062125802143729
23,60,False,False,62.4314394401489,50.04425534753451,-6.421858288269287
24,60,False,False,0.29939143050341055,23.792902564036208,-6.559273146546236
25,60,False,False,52.24347059744108,63.516553793938144,-6.2895361068260724
26,60,False,False,0.268693186358788,107.98575104967372,-7.364259595770138
27,60,False,False,0.30697619822907596,9.762714985451689,-6.016188697144921
28,60,False,False,0.08008926957155078,8.026984209114088,-7.2802171276304755
29,60,False,False,74.71465829468565,38.45506395182395,-6.564332459308572
