#{"t_start": 1785332048.9867258, "env_id": "None"}
r,l,t,success,freeze_attempted,d_m,alpha_deg
0.503407,2,14.238147,True,True,0.0003940674062865813,16.860295096019225
8.664094,8,23.429493,True,True,0.002589391397853994,0.5485169570300241
-20.758771,60,43.467016,False,True,0.016296475555581044,20.830029385079023
-1.008196,21,52.77124,True,True,0.011984409617247917,7.40134987235759
5.560433,4,56.940603,True,True,0.0021108263590995935,6.59017655876457
-11.02717,60,3429.515301,False,True,0.012430514292936155,32.71502109820499
8.578752,2,3435.88645,True,True,0.0013366325116721395,2.4889054971784637
8.286261,4,3444.442362,True,True,0.004132855923855323,1.8551712858150256
9.342751,5,3450.930945,True,True,0.0010144082973548435,0.5287876850897508
4.609873,3,3456.835343,True,True,0.005057279970995349,9.315501913802898
6.244648,17,3472.753949,True,True,0.0005733364327633623,3.120637584208069
-15.433308,60,3493.854627,False,True,0.017856519339518324,5.90032977543341
-2.495946,26,3502.893331,True,True,0.004776886730867737,17.711176070932463
9.868516,3,3507.223116,True,True,0.0007107330632626623,0.7047960359431709
4.897077,6,3510.475595,True,True,0.008526719680605723,7.338858643480158
6.67746,7,3513.3764,True,True,7.705998397311217e-05,3.3770284433600795
8.430978,7,3517.087266,True,True,0.005728612778086242,1.8019389686406733
8.974995,9,3520.610146,True,True,0.0017147607942691967,1.8924886690343279
-15.499853,60,3537.130125,False,True,0.018330589528237178,80.09935567087356
4.907611,6,3544.211744,True,True,0.0030928731578157564,7.060390496110678
8.001679,3,3546.840336,True,True,0.005860805225812736,2.8100982312217484
-30.634043,60,3568.966516,False,True,0.01954690536223934,67.42491096862427
0.828091,4,3572.226264,True,True,0.0042071744485458595,13.861984485188342
8.520864,4,3574.16576,True,True,0.00011643697131809294,1.4228636439933475
4.541222,26,3579.995939,True,True,0.006073552777609092,3.990180686009416
5.274223,4,3582.396477,True,True,0.0061643693078056805,7.185249540369006
3.240837,3,3584.645369,True,True,1.2706488292102414e-10,11.789242215006333
-22.764055,60,3611.813783,False,True,0.00534968835009228,38.96957180402699
7.401652,5,3615.024732,True,True,0.005543258880433804,2.7813724495285483
9.908581,1,3616.677223,True,True,1.8457430028817612e-11,0.002564489609681069
8.628515,5,3620.998146,True,True,0.009990437847456776,1.0962862731273115
7.939507,3,3622.559069,True,True,2.3081269534541704e-11,2.992412493963592
0.551199,9,3627.484564,True,True,0.0048489906279501225,11.879641351137217
0.557179,4,3630.366352,True,True,0.009017415002094138,14.758116240266057
4.264407,1,3631.94067,True,True,0.003003305847913213,10.196602900577059
2.570973,6,3636.949419,True,True,0.002884261559330791,12.933987465776491
4.415541,8,3644.692128,True,True,0.003178373633801177,9.2041209654621
8.096168,9,3647.268845,True,True,0.0010681559666116808,3.947343984276654
5.83968,2,3649.16535,True,True,4.831318947067288e-10,6.450834568797668
7.077369,1,3651.311067,True,True,0.0045790621089335515,5.121393970446391
3.612215,7,3655.321798,True,True,0.004475369316886827,9.194295484473074
6.322645,6,3659.861406,True,True,0.004706212929473236,5.661342721073402
7.681009,3,3661.990038,True,True,7.381354600530303e-10,2.6838744283374916
2.90543,9,3669.696665,True,True,0.009598494328140115,9.265050617339087
7.102755,4,3676.102874,True,True,0.002941273579005882,3.563827734851841
2.345878,6,3681.213576,True,True,0.0023467807580480823,12.757237962672733
8.388523,3,3684.866201,True,True,7.132675283738621e-10,2.857988334345745
8.2308,8,3693.725095,True,True,0.0009862536867178695,1.2356165234915115
3.148589,17,3708.566734,True,True,0.009987238481239896,7.829325828520943
4.75447,6,3713.294972,True,True,0.0060510635551198014,7.610377219814571
-0.69166,6,3717.938386,True,True,0.00881322184048086,15.350999263466475
7.372287,1,3720.93417,True,True,0.0057054881937682045,4.590386618014511
7.830934,2,3722.683118,True,True,0.0029561707951483184,3.3556817119113416
8.659968,7,3727.485587,True,True,0.0021963304641177107,1.274530069688834
3.189919,6,3730.696842,True,True,0.0003189165023434462,10.921314718430708
2.632439,1,3732.192366,True,True,0.0002005037221809872,13.138218881285113
8.170061,2,3734.028601,True,True,0.00015774025108469814,3.0358847064989036
9.431927,1,3735.882786,True,True,0.004224736277204509,0.8678652478827199
1.451157,1,3737.458014,True,True,0.006293077755971373,15.271806425919427
7.715028,2,3740.742278,True,True,0.0008085786344064899,2.823743000123989
5.517673,4,3745.298717,True,True,0.0007326478887454243,6.275201786131486
7.13901,4,3750.265682,True,True,0.003022233309189808,3.8179126351131973
2.629177,1,3752.13957,True,True,0.0005431444332286307,13.144329446014353
7.900159,12,3759.281993,True,True,0.006380723741177372,1.9635529178114342
3.462012,21,3772.719173,True,True,0.009029825098448997,8.10443683594205
9.780725,1,3774.689048,True,True,0.0008970639280880509,0.23493609773312513
7.935734,1,3776.401879,True,True,0.002273490240926901,3.567225304052021
8.689427,3,3781.817127,True,True,0.005836588415996257,1.915672137888466
6.778908,11,3792.852001,True,True,0.002102426176537803,2.866656166242879
8.068663,7,3799.979577,True,True,0.0042192169823754636,2.4318105227392883
6.494706,1,3801.685037,True,True,0.0029583561264512463,6.172139743060979
5.735766,30,3840.630308,True,True,0.0014140188256816383,2.7758193144232246
5.507891,9,3852.074384,True,True,0.01124551031663952,6.562527607928325
4.59057,15,3870.719634,True,True,0.0013830283643255052,6.721410456499653
7.154421,6,3876.464307,True,True,0.0006850909682566547,2.977038818483463
3.32904,4,3878.433006,True,True,6.005587873343567e-05,9.780956133621366
10.309047,2,3879.875149,True,True,9.715519159146646e-09,0.023280751514413132
