time/fps,rollout/ep_rew_mean,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/loss,train/n_updates,train/learning_rate
73,-4.083452250000001,0.6769999999999997,136,1,34.0,4,,,
73,-8.08271825,0.10700000000000043,376,5,39.875,8,0.06498831510543823,21,0.001
70,-7.871171416666666,0.05,616,8,46.583333333333336,12,0.04531816765666008,51,0.001
70,-7.7489745625,0.05,856,12,49.9375,16,0.05331816151738167,81,0.001
70,-7.6550930500000005,0.05,1096,15,51.95,20,0.003454031189903617,111,0.001
70,-7.63182025,0.05,1336,18,53.291666666666664,24,0.2046889364719391,141,0.001
70,-7.567606178571428,0.05,1576,22,54.25,28,0.004145164508372545,171,0.001
70,-7.49663984375,0.05,1816,25,54.96875,32,0.08861114084720612,201,0.001
