time/fps,train/explained_variance,train/policy_loss,train/entropy_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/value_loss,rollout/ep_len_mean,time/iterations,train/learning_rate,train/n_updates
14,-0.421083927154541,-2.445255994796753,-2.3926219940185547,-0.74325607,444,6400,10.78989315032959,16.87,100,0.0007,99
14,0.1473243236541748,4.538906574249268,-2.3640966415405273,1.6025074899999998,910,12800,29.022674560546875,13.25,200,0.0007,199
