r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
-36.509981,150,15.841854,False,True,0.0403308413461198,79.79978044897608,150,40.3308413461198
-42.508989,150,15.851274,False,True,0.0803405221115824,82.62616501628715,300,80.34052211158239
-20.515232,150,15.851274,False,True,0.0313028637207321,74.32857238385185,450,31.3028637207321
-36.50428,150,15.851274,False,True,0.1045603793997676,88.90985400766263,600,104.5603793997676
-16.511493,150,23.696348,False,True,0.0610523084062975,77.01921797251742,750,61.0523084062975
-20.511042,150,23.697679,False,True,0.0460751753177939,85.58757942723601,900,46.0751753177939
-16.510143,150,23.698989,False,True,0.0444795155132421,89.17607824350804,1050,44.4795155132421
-26.511584,150,23.703248,False,True,0.0602350297817568,71.60736375300544,1200,60.2350297817568
-20.525636,150,31.603142,False,True,0.0528261363956619,89.51489967954784,1350,52.826136395661905
-22.503846,150,31.604542,False,True,0.0508883305623987,76.27094307818071,1500,50.8883305623987
-16.525711,150,31.606529,False,True,0.0085325310227701,74.1793363217843,1650,8.5325310227701
-14.338559,150,31.606529,False,True,0.0419434976112968,68.68523340738024,1800,41.9434976112968
-18.509047,150,39.538591,False,True,0.0844056490127428,88.67435140875088,1950,84.4056490127428
-20.510929,150,39.541712,False,True,0.0482048509156636,66.1735691471498,2100,48.2048509156636
-14.522104,150,39.544708,False,True,0.0492980250626399,82.22550980246716,2250,49.2980250626399
-14.487548,150,39.544708,False,True,0.0372565420502401,57.834611561473714,2400,37.2565420502401
-16.509457,150,47.723047,False,True,0.1014791730927057,78.20241732969009,2550,101.4791730927057
-14.504142,150,47.724044,False,True,0.052594714166637,57.07385843491015,2700,52.594714166637
-12.511235,150,47.725044,False,True,0.0756766633245195,83.43708798587829,2850,75.6766633245195
-10.470244,150,47.727042,False,False,0.0124595949533626,54.5882265579095,3000,12.4595949533626
-10.616368,150,56.692429,False,False,0.048958067393326,88.47710670965249,3150,48.958067393326
-10.497963,150,56.693411,False,False,0.095353532623281,55.127159329759664,3300,95.353532623281
-12.514503,150,56.694414,False,True,0.0790996663842738,88.59737940047383,3450,79.0996663842738
-12.46775,150,56.694414,False,True,0.0071905993798086,44.811825831061626,3600,7.1905993798086
-10.535337,150,64.616818,False,False,0.0530905067980556,88.50751707032185,3750,53.0905067980556
-12.513891,150,64.616818,False,True,0.1012493913726617,64.55948895929632,3900,101.2493913726617
-10.532116,150,64.616818,False,False,0.0293734030117075,80.0080631040786,4050,29.3734030117075
-12.595084,150,64.616818,False,True,0.0079722705203951,70.71909028342102,4200,7.9722705203951
-10.522295,150,72.633058,False,False,0.0164537384412722,84.85082340755169,4350,16.453738441272197
-12.511696,150,72.634017,False,True,0.1237891669394942,86.14617192696005,4500,123.7891669394942
-10.515173,150,72.634017,False,False,0.1052973482932524,78.41387663682869,4650,105.2973482932524
-12.505485,150,72.635027,False,True,0.118839167516285,81.40351633443757,4800,118.839167516285
-12.518899,150,80.593624,False,True,0.0192214035161347,77.08667144494841,4950,19.2214035161347
-10.501339,150,80.595765,False,False,0.095186812339339,68.50674031994755,5100,95.186812339339
-10.518362,150,80.595765,False,False,0.0236172752904644,71.19875454278483,5250,23.6172752904644
-10.463864,150,80.595765,False,False,0.0726382013649814,73.19735783789032,5400,72.63820136498141
-12.503139,150,88.609578,False,True,0.1502738120623032,61.459565730535246,5550,150.2738120623032
-14.41672,150,88.610573,False,True,0.0964195709162019,63.63669141097461,5700,96.4195709162019
-10.467328,150,88.612065,False,False,0.013108190855124,53.14696361111295,5850,13.108190855124
-10.512111,150,88.614364,False,False,0.0838497703102047,58.32776281911128,6000,83.8497703102047
-12.470142,150,96.481956,False,True,0.0612688803091419,47.2321634538687,6150,61.2688803091419
-10.382943,150,96.481956,False,False,0.0356425923308912,34.54900459611985,6300,35.6425923308912
-12.46783,150,96.483945,False,True,0.0833096911600675,32.63651660884132,6450,83.3096911600675
-12.512085,150,96.486399,False,True,0.025346851906869,71.55663840600616,6600,25.346851906869
-10.459099,150,105.28996,False,False,0.0681046565599431,43.74240389284392,6750,68.10465655994311
-10.476542,150,105.28996,False,False,0.0416708327557431,55.26910992774109,6900,41.6708327557431
-10.502182,150,105.29296,False,False,0.060765726658999,73.04732966541673,7050,60.765726658999
-10.448927,150,105.293958,False,False,0.0328520665846623,47.45855507786993,7200,32.852066584662296
-10.645997,150,113.032904,False,False,0.0409435449412718,67.62441663208642,7350,40.9435449412718
-10.488098,150,113.032904,False,False,0.0843863094073627,54.15328705959376,7500,84.3863094073627
-16.530724,150,113.036899,False,True,0.0427835329826206,85.6713218255446,7650,42.7835329826206
-10.486157,150,113.036899,False,False,0.0426982229987659,59.06077519086285,7800,42.6982229987659
-12.483271,150,121.102932,False,True,0.0192167480112513,58.85173815193645,7950,19.2167480112513
-10.491707,150,121.102932,False,False,0.0583506732051992,60.36858402887158,8100,58.35067320519919
-10.50507,150,121.107933,False,False,0.0150331777295637,59.35466049700793,8250,15.033177729563699
-12.503065,150,121.113142,False,True,0.0254777327695506,61.39814097323118,8400,25.4777327695506
-10.474346,150,128.668476,False,False,0.0260352617972034,59.60195877410955,8550,26.0352617972034
-10.34858,150,128.668476,False,False,0.0362060856206392,30.026140201543253,8700,36.2060856206392
-10.39019,150,128.670518,False,False,0.0155261010342672,39.84767750426388,8850,15.526101034267201
-10.643935,150,128.671519,False,False,0.0171565247846879,74.29023259691552,9000,17.1565247846879
-10.396155,150,136.569966,False,False,0.0061240948873066,48.78879835287067,9150,6.1240948873066
-12.428738,150,136.570971,False,True,0.0277126818325582,48.67879203043773,9300,27.7126818325582
-10.424945,150,136.570971,False,False,0.0215703491871828,43.96664758353453,9450,21.5703491871828
-10.460947,150,136.570971,False,False,0.0552204906854542,48.40164656969793,9600,55.220490685454195
-10.362392,150,144.525804,False,False,0.0069192822996539,54.1688490556216,9750,6.919282299653901
