time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction
3,40,128,1,,,,,,,,,,,,
6,40,256,2,0.0030427417,6.6828837394714355,-2.483935236930847,133.0,-39.292868,10,0.2,-0.016605995735153554,0.0003,0.049150824546813965,16.856477165222167,0.0
9,39,384,3,0.0058204774,2.9437901973724365,-2.477060306072235,156.5,-42.1400655,20,0.2,-0.021908855205401777,0.0003,-0.0037970542907714844,8.498943996429443,0.003125
12,40,512,4,0.0053647766,2.169520616531372,-2.4608268976211547,164.33333333333334,-39.568177666666664,30,0.2,-0.014922116789966822,0.0003,-0.093597412109375,6.803123426437378,0.01015625
15,40,640,5,0.012013948,0.9229286313056946,-2.435887110233307,154.0,-34.932812,40,0.2,-0.021894206712022423,0.0003,0.04316312074661255,3.5603418171405794,0.05234375
19,40,768,6,0.0070076147,1.6007730960845947,-2.415292775630951,154.0,-34.932812,50,0.2,-0.015193771943449974,0.0003,0.020348429679870605,3.597789990901947,0.03515625
22,40,896,7,0.0060774893,3.607304334640503,-2.418074595928192,159.2,-34.5455792,60,0.2,-0.01529103764332831,0.0003,0.026484966278076172,7.95277738571167,0.00234375
25,40,1024,8,0.026797011,0.5561529397964478,-2.383584940433502,162.66666666666666,-32.57153283333333,70,0.2,-0.03063213685527444,0.0003,-0.1319420337677002,1.452373343706131,0.2015625
28,40,1152,9,0.029085606,0.46171194314956665,-2.362464165687561,162.66666666666666,-32.57153283333333,80,0.2,-0.03503868049010635,0.0003,0.026004672050476074,1.388236340880394,0.2
31,40,1280,10,0.010528649,0.49646589159965515,-2.3496020078659057,165.14285714285714,-30.87698657142857,90,0.2,-0.016563115688040853,0.0003,0.1120070219039917,1.2196734696626663,0.03515625
34,40,1408,11,0.0031910972,0.6889780163764954,-2.322589898109436,167.0,-29.901900375,100,0.2,-0.0023312003584578635,0.0003,0.06358659267425537,1.6357794106006622,0.003125
38,40,1536,12,0.0125238,0.6505727767944336,-2.3302722454071043,168.44444444444446,-29.31027711111111,110,0.2,-0.017897328408434988,0.0003,0.19992536306381226,1.2916333258152009,0.0640625
41,40,1664,13,0.005522067,0.6728146076202393,-2.323496103286743,168.44444444444446,-29.31027711111111,120,0.2,-0.010525856539607048,0.0003,0.19034278392791748,1.5913283109664917,0.00078125
44,40,1792,14,0.0059235315,0.409347265958786,-2.3486560106277468,169.6,-28.6353725,130,0.2,-0.005283332010731101,0.0003,0.2321246862411499,1.1250061422586441,0.01484375
47,40,1920,15,0.014468957,0.8516045808792114,-2.3070770740509032,170.54545454545453,-27.955594090909088,140,0.2,-0.019840918015688658,0.0003,0.19891256093978882,2.379014366865158,0.1
50,40,2048,16,0.015727524,0.5326805710792542,-2.255783700942993,170.54545454545453,-27.955594090909088,150,0.2,-0.02494397251866758,0.0003,0.3407003879547119,1.389525431394577,0.0734375
54,40,2176,17,0.00935778,0.2309582531452179,-2.1952465653419493,171.33333333333334,-27.673368999999997,160,0.2,-0.015644677635282277,0.0003,0.6062339246273041,0.6171731159090996,0.0203125
57,40,2304,18,0.0140133,0.30539244413375854,-2.1788888216018676,172.0,-27.15329576923077,170,0.2,-0.0209899821318686,0.0003,0.5278739035129547,0.833197295665741,0.09140625
60,40,2432,19,0.0073863333,0.270173043012619,-2.1491130948066712,172.57142857142858,-26.583203785714286,180,0.2,-0.012606108421459794,0.0003,0.845935270190239,0.6070779487490654,0.0109375
63,40,2560,20,0.009977173,0.0901360958814621,-2.221294474601746,172.57142857142858,-26.583203785714286,190,0.2,-0.010624776920303702,0.0003,0.9384587369859219,0.26339890360832213,0.02421875
66,40,2688,21,0.013854234,0.11243841797113419,-2.2372745990753176,173.06666666666666,-26.2120318,200,0.2,-0.0161836132989265,0.0003,0.8787775337696075,0.3919351786375046,0.04453125
70,40,2816,22,0.015960094,0.10745467245578766,-2.1356152176856993,173.5,-25.8161806875,210,0.2,-0.01373993679881096,0.0003,0.9300206154584885,0.3190789923071861,0.08046875
73,40,2944,23,0.015224581,0.02063119038939476,-2.0408931493759157,173.5,-25.8161806875,220,0.2,-0.01833123927935958,0.0003,0.9567780680954456,0.16271126493811608,0.1765625
76,40,3072,24,0.0021335003,0.285766065120697,-1.9413702249526978,173.88235294117646,-25.597687,230,0.2,-0.001924653723835945,0.0003,0.8224783092737198,0.7642755761742592,0.0
79,40,3200,25,0.004538713,0.16596677899360657,-1.9212027847766877,174.22222222222223,-25.331609166666667,240,0.2,-0.011228849948383867,0.0003,0.8537553548812866,0.3811465844511986,0.01484375
82,40,3328,26,0.01234808,0.13804326951503754,-1.9874176740646363,174.52631578947367,-25.018754789473686,250,0.2,-0.013721094699576497,0.0003,0.9337979182600975,0.30410501211881635,0.0203125
85,40,3456,27,0.013684804,-0.02680542692542076,-1.7963252544403077,174.52631578947367,-25.018754789473686,260,0.2,-0.01628510244190693,0.0003,0.9521802477538586,0.15750853959470987,0.1609375
89,40,3584,28,0.02705278,0.04494231939315796,-1.6293332397937774,174.8,-24.852556250000003,270,0.2,-0.018968219961971046,0.0003,0.9390913993120193,0.18139366935938597,0.13671875
92,40,3712,29,0.005026753,0.04140743613243103,-1.4987902760505676,175.04761904761904,-24.56942761904762,280,0.2,-0.008863825025036931,0.0003,0.9534791223704815,0.15828961096704006,0.0109375
95,40,3840,30,0.016892713,0.07931450009346008,-1.451528000831604,175.04761904761904,-24.56942761904762,290,0.2,-0.010086260316893459,0.0003,0.9609724581241608,0.12658691518008708,0.1296875
98,40,3968,31,0.0026771072,0.1876794993877411,-1.6521976292133331,175.27272727272728,-24.471301590909093,300,0.2,-0.0031839309260249136,0.0003,0.8990876227617264,0.5256567239761353,0.00234375
