time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
128,1,41,3,,,,,,,,,,,,
256,2,40,6,0.0003,0.0028453125,0.05546875,6.688722610473633,133.0,10,-39.292868,16.856472492218018,0.1,0.049150824546813965,-2.4839552879333495,-0.015821443824097513
384,3,39,9,0.0003,0.004270755,0.07890625,2.9796462059020996,156.5,20,-42.136506499999996,8.580548572540284,0.1,-0.02249908447265625,-2.4785096526145933,-0.01884082187898457
512,4,39,12,0.0003,0.0029580817,0.05,2.628758430480957,164.33333333333334,30,-40.128746,7.975912189483642,0.1,-0.07215547561645508,-2.4675852417945863,-0.010861965850926936
640,5,39,16,0.0003,0.006531572,0.15859375,0.8014609813690186,154.0,40,-36.375880249999994,3.2615880012512206,0.1,0.12637817859649658,-2.4535322785377502,-0.01563777229748666
768,6,39,19,0.0003,0.0033825813,0.071875,2.055882692337036,154.0,50,-36.375880249999994,5.089718759059906,0.1,-0.19116318225860596,-2.4463457107543944,-0.011019211309030653
896,7,39,22,0.0003,0.003144899,0.04921875,4.8276801109313965,159.2,60,-36.10814859999999,9.982576370239258,0.1,-0.0019817352294921875,-2.4343567967414854,-0.010937899630516768
1024,8,39,25,0.0003,0.0038956841,0.24921875,0.573312520980835,162.66666666666666,70,-35.152912333333326,1.6046885251998901,0.1,0.18717336654663086,-2.4160744071006777,-0.018553146114572882
1152,9,39,28,0.0003,0.0039145052,0.13671875,0.9502856135368347,162.66666666666666,80,-35.152912333333326,2.5655882239341734,0.1,-0.08610248565673828,-2.4219927191734314,-0.008212292613461614
