time/time_elapsed,time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/loss
6,56,0.9929066666666666,4,4.860418,8.0,9,,,
13,184,0.9766933333333334,8,3.084421125,13.0,14,,,
19,216,0.9726400000000001,12,2.5755935,12.166666666666666,11,1,0.001,0.3038182556629181
26,256,0.9675733333333333,16,1.5873825624999998,13.6875,9,3,0.001,0.43434834480285645
32,320,0.9594666666666667,20,2.08722145,12.2,9,7,0.001,0.39564234018325806
42,492,0.9376799999999998,24,-1.0727355416666668,17.25,11,18,0.001,0.15948186814785004
51,576,0.92704,28,-0.9428560344827588,18.79310344827586,11,23,0.001,0.4117370843887329
59,648,0.91792,32,-0.5720676874999999,18.25,10,28,0.001,0.27239030599594116
67,692,0.9123466666666666,36,-0.05799036111111106,17.083333333333332,10,31,0.001,0.3584730625152588
74,732,0.9072800000000001,40,-0.32539367499999994,18.025,9,33,0.001,0.1439155638217926
81,860,0.8910666666666667,44,0.26780704545454553,17.431818181818183,10,41,0.001,0.25576961040496826
90,972,0.8768800000000001,48,-0.10599835416666654,19.1875,10,48,0.001,0.29990652203559875
100,1092,0.86168,52,0.015499730769230852,19.096153846153847,10,56,0.001,0.13499142229557037
107,1160,0.8530666666666666,56,-0.3463564107142858,19.214285714285715,10,60,0.001,0.34387245774269104
114,1192,0.8490133333333333,60,-0.17241318333333341,18.916666666666668,10,62,0.001,0.09235762804746628
123,1312,0.8338133333333333,64,-0.33755987499999995,19.296875,10,69,0.001,0.2979585528373718
130,1408,0.8216533333333333,68,-0.4848946176470587,19.38235294117647,10,75,0.001,0.05344444885849953
136,1452,0.81608,72,-0.5510262777777777,19.36111111111111,10,78,0.001,0.06275206059217453
142,1524,0.8069599999999999,76,-0.45706168421052623,19.57894736842105,10,83,0.001,0.11981426924467087
148,1588,0.7988533333333334,80,-0.16443128750000008,18.8875,10,87,0.001,0.14909641444683075
155,1784,0.7740266666666666,84,-0.7371954642857144,20.297619047619047,11,99,0.001,0.28376704454421997
163,1884,0.7613600000000001,88,-0.8269137613636363,20.795454545454547,11,105,0.001,0.3698711693286896
171,1976,0.7497066666666666,92,-0.6112239021739129,20.47826086956522,11,111,0.001,0.28739333152770996
179,2016,0.7446400000000001,96,-0.4993064479166665,20.6875,11,113,0.001,0.06198488548398018
186,2216,0.7193066666666668,100,-0.7895918099999999,21.61,11,126,0.001,0.31623607873916626
194,2348,0.7025866666666667,104,-1.1340368599999997,22.39,12,134,0.001,0.2618412971496582
202,2480,0.6858666666666666,108,-1.23746327,22.85,12,142,0.001,0.19544661045074463
207,2508,0.68232,112,-1.4135109399999999,23.57,12,144,0.001,0.2584199607372284
215,2596,0.6711733333333333,116,-1.2283620600000003,23.35,12,150,0.001,0.24884426593780518
223,2684,0.6600266666666665,120,-0.7650615299999999,23.29,11,155,0.001,0.0701196938753128
229,2720,0.6554666666666666,124,-0.2595299,22.36,11,157,0.001,0.14196498692035675
238,2880,0.6352000000000001,128,-0.7269900999999999,22.41,12,167,0.001,0.10661420971155167
246,2960,0.6250666666666667,132,-1.0665277499999997,23.48,11,172,0.001,0.23225949704647064
256,3100,0.6073333333333333,136,-1.0991407699999995,24.19,12,181,0.001,0.07163362950086594
263,3176,0.5977066666666667,140,-0.8480105400000001,23.53,12,186,0.001,0.3787005841732025
269,3208,0.5936533333333334,144,-1.11940312,23.94,11,188,0.001,0.22795404493808746
277,3264,0.58656,148,-0.87319192,23.16,11,191,0.001,0.2121746689081192
287,3480,0.5592,152,-1.33867192,24.55,12,205,0.001,0.10511606931686401
296,3552,0.55008,156,-0.86594056,23.9,11,209,0.001,0.16206508874893188
305,3636,0.5394400000000001,160,-0.96192513,24.26,11,215,0.001,0.1389794647693634
313,3668,0.5353866666666668,164,-0.5698912899999999,23.34,11,217,0.001,0.3457784056663513
322,3720,0.5288,168,-0.5633459,23.61,11,220,0.001,0.07014264166355133
327,3744,0.52576,172,-0.34745227999999995,22.96,11,221,0.001,0.037315335124731064
335,3764,0.5232266666666667,176,-0.13029564000000002,22.07,11,223,0.001,0.4064994156360626
344,3860,0.5110666666666666,180,-0.34406433,23.0,11,229,0.001,0.31094950437545776
353,4008,0.4923200000000001,184,0.11572758000000004,21.87,11,238,0.001,0.550109326839447
361,4060,0.48573333333333346,188,0.23868058000000006,21.32,11,241,0.001,0.47062939405441284
