time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,rollout/ep_len_mean,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
11776,80,23,146,0.0003,220,-27.802957250000002,-2.295752280950546,176.28125,0.06871557235717773,0.0032713013,0.17868514410220088,0.1,0.956242959946394,-0.01093961473670788,0.2103515625
12288,80,24,152,0.0003,230,-27.407099955882355,-2.3038226425647736,176.5,0.05771487578749657,0.0043199174,0.1400908064097166,0.1,0.9613642878830433,-0.011271597619634121,0.1982421875
12800,80,25,159,0.0003,240,-27.053961583333333,-2.308633854985237,176.69444444444446,0.22398561239242554,0.0035039224,0.29936938295140864,0.1,0.9523226395249367,-0.012567766098072752,0.1798828125
13312,80,26,165,0.0003,250,-27.053961583333333,-2.286664742231369,176.69444444444446,0.06450451910495758,0.0031839467,0.15037420587614178,0.1,0.9600322470068932,-0.009770213544834405,0.167578125
13824,80,27,172,0.0003,260,-26.6838582368421,-2.2935415297746657,176.8684210526316,0.009638503193855286,0.0033596545,0.16441065012477338,0.1,0.9533412680029869,-0.007916735782055184,0.188671875
14336,80,28,178,0.0003,270,-26.3961163625,-2.2577719390392303,177.025,-0.009539075195789337,0.0039478894,0.11652456503361464,0.1,0.9748276192694902,-0.013045829953625798,0.2048828125
14848,80,29,184,0.0003,280,-26.34070112345679,-2.260400727391243,177.06172839506172,-0.002127980813384056,0.0039848387,0.16741152927279473,0.1,0.9632286988198757,-0.010034328186884522,0.177734375
15360,80,30,190,0.0003,290,-26.11883011904762,-2.2541167378425597,177.16666666666666,0.1724148541688919,0.0044773547,0.1750871378928423,0.1,0.9606425166130066,-0.015801203408045694,0.2943359375
15872,80,31,197,0.0003,300,-25.796777897727278,-2.2391664028167724,176.72727272727272,0.09120076149702072,0.004632687,0.1982738162856549,0.1,0.9549455046653748,-0.011917303188238294,0.228515625
16384,80,32,203,0.0003,310,-25.565765293478268,-2.2268281161785124,176.8695652173913,0.003782406449317932,0.0036068703,0.10466035928111524,0.1,0.9813809935003519,-0.012866422988008708,0.2107421875
16896,80,33,210,0.0003,320,-25.499752978494634,-2.2418869137763977,176.90322580645162,0.1572839766740799,0.004500078,0.14223886262625457,0.1,0.9675183556973934,-0.009239763210644014,0.1765625
17408,80,34,216,0.0003,330,-25.322491604166668,-2.278884929418564,177.0,0.044322602450847626,0.0035449378,0.1686351632233709,0.1,0.9495807141065598,-0.012423158530145884,0.1880859375
17920,80,35,222,0.0003,340,-25.132756080000004,-2.266954964399338,177.12,0.025601999834179878,0.0034063635,0.21869597104378044,0.1,0.9208302572369576,-0.009586122405016795,0.1880859375
18432,80,36,229,0.0003,350,-24.858044230000004,-2.2276108413934708,178.12,0.007346644997596741,0.0045542913,0.12374015164095908,0.1,0.9751922227442265,-0.015569971135118977,0.225
18944,80,37,236,0.0003,360,-24.145748700000002,-2.2202444821596146,178.12,0.0007120482623577118,0.0026509597,0.1342859305907041,0.1,0.9662255086004734,-0.009926659605116583,0.1349609375
19456,80,38,242,0.0003,370,-23.422495969999996,-2.1901977509260178,178.12,0.04598509147763252,0.004041497,0.15727948835119604,0.1,0.9598814770579338,-0.012165192927932366,0.21640625
