rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
0.9556666666666668,8,4,8.0,4.860418,6,56,,,
0.8543333333333336,15,8,13.0,3.084421125,12,184,,,
0.8036666666666668,14,12,13.166666666666666,2.4073818333333334,17,248,0.2193533182144165,0.001,3
0.7529999999999998,13,16,15.375,2.0050570625,22,312,0.353517085313797,0.001,7
0.6991666666666666,13,20,16.75,0.86139645,28,380,0.1254628449678421,0.001,11
0.6326666666666665,13,24,16.291666666666668,1.2020821250000002,33,464,0.34674033522605896,0.001,16
0.5851666666666665,13,28,14.5,1.6792506071428577,38,524,0.2842828929424286,0.001,20
0.490166666666667,14,32,18.75,0.4238275625000001,44,644,0.22888046503067017,0.001,28
0.47116666666666696,13,36,17.38888888888889,1.0113080555555554,48,668,0.0519559420645237,0.001,29
0.373,14,40,18.4,-0.07504342499999997,55,792,0.24561823904514313,0.001,37
0.2811666666666668,14,44,19.136363636363637,-0.8452638863636363,61,908,0.4434741735458374,0.001,44
0.09116666666666662,16,48,21.479166666666668,-1.3241071666666668,68,1148,0.08557687699794769,0.001,59
0.05,17,52,23.346153846153847,-1.6128702500000003,74,1276,0.23416092991828918,0.001,67
0.05,18,56,25.767857142857142,-1.9762731964285716,81,1516,0.12871871888637543,0.001,82
0.05,19,60,27.066666666666666,-2.1368690166666666,88,1736,0.22349750995635986,0.001,96
0.05,19,64,27.5,-2.1646098125,96,1888,0.45475441217422485,0.001,105
0.05,19,68,27.691176470588236,-2.762842911764706,102,1988,0.27027639746665955,0.001,112
0.05,19,72,28.166666666666668,-3.7043139444444444,107,2132,0.3186637759208679,0.001,121
0.05,19,76,29.105263157894736,-5.068518565789472,112,2236,0.2591097950935364,0.001,127
0.05,20,80,30.65,-5.1919631,119,2476,0.21571868658065796,0.001,142
0.05,21,84,32.04761904761905,-5.359651642857143,126,2716,0.27076849341392517,0.001,157
0.05,22,88,33.31818181818182,-5.518119431818182,132,2956,0.13937105238437653,0.001,172
0.05,22,92,33.380434782608695,-5.262953097826086,139,3192,0.006638424936681986,0.001,187
0.05,22,96,33.333333333333336,-5.182987395833333,143,3204,0.1538590043783188,0.001,188
0.05,22,100,34.03,-5.219939849999999,151,3444,0.13799206912517548,0.001,203
0.05,23,104,35.76,-5.649994050000001,159,3684,0.05916643887758255,0.001,218
0.05,23,108,37.22,-5.96960612,166,3924,0.2455921769142151,0.001,233
0.05,24,112,38.76,-6.309182579999999,173,4164,0.2137017548084259,0.001,248
0.05,24,116,40.66,-6.7826898700000005,179,4404,0.017650198191404343,0.001,263
0.05,24,120,41.21,-7.41707216,185,4588,0.060565147548913956,0.001,274
0.05,25,124,43.05,-7.83861576,192,4828,0.0681719034910202,0.001,289
0.05,25,128,45.3,-8.32687645,200,5068,0.1994871348142624,0.001,304
0.05,25,132,45.76,-8.29179772,206,5308,0.1620899885892868,0.001,319
0.05,25,136,47.9,-8.877908560000002,214,5548,0.0034761661663651466,0.001,334
0.05,25,140,49.2,-8.82989716,223,5788,0.07477984577417374,0.001,349
