time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/approx_kl,train/learning_rate,train/loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss,train/policy_gradient_loss
40,60.0,62,20480,-6.47521562,326,0.0103559,0.0003,-0.12049221992492676,390,0.2,0.0560546875,0.9091823026537895,0.00827648803824559,-2.222888720035553,-0.013983503304189071
41,60.0,62,20992,-6.51429499,334,0.0118819345,0.0003,-0.15149039030075073,400,0.2,0.1015625,0.8773720487952232,0.013954511226620525,-2.2376349836587908,-0.017585633066482843
42,60.0,62,21504,-6.53659214,342,0.012543544,0.0003,-0.12794919312000275,410,0.2,0.1107421875,0.8822879865765572,0.010371155658503994,-2.2364256143569947,-0.014789712033234537
43,60.0,62,22016,-6.53353238,350,0.011658624,0.0003,-0.11122941225767136,420,0.2,0.048828125,0.8486001640558243,0.015521726693259552,-2.234799289703369,-0.012316179025219753
44,60.0,62,22528,-6.532872690000001,357,0.015549976,0.0003,-0.14213187992572784,430,0.2,0.1830078125,0.9324693381786346,0.006335452059283852,-2.241972401738167,-0.024069554964080454
45,60.0,62,23040,-6.5629009499999995,367,0.007790518,0.0003,-0.13665683567523956,440,0.2,0.083203125,0.8934460505843163,0.015793260710779577,-2.21358360350132,-0.017300046735908837
46,60.0,62,23552,-6.545668080000001,376,0.012905544,0.0003,-0.1620751917362213,450,0.2,0.1146484375,0.9072371199727058,0.013002200645860284,-2.2241363495588304,-0.0194090613280423
47,60.0,62,24064,-6.574943689999999,383,0.012399686,0.0003,-0.12831604480743408,460,0.2,0.078515625,0.8992332071065903,0.008274769131094217,-2.2055016249418258,-0.01652865187788848
48,60.0,62,24576,-6.55645676,391,0.013089034,0.0003,-0.1370844542980194,470,0.2,0.059375,0.8649959862232208,0.017681651131715624,-2.1976746916770935,-0.012272164894966409
49,60.0,62,25088,-6.565440390000001,399,0.0104441475,0.0003,-0.1347585767507553,480,0.2,0.0896484375,0.9103975221514702,0.009173499670578168,-2.173998737335205,-0.015387570019811392
50,60.0,62,25600,-6.595576450000001,407,0.010031216,0.0003,-0.14974966645240784,490,0.2,0.0634765625,0.9158313125371933,0.007380883369478397,-2.195768818259239,-0.015203669038601219
51,60.0,62,26112,-6.65236487,415,0.013122126,0.0003,-0.15438246726989746,500,0.2,0.1611328125,0.9247464314103127,0.009172475209925323,-2.259906792640686,-0.022671688423724846
52,60.0,62,26624,-6.658054239999999,423,0.012874151,0.0003,-0.12098556756973267,510,0.2,0.11640625,0.8831073343753815,0.013797958783106879,-2.298472633957863,-0.020519567467272282
53,60.0,62,27136,-6.61290797,431,0.013663841,0.0003,-0.14810265600681305,520,0.2,0.123828125,0.9249064028263092,0.006135883295792155,-2.2923923254013063,-0.025759471789933742
54,60.0,62,27648,-6.608466680000001,439,0.009349125,0.0003,-0.13799509406089783,530,0.2,0.082421875,0.9340188428759575,0.009317042777547612,-2.3183243006467817,-0.012667637289268896
55,60.0,62,28160,-6.59592218,447,0.012615124,0.0003,-0.15581291913986206,540,0.2,0.13125,0.8885509297251701,0.00803361851722002,-2.312877196073532,-0.021620487153995782
56,60.0,62,28672,-6.580874989999999,455,0.013295146,0.0003,-0.12187235057353973,550,0.2,0.1423828125,0.8733394891023636,0.015329172450583428,-2.31545794904232,-0.02237488770042546
57,60.0,62,29184,-6.574441139999999,463,0.0135888215,0.0003,-0.16812950372695923,560,0.2,0.102734375,0.906096801161766,0.008932544861454516,-2.3024797677993774,-0.023519877321086825
58,60.0,63,29696,-6.583035470000001,471,0.010725029,0.0003,-0.1373639702796936,570,0.2,0.0619140625,0.8571806848049164,0.01674409651895985,-2.238711416721344,-0.012823232467053459
59,60.0,63,30208,-6.57251099,479,0.009911107,0.0003,-0.13470745086669922,580,0.2,0.0833984375,0.9235058650374413,0.007964479399379342,-2.180292472243309,-0.0181411100726109
60,60.0,62,30720,-6.58453034,487,0.01216978,0.0003,-0.10967657715082169,590,0.2,0.0810546875,0.8597757518291473,0.01639888154459186,-2.23956193625927,-0.01668773121200502
61,60.0,62,31232,-6.568441669999999,495,0.011758527,0.0003,-0.1454794853925705,600,0.2,0.1078125,0.9147834628820419,0.011221581959398463,-2.261968794465065,-0.01718719705240801
62,60.0,63,31744,-6.54216816,503,0.010243625,0.0003,-0.12297748774290085,610,0.2,0.0546875,0.8998019471764565,0.013162364775780588,-2.2304965287446974,-0.013147881836630404
63,60.0,62,32256,-6.46420469,512,0.012508003,0.0003,-0.14964915812015533,620,0.2,0.1111328125,0.8513255715370178,0.01509030390297994,-2.2271673709154127,-0.017222849186509848
64,60.0,62,32768,-6.4540083300000015,522,0.018299278,0.0003,-0.1542414426803589,630,0.2,0.1578125,0.8407373428344727,0.01254815044812858,-2.1946186274290085,-0.02142110182903707
65,60.0,62,33280,-6.477011439999999,531,0.008433595,0.0003,-0.1152748167514801,640,0.2,0.0224609375,0.8864431977272034,0.00891561429016292,-2.1610709607601164,-0.010643097932916134
66,60.0,62,33792,-6.4970390700000005,540,0.014006601,0.0003,-0.14184443652629852,650,0.2,0.08671875,0.7821013182401657,0.023324462305754422,-2.117337945103645,-0.017762951453914867
67,60.0,62,34304,-6.4896008400000005,550,0.011743981,0.0003,-0.12956182658672333,660,0.2,0.08671875,0.7776406556367874,0.028570607013534755,-2.159286028146744,-0.014003025495912879
68,60.0,62,34816,-6.5081664199999985,560,0.012360711,0.0003,-0.14465610682964325,670,0.2,0.1595703125,0.8415501862764359,0.0162195589276962,-2.1366006284952164,-0.02543563343497226
69,60.0,62,35328,-6.5049225800000015,569,0.013930336,0.0003,-0.10881099104881287,680,0.2,0.1599609375,0.84595787525177,0.02590510610025376,-2.1537713706493378,-0.020657999627292156
70,60.0,61,35840,-6.51932314,578,0.010269994,0.0003,-0.10991687327623367,690,0.2,0.0685546875,0.8358722031116486,0.024047422886360435,-2.118993452191353,-0.015910316820372826
71,60.0,61,36352,-6.511904659999999,589,0.012330106,0.0003,-0.14564421772956848,700,0.2,0.109765625,0.655828207731247,0.0251260626479052,-2.0937146842479706,-0.020337887591449545
72,60.0,61,36864,-6.489399929999999,599,0.010110585,0.0003,-0.1090141087770462,710,0.2,0.09921875,0.8419949114322662,0.01404892816208303,-2.0826069831848146,-0.015436911606229842
73,60.0,61,37376,-6.501548460000001,608,0.009327326,0.0003,-0.14251120388507843,720,0.2,0.0982421875,0.7967052906751633,0.0226375553291291,-2.1292226344347,-0.015798103366978466
74,60.0,61,37888,-6.526278459999999,617,0.012459375,0.0003,-0.10974102467298508,730,0.2,0.1232421875,0.8210392743349075,0.024053829663898796,-2.029012380540371,-0.019101548404432834
75,60.0,61,38400,-6.5762913,627,0.011139653,0.0003,-0.1170836091041565,740,0.2,0.0794921875,0.8569982349872589,0.016010466555599123,-2.1968271404504778,-0.014716643001884222
76,60.0,61,38912,-6.599909190000001,636,0.015218174,0.0003,-0.14341677725315094,750,0.2,0.1201171875,0.9045553281903267,0.014511689101345837,-2.1882121711969376,-0.01668353258864954
77,60.0,61,39424,-6.57060466,645,0.009083021,0.0003,-0.1434033215045929,760,0.2,0.055859375,0.8588404208421707,0.01501170137198642,-2.262450525164604,-0.011305741494288668
78,60.0,61,39936,-6.528458690000001,653,0.011829747,0.0003,-0.15163330733776093,770,0.2,0.0869140625,0.8230737894773483,0.015408273343928159,-2.190299728512764,-0.020378908701241018
79,60.0,61,40448,-6.540389829999999,662,0.011677448,0.0003,-0.12669344246387482,780,0.2,0.1138671875,0.8483856916427612,0.01760599681874737,-2.21197509765625,-0.018078729190165177
