#{"t_start": 1785359123.4790819, "env_id": "None"}
r,l,t
2.018181,4,2.065136
-12.833956,60,18.674913
2.150289,14,23.164906
1.171783,6,25.868227
-1.630363,15,31.378767
5.090086,2,32.725946
0.09189,17,35.880456
-12.715392,60,49.394785
-15.393957,60,58.250174
-12.334602,60,65.657021
6.106869,1,67.175275
-6.544015,60,76.293861
-8.810442,60,83.611426
-10.035478,60,91.164045
-6.940181,60,98.623012
-8.88367,60,106.065713
-8.228909,60,113.333903
-8.885811,60,124.852461
-8.053163,60,132.523034
6.09818,3,133.883507
-12.347277,60,146.283902
-8.567327,60,153.007545
6.154064,5,154.371654
-9.076501,60,161.130665
-6.593126,60,167.917009
-7.041605,60,174.431226
-6.76146,60,182.391269
-9.836798,60,190.417716
-8.189414,60,196.934637
-8.648794,60,203.557196
-7.691141,60,210.150124
5.297357,16,213.899613
-8.510755,60,220.312539
