time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance
512,15,0.6770392499999999,17.291666666666668,1,33,,,,,,,,,,
1024,15,0.4082858599999999,18.38,2,67,10,11.875257885456085,-2.4815215349197386,0.047265625,0.2,0.0003,0.005701822,-0.012451186584075912,6.5831475257873535,-0.030348777770996094
1536,15,-0.04843812328767136,20.013698630136986,3,98,20,8.211880910396577,-2.4713592559099196,0.054296875,0.2,0.0003,0.0075130546,-0.016576541669201104,3.4627737998962402,0.035118043422698975
2048,12,-0.09445309000000018,19.26,4,167,30,10.900981235504151,-2.46421357691288,0.0431640625,0.2,0.0003,0.0076672267,-0.009930968726985156,5.818648815155029,0.13184255361557007
2560,12,-0.32231678000000025,18.83,5,206,40,14.317194283008575,-2.4518476217985152,0.0703125,0.2,0.0003,0.010263838,-0.01909364103921689,6.554859638214111,0.030009984970092773
3072,12,0.22735192999999992,16.11,6,243,50,10.803804945945739,-2.4471227496862413,0.0330078125,0.2,0.0003,0.008332253,-0.01104313949472271,3.7577803134918213,0.167133629322052
3584,12,-0.38503659999999995,17.08,7,277,60,12.118435442447662,-2.4264300554990768,0.0552734375,0.2,0.0003,0.011559023,-0.01391690201126039,5.118159294128418,0.15508580207824707
4096,13,-0.3597808300000003,17.54,8,307,70,16.593107330799103,-2.419539338350296,0.048828125,0.2,0.0003,0.010137265,-0.01423361959750764,5.683287143707275,0.12363553047180176
4608,12,0.84062456,14.55,9,360,80,15.366653656959533,-2.412988615036011,0.0798828125,0.2,0.0003,0.013289952,-0.015850168414181097,8.118809700012207,0.12945252656936646
5120,12,1.2103324400000002,13.87,10,400,90,25.55351343154907,-2.4091767966747284,0.0,0.2,0.0003,0.003948001,-0.007630281848832965,8.915746688842773,0.13160473108291626
5632,12,2.0008098100000002,11.59,11,457,100,24.018650436401366,-2.4043006777763365,0.0169921875,0.2,0.0003,0.009740846,-0.013242861977778375,13.349714279174805,0.132232666015625
6144,11,2.45052764,8.41,12,525,110,22.516253209114076,-2.3868666738271713,0.0484375,0.2,0.0003,0.009839,-0.014126299624331295,11.971309661865234,0.1530085802078247
6656,11,1.19784766,10.33,13,568,120,23.160421395301817,-2.363340988755226,0.0478515625,0.2,0.0003,0.010342404,-0.014658053976017982,9.346267700195312,0.3572544455528259
7168,11,0.9516543500000002,10.93,14,622,130,22.59657653570175,-2.344004917144775,0.0337890625,0.2,0.0003,0.0074161524,-0.009973667713347822,9.859676361083984,0.24281293153762817
