rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/episodes,rollout/exploration_rate,time/total_timesteps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate
12.5,15,3.062554,4,0.7567999999999999,128,8,,,
14.444444444444445,13,3.640303777777778,8,0.6504000000000001,184,13,,,
17.0,13,2.6694365833333333,12,0.5135999999999998,256,18,3,0.16798357665538788,0.001
19.375,15,1.4618618125,16,0.2856000000000002,376,24,11,0.07461860775947571,0.001
22.4,17,0.83936805,20,0.05,524,30,20,0.1984947919845581,0.001
24.791666666666668,19,0.10837591666666668,24,0.05,724,37,33,0.24346444010734558,0.001
25.607142857142858,17,-1.0801472857142855,28,0.05,764,42,35,0.5207527279853821,0.001
28.0625,19,-2.2914729374999996,32,0.05,984,49,49,0.12079141288995743,0.001
31.61111111111111,21,-3.1139249166666665,36,0.05,1224,56,64,0.23453164100646973,0.001
33.05,22,-3.4367090750000004,40,0.05,1444,63,78,0.16616177558898926,0.001
35.5,23,-4.060979613636364,44,0.05,1684,71,93,0.14612644910812378,0.001
37.541666666666664,24,-4.310841916666667,48,0.05,1924,79,108,0.1196216568350792,0.001
38.13461538461539,24,-5.36164175,52,0.05,2092,85,118,0.12595893442630768,0.001
38.642857142857146,24,-5.277682517857143,56,0.05,2212,91,126,0.18104287981987,0.001
40.06666666666667,24,-5.482766116666667,60,0.05,2452,98,141,0.04332207515835762,0.001
