time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/loss
15,17.25,1.6889815961538461,1,64,1024,,,,,,,,,,
17,22.261363636363637,-0.25890934090909073,2,113,2048,-0.01261931570188608,-0.011318325996398926,-2.4823048174381257,9.54202305972576,0.1,0.0003,10,0.003406571,0.17021484375,4.427670955657959
18,25.99,-1.7589891199999999,3,168,3072,-0.009414986727642826,0.24941492080688477,-2.4792846873402596,7.643877711892128,0.1,0.0003,20,0.0035321922,0.1412109375,3.059229612350464
18,24.73,-1.3821437300000001,4,226,4096,-0.010126154005411081,0.2150997519493103,-2.4756604716181756,13.370060390233993,0.1,0.0003,30,0.002688264,0.1109375,5.547468185424805
16,20.28,0.1725762799999999,5,302,5120,-0.012766210945846979,0.28934139013290405,-2.4725812524557114,11.14649819135666,0.1,0.0003,40,0.0035225737,0.16142578125,4.9236555099487305
16,19.74,0.26294536000000013,6,366,6144,-0.008111183199798689,0.3415958881378174,-2.4715756967663767,15.24621461033821,0.1,0.0003,50,0.0027604795,0.07431640625,6.303235054016113
16,19.59,0.17419482999999972,7,437,7168,-0.012166765006259083,0.31477290391921997,-2.4669835567474365,11.153103163838386,0.1,0.0003,60,0.003444448,0.1361328125,4.768869876861572
16,21.21,-0.8843348299999998,8,492,8192,-0.01029462084698025,0.10737097263336182,-2.4566767647862435,13.79607954621315,0.1,0.0003,70,0.0032081397,0.13203125,6.220001220703125
16,21.48,-1.05966162,9,556,9216,-0.010601509685511702,0.22747474908828735,-2.4572782650589944,13.369387167692185,0.1,0.0003,80,0.0030050974,0.1322265625,5.854140758514404
16,21.24,-0.47190837000000024,10,615,10240,-0.009920000651618466,0.08556252717971802,-2.448648615181446,20.197820991277695,0.1,0.0003,90,0.0031398763,0.10830078125,7.576687335968018
16,19.5,0.23852559999999987,11,690,11264,-0.009278140105016064,0.32279902696609497,-2.447463612258434,16.34413903951645,0.1,0.0003,100,0.0026999726,0.09462890625,9.491159439086914
16,18.87,0.5900924699999998,12,751,12288,-0.011347239039605484,0.2767940163612366,-2.448966747522354,18.774176412820815,0.1,0.0003,110,0.0029421141,0.1220703125,8.30603313446045
16,19.41,0.5257967500000001,13,826,13312,-0.01065753826260334,0.36446720361709595,-2.4468297362327576,15.240299010276795,0.1,0.0003,120,0.0031644017,0.122265625,6.861443042755127
16,19.5,-0.22509241000000008,14,885,14336,-0.013791672233492137,0.3347705602645874,-2.4502129793167113,18.537725508213043,0.1,0.0003,130,0.0034800135,0.16201171875,6.928600311279297
15,15.19,1.18496056,15,976,15360,-0.008333141435286961,0.24804389476776123,-2.444650925695896,14.668913906812667,0.1,0.0003,140,0.0027185706,0.0865234375,5.270073413848877
