time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
128,1,42,2,,,,,,,,,,,,
256,2,41,6,0.0003,0.0030427417,0.0,6.6828837394714355,133.0,10,-39.292868,16.856477165222167,0.2,0.049150824546813965,-2.483935236930847,-0.016605995735153554
384,3,40,9,0.0003,0.0058204774,0.003125,2.9437901973724365,156.5,20,-42.1400655,8.498943996429443,0.2,-0.0037970542907714844,-2.477060306072235,-0.021908855205401777
512,4,40,12,0.0003,0.0053647766,0.01015625,2.169520616531372,164.33333333333334,30,-39.568177666666664,6.803123426437378,0.2,-0.093597412109375,-2.4608268976211547,-0.014922116789966822
640,5,40,15,0.0003,0.012013948,0.05234375,0.9229286313056946,154.0,40,-34.932812,3.5603418171405794,0.2,0.04316312074661255,-2.435887110233307,-0.021894206712022423
