rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/value_loss,train/approx_kl,train/clip_fraction
0.6770392499999999,1,29,17,512,17.291666666666668,,,,,,,,,,
0.4082858599999999,2,59,17,1024,18.38,-0.030348777770996094,0.0003,6.5831475257873535,0.2,-0.012451186584075912,10,-2.4815215349197386,11.875257885456085,0.005701822,0.047265625
-0.04843812328767136,3,86,17,1536,20.013698630136986,0.035118043422698975,0.0003,3.4627737998962402,0.2,-0.016576541669201104,20,-2.4713592559099196,8.211880910396577,0.0075130546,0.054296875
-0.09445309000000018,4,121,16,2048,19.26,0.13184255361557007,0.0003,5.818648815155029,0.2,-0.009930968726985156,30,-2.46421357691288,10.900981235504151,0.0076672267,0.0431640625
-0.32231678000000025,5,157,16,2560,18.83,0.030009984970092773,0.0003,6.554859638214111,0.2,-0.01909364103921689,40,-2.4518476217985152,14.317194283008575,0.010263838,0.0703125
0.22735192999999992,6,190,16,3072,16.11,0.167133629322052,0.0003,3.7577803134918213,0.2,-0.01104313949472271,50,-2.4471227496862413,10.803804945945739,0.008332253,0.0330078125
-0.38503659999999995,7,222,16,3584,17.08,0.15508580207824707,0.0003,5.118159294128418,0.2,-0.01391690201126039,60,-2.4264300554990768,12.118435442447662,0.011559023,0.0552734375
-0.3597808300000003,8,252,16,4096,17.54,0.12363553047180176,0.0003,5.683287143707275,0.2,-0.01423361959750764,70,-2.419539338350296,16.593107330799103,0.010137265,0.048828125
0.84062456,9,302,15,4608,14.55,0.12945252656936646,0.0003,8.118809700012207,0.2,-0.015850168414181097,80,-2.412988615036011,15.366653656959533,0.013289952,0.0798828125
1.2103324400000002,10,340,15,5120,13.87,0.13160473108291626,0.0003,8.915746688842773,0.2,-0.007630281848832965,90,-2.4091767966747284,25.55351343154907,0.003948001,0.0
2.0008098100000002,11,391,14,5632,11.59,0.132232666015625,0.0003,13.349714279174805,0.2,-0.013242861977778375,100,-2.4043006777763365,24.018650436401366,0.009740846,0.0169921875
2.45052764,12,449,13,6144,8.41,0.1530085802078247,0.0003,11.971309661865234,0.2,-0.014126299624331295,110,-2.3868666738271713,22.516253209114076,0.009839,0.0484375
1.19784766,13,487,13,6656,10.33,0.3572544455528259,0.0003,9.346267700195312,0.2,-0.014658053976017982,120,-2.363340988755226,23.160421395301817,0.010342404,0.0478515625
0.9516543500000002,14,540,13,7168,10.93,0.24281293153762817,0.0003,9.859676361083984,0.2,-0.009973667713347822,130,-2.344004917144775,22.59657653570175,0.0074161524,0.0337890625
0.6533845599999999,15,589,13,7680,12.4,0.09231525659561157,0.0003,10.429478645324707,0.2,-0.008242910786066204,140,-2.3241704016923905,32.54787414073944,0.005750302,0.00703125
0.45844321000000027,16,645,12,8192,12.05,0.3340856432914734,0.0003,7.415187358856201,0.2,-0.011922621773555875,150,-2.3062904685735703,21.110596930980684,0.010919754,0.0255859375
0.8724584800000003,17,692,12,8704,11.36,0.20820319652557373,0.0003,11.941568374633789,0.2,-0.004597670026123523,160,-2.279341313242912,34.19204931259155,0.0037948,0.00078125
1.3664688599999997,18,751,12,9216,10.94,0.27791720628738403,0.0003,18.83645248413086,0.2,-0.011457808216800914,170,-2.2973857909440993,35.29698474407196,0.01009554,0.0322265625
2.2888045299999997,19,802,12,9728,10.03,0.034892141819000244,0.0003,9.873666763305664,0.2,-0.007070029398892075,180,-2.2832667589187623,26.72879934310913,0.005991925,0.010546875
1.3518767000000003,20,853,11,10240,10.82,0.22930049896240234,0.0003,14.55724811553955,0.2,-0.012870695395395159,190,-2.302283412218094,34.06339178085327,0.009937873,0.0443359375
0.5245943399999998,21,897,11,10752,10.91,0.3110809326171875,0.0003,8.873830795288086,0.2,-0.017571197141660378,200,-2.284821707010269,22.0840961933136,0.011043411,0.0599609375
1.2755254599999999,22,966,11,11264,9.17,0.07620447874069214,0.0003,17.296964645385742,0.2,-0.010323510889429599,210,-2.31906980574131,35.30588133335114,0.008135112,0.06171875
