#{"t_start": 1785360282.194174, "env_id": "None"}
r,l,t
2.018181,4,1.92581
-14.767226,60,19.914124
3.055766,3,21.324536
3.269907,5,23.151467
8.473019,3,24.422639
7.408091,6,25.831626
0.403652,8,27.174232
6.314923,5,28.4285
7.462495,1,30.122663
-13.31693,60,43.851483
-19.543038,60,52.245774
3.231225,13,54.984602
-15.495622,60,65.292495
4.51931,4,66.621319
0.452288,13,69.928411
1.558799,30,74.547289
6.643842,4,75.771456
4.208432,7,78.318097
3.097101,1,79.577088
5.054537,8,81.063025
-18.937726,60,87.325498
-16.574186,60,96.996972
8.582118,5,98.900749
-14.998092,60,105.774601
6.3529,8,107.303725
-11.486185,60,117.21668
-59.142947,60,131.353308
-7.580136,60,139.324544
7.112156,1,140.499686
-6.277027,60,148.591804
-8.251233,60,155.324834
-10.868939,60,167.60317
7.488067,1,168.81853
1.805068,1,170.109289
7.858459,1,171.275748
7.893012,1,172.408103
7.275116,1,173.578196
6.665671,1,174.884569
-33.493873,60,181.886964
-8.565539,60,192.321157
-7.954998,60,201.897441
-6.455835,60,214.173346
7.431695,1,215.2003
-11.185245,60,222.201471
8.680937,1,223.429366
-7.676921,60,231.351436
9.025421,1,232.604614
-31.15718,60,244.385175
8.720267,1,245.400858
7.066309,1,246.573569
-8.725791,60,255.655006
-7.5163,60,264.877438
-9.281154,60,271.896448
-9.086147,60,278.623865
5.404092,10,281.242643
-10.824139,60,288.883881
-8.324238,60,296.237064
-9.392893,60,302.584732
6.100177,2,303.778589
5.731462,36,308.002215
-8.038013,60,314.90172
-7.273917,60,321.570812
-9.898351,60,328.242863
-8.693381,60,335.653119
-8.577269,60,341.943032
-8.099453,60,348.773508
-7.221776,60,355.722195
-7.185866,60,363.637958
-8.677386,60,370.459513
-8.408564,60,381.816826
-9.036936,60,392.245932
9.205992,1,393.329984
-11.075094,60,400.25397
7.528981,2,401.445242
-5.788511,60,409.581548
-9.366542,60,417.653566
8.706451,2,419.144932
-6.766806,60,425.852542
9.908582,1,426.966543
-8.72565,60,448.197707
-7.313502,60,464.172708
9.10902,5,465.502756
7.979257,1,466.617972
-48.654122,60,475.894181
-7.574197,60,483.842978
-6.65822,60,490.594453
-0.183085,11,492.214788
-6.872848,60,503.284407
-10.028723,60,510.101308
-9.405674,60,516.840586
9.349205,1,517.923349
-10.084279,60,524.888882
-10.175292,60,531.853
-9.086092,60,540.317064
-8.14945,60,548.209265
-8.601123,60,554.901518
5.102357,3,556.12086
-7.33237,60,563.016659
-8.379087,60,569.842313
-8.518999,60,576.685139
