#{"t_start": 1785360282.1867247, "env_id": "None"}
r,l,t
-3.055476,39,9.56294
6.429948,7,10.939447
4.195287,7,13.405729
4.409856,1,14.507689
2.224788,4,16.284079
4.986956,9,21.331986
-23.204897,60,33.506007
3.651305,1,34.605382
4.134511,14,38.669976
4.554799,5,40.083181
0.114399,16,45.225906
-8.464253,60,53.622125
-17.943947,60,63.975144
-0.428584,57,76.905483
-15.847585,60,85.638615
-16.888967,60,94.223634
2.656169,4,95.536794
3.701692,37,103.239974
-8.496073,60,111.35587
-9.793257,60,120.266505
8.212776,2,121.496708
-10.951267,60,133.113632
-8.713112,60,142.205519
-8.354806,60,150.323868
-7.296775,60,157.021376
-6.989502,60,176.420728
-13.090477,60,183.399821
1.528108,1,184.590555
3.280105,1,185.786671
-9.420671,60,193.859129
9.908333,1,195.078673
-7.961225,60,203.767091
7.735492,2,205.053338
8.09661,1,206.662702
-7.543797,60,216.947927
-9.690724,60,225.050553
7.07111,1,226.15691
-7.669537,60,234.330878
5.55874,1,235.602657
6.189498,1,236.856191
6.231318,1,238.001315
-8.032884,60,248.141019
8.212732,2,249.352973
-8.016045,60,257.360649
-50.711436,60,266.662141
-8.00496,60,273.548495
-10.561478,60,282.487194
3.397763,9,283.864542
-7.169431,60,290.624238
4.269629,1,291.84209
-7.46148,60,298.022456
3.752487,47,303.783055
-9.922761,60,311.187282
-8.078135,60,318.115536
-12.237095,60,324.744173
-9.480642,60,331.459169
-1.754141,13,333.141819
-8.798582,60,339.309714
-7.407243,60,346.77176
-9.800754,60,353.790108
-7.914124,60,361.602544
-8.337279,60,368.467938
-7.478397,60,377.471539
7.713273,1,378.671354
9.403767,1,379.905047
-6.851945,60,390.301133
-6.864017,60,398.220575
-9.056117,60,407.4697
-6.298964,60,414.313454
8.552675,12,415.887393
-10.430601,60,424.149272
-7.383717,60,443.095213
3.10127,1,444.27266
7.230676,2,445.397861
8.031722,1,446.554597
-32.873655,60,461.377096
6.041486,3,462.650325
-7.219017,60,474.248027
-9.038183,60,481.046187
5.739681,3,482.338418
-11.32324,60,489.095725
4.494337,46,494.271657
7.757752,1,496.158522
-9.337641,60,506.496953
-8.952089,60,513.25614
2.555028,41,519.301153
-10.471303,60,526.246207
-8.072493,60,533.291052
-8.253474,60,541.566705
-10.624491,60,549.46321
-7.62113,60,557.319331
-9.339178,60,564.208656
-7.689523,60,571.114984
-10.150353,60,577.894274
5.744306,13,580.701684
