#{"t_start": 1785432288.2799757, "env_id": "None"}
r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr
0.503407,2,3.222951,True,False,True,0.0003940674062865813,16.860295096019225,,False
8.664094,8,8.573377,True,False,True,0.002589391397853994,0.5485169570300241,,False
-20.758771,60,21.508287,False,False,True,0.016296475555581044,20.830029385079023,,False
-1.008196,21,27.197376,True,False,True,0.011984409617247917,7.40134987235759,,False
5.560433,4,29.779897,True,False,True,0.0021108263590995935,6.59017655876457,,True
-10.961971,60,49.597748,False,False,True,0.008553162723099072,31.975517848292682,,False
9.29407,6,51.617299,True,False,True,0.0013366325116721395,1.1076161241580864,,False
6.602099,5,54.069421,True,False,True,0.005896007965610842,5.415317135823606,,False
5.926274,20,63.467275,True,False,True,0.004816963816682144,3.4987744687837052,,False
-14.008904,60,77.412719,False,False,True,0.006533375131898429,22.98327804229796,,False
-15.038848,60,96.043409,False,False,True,0.02574368227836061,23.10038790092864,,False
-12.597856,60,110.710829,False,False,True,0.013826783476582583,84.39247443151233,,False
5.533219,4,113.330635,True,False,True,0.00011555763916736884,6.740742921017982,,False
8.919108,5,117.047272,True,False,True,0.002651793753803911,2.420145775403825,,False
7.48587,14,123.273189,True,False,True,0.010958726013895088,2.0197379245555043,,False
4.569796,9,125.92858,True,False,True,0.006765377231656985,7.655651940107337,,False
-19.522431,60,136.304814,False,False,True,0.026456825735550377,67.24251539466395,,False
7.734142,13,137.936145,True,False,True,0.009022657315398117,0.9127395818065869,,False
1.543916,3,140.138531,True,False,True,0.004977634587360275,14.869502632554893,,True
1.784728,21,147.91545,True,False,True,0.0023790920902070543,10.401452206955458,,False
6.446741,11,153.6689,True,False,True,0.0002569791272596898,4.278581372941583,,False
6.780225,14,160.702342,True,False,True,0.0015296819215983588,3.4990329503270305,,False
4.167733,20,164.926164,True,False,True,0.010995534788068605,7.009327471033145,,False
-0.007965,22,170.184828,True,False,True,0.009735596421401396,8.423733218960093,,False
6.46521,23,176.13534,True,False,True,7.205974784233772e-05,2.9453158992177686,,False
1.674352,3,177.464196,True,False,True,3.119562380984875e-09,14.345744656392759,,False
1.613151,29,186.20824,True,False,True,0.005774180127344515,3.1103632002847483,,False
8.448367,6,188.535564,True,False,True,0.0009059147562677557,1.399695382573197,,False
6.679018,3,190.838857,True,False,True,0.004031805371359211,3.6940981144799783,,False
5.972137,8,194.695988,True,False,True,0.01120625867470551,3.4398643199165218,,False
0.429905,17,201.199262,True,False,True,0.009347569493666491,11.395207237902035,,False
5.362024,6,205.640606,True,False,True,0.0023453686368320923,7.600168311630349,,True
7.798744,6,209.306605,True,False,True,0.0036289031729885143,4.0206216192204005,,False
3.810041,3,211.057406,True,False,True,0.008462681443976074,10.38073570785197,,False
7.023354,7,213.556235,True,False,True,0.002157388626143166,2.921804502931086,,True
3.904757,7,216.208645,True,False,True,0.004914916960669079,9.147846166474205,,False
7.917763,4,217.598683,True,False,True,0.0004965333757123297,3.1416895290390787,,False
5.729418,10,221.482573,True,False,True,0.00033030336236516966,4.380020982478209,,False
5.498947,1,222.698016,True,False,True,0.0001770826065615634,7.966761980328486,,False
6.611598,12,225.557327,True,False,True,0.00429637934047122,2.844762332240039,,True
4.370925,22,233.024455,True,False,True,0.008641233825271362,7.031084547666356,,False
0.403097,1,234.163154,True,False,True,0.0018056063956755318,17.158833150134132,,False
-0.353236,14,242.675155,True,False,True,0.002039940982614545,14.061077841999188,,True
3.269067,8,244.572457,True,False,True,0.00014540418690409834,8.862129314218246,,False
7.881984,30,257.22531,True,False,True,0.006651368092878834,0.2021716554427286,,False
0.049207,24,269.211095,True,False,True,0.004333547836502339,12.07130275229747,,False
4.710787,6,274.181183,True,False,True,0.004147898207485695,6.924173688680288,,False
1.212851,7,275.766621,True,False,True,0.0036327854221308888,14.421103418161382,,False
5.91485,10,281.144818,True,False,True,0.005572043174491337,4.863155103342403,,False
5.436322,22,289.220368,True,False,True,0.005082842577669903,3.5391868491491723,,False
3.557632,4,290.559319,True,False,True,0.00018682442102223133,11.99412993575783,,False
6.2722,1,291.984495,True,False,True,0.0005498886502351419,6.57108250098289,,True
3.5267,13,297.19165,True,False,True,0.0061088942661092875,6.863299514878448,,False
9.90847,1,298.372375,True,False,True,1.5185873425459451e-06,0.002591754324122942,,True
4.104006,5,299.749477,True,False,True,0.010896637558134997,8.510342334756036,,False
