r,l,t,success,full_task_success,freeze_attempted,d_m,alpha_deg,flag,true_is_iugr,cum_timesteps,d_mm
7.353198,1,1.949445,True,False,True,0.0009495575571629,4.620249619896472,,True,1,0.9495575571629
0.503407,2,3.222951,True,False,True,0.0003940674062865,16.860295096019225,,False,3,0.3940674062865
8.101537,3,4.278801,True,False,True,0.0061616178620077,2.876438911031132,,False,6,6.1616178620077
5.29533,3,5.544204,True,False,True,0.005089114353985,6.804036010993014,,False,9,5.089114353985
9.06778,1,6.718998,True,False,True,0.0060762424452414,1.5267833346522015,,False,10,6.0762424452414
4.986338,6,6.726516,True,False,True,0.000110913045015,6.752419731086923,,False,16,0.110913045015
8.664094,8,8.573377,True,False,True,0.0025893913978539,0.5485169570300241,,False,24,2.5893913978539
3.908728,15,10.099726,True,False,True,0.0022935414700068,6.29457394383093,,False,39,2.2935414700068
-0.441445,22,10.134003,True,False,True,0.0027594052940178,15.658422441329929,,False,61,2.7594052940178
6.88428,4,11.891858,True,False,True,0.002084556525386,5.039956929643706,,False,65,2.0845565253859997
7.611945,19,11.892517,True,False,True,0.0016425160764863,2.1942690390919006,,False,84,1.6425160764863
8.555943,1,13.482107,True,False,True,2.6909886978579033e-09,2.446309313115119,,False,85,2.6909886978579035e-06
9.878965,2,14.717426,True,False,True,4.389180338626453e-11,0.0025629613666011,,False,87,4.389180338626453e-08
7.337852,2,16.037558,True,False,True,0.0004132372512109,3.211826113017348,,False,89,0.4132372512109
6.861989,9,17.585873,True,False,True,0.0026049389174936,3.762281109981268,,False,98,2.6049389174936
-0.4001,35,19.636913,True,False,True,0.0028095825754588,13.816407919262131,,True,133,2.8095825754588
-20.758771,60,21.508287,False,False,True,0.016296475555581,20.830029385079023,,False,193,16.296475555581
-0.351574,17,22.917537,True,False,True,0.0119573751502015,11.698709847252314,,False,210,11.9573751502015
9.106772,3,24.262106,True,False,True,0.0021334160230769,0.9654371737954616,,False,213,2.1334160230769004
-10.525629,60,25.842532,False,False,True,0.0339638114455391,11.111576915260695,,False,273,33.9638114455391
-1.008196,21,27.197376,True,False,True,0.0119844096172479,7.40134987235759,,False,294,11.9844096172479
7.793274,3,28.386897,True,False,True,0.0069325459692583,2.246621070750417,,False,297,6.9325459692583005
5.560433,4,29.779897,True,False,True,0.0021108263590995,6.59017655876457,,True,301,2.1108263590995
-18.798428,60,30.939078,False,False,True,0.0144017103117108,20.646426670427097,,False,361,14.401710311710799
5.158221,3,32.154678,True,False,True,0.0020031284863596,8.31357184577916,,False,364,2.0031284863596
2.702276,9,33.330179,True,False,True,0.0060186678278035,9.436459552200697,,False,373,6.0186678278035
2.070542,7,34.658172,True,False,True,0.0030035196289814,13.632302060655425,,False,380,3.0035196289814
8.705534,8,36.08338,True,False,True,0.0042666969714785,0.8608101537210866,,True,388,4.2666969714785
5.107799,5,37.284834,True,False,True,0.0021292413454086,6.302166316578708,,False,393,2.1292413454086003
6.848828,24,38.493738,True,False,True,0.0021741065367836,1.295676665735764,,False,417,2.1741065367836
9.830157,8,39.789129,True,False,True,0.0015267304458468,0.5001632660921812,,True,425,1.5267304458468
1.269864,12,41.234734,True,False,True,0.0046484760574802,12.903698837909706,,False,437,4.6484760574802
7.650054,8,42.48479,True,False,True,0.0005928564753171,2.14158152185683,,False,445,0.5928564753171001
8.31937,1,42.492308,True,False,True,0.0009278471945489,2.874301672456141,,False,446,0.9278471945489
-9.56773,60,42.519459,False,False,True,0.0056470570411832,18.70255979021052,,True,506,5.647057041183199
8.825149,6,44.353221,True,False,True,0.0006392915609794,2.550979061853433,,False,512,0.6392915609794
5.777987,4,45.742716,True,False,True,6.708130300624865e-05,6.972599600321023,,False,516,0.06708130300624865
6.170806,14,47.08095,True,False,True,0.0037257513072084,4.077013254714956,,False,530,3.7257513072084
7.151624,6,48.345604,True,False,True,0.0058352688575451,4.98153642620356,,False,536,5.8352688575451
8.846292,4,49.556642,True,False,True,0.0084199606882018,1.7279944299213066,,False,540,8.4199606882018
-10.961971,60,49.597748,False,False,True,0.008553162723099,31.97551784829268,,False,600,8.553162723099
9.29407,6,51.617299,True,False,True,0.0013366325116721,1.1076161241580864,,False,606,1.3366325116721
6.954002,10,52.911142,True,False,True,0.0028520864521636,3.297071799876391,,False,616,2.8520864521636002
6.602099,5,54.069421,True,False,True,0.0058960079656108,5.415317135823606,,False,621,5.896007965610799
6.887342,3,55.234078,True,False,True,0.0026293137535109,4.963709185138761,,False,624,2.6293137535108997
5.232096,16,56.541554,True,False,True,0.0113301817900246,5.115264364706865,,False,640,11.3301817900246
0.938334,32,56.568705,True,False,True,0.0061751742761397,9.737252244003304,,False,672,6.1751742761397
7.464138,3,58.343273,True,False,True,3.960616556941687e-10,2.917728664045329,,False,675,3.960616556941687e-07
2.799976,3,59.642357,True,False,True,0.0057341460986327,9.650745143896309,,False,678,5.7341460986327
7.784459,9,60.895943,True,False,True,0.0055692183525578,3.176159097007011,,False,687,5.5692183525578
4.080219,10,62.204748,True,False,True,0.0092147468111268,9.393594634247112,,False,697,9.214746811126801
5.926274,20,63.467275,True,False,True,0.0048169638166821,3.498774468783705,,False,717,4.8169638166821
3.27787,23,64.74842,True,False,True,0.0088407677957522,5.855756552414867,,False,740,8.8407677957522
-3.513722,23,66.349992,True,False,True,0.0020065030378124,13.791899470754537,,False,763,2.0065030378124002
