time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/value_loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss
256,39.4,52,4,1,-9.442960000000001,,,,,,,,,,
512,49.7,49,10,2,-12.158876700000002,0.0003,0.037890625,3.8719515800476074,0.011336324,-0.0533137321472168,10,11.589035367965698,0.2,-2.481213170289993,-0.026022054650820792
768,52.642857142857146,48,15,3,-11.637707214285715,0.0003,0.059765625,0.8100770115852356,0.0126971165,-0.13343703746795654,20,3.527956545352936,0.2,-2.4673436105251314,-0.024885134794749318
1024,54.27777777777778,48,21,4,-11.257671333333334,0.0003,0.14375,0.6873705387115479,0.0153428465,0.0026355385780334473,30,2.109496679902077,0.2,-2.4474138259887694,-0.028950480604544283
1280,54.17391304347826,48,26,5,-10.137907869565218,0.0003,0.105859375,0.17368468642234802,0.012544518,0.08658212423324585,40,0.5408910468220711,0.2,-2.422185856103897,-0.020459042815491556
1536,55.03703703703704,47,32,6,-9.951214925925925,0.0003,0.025390625,0.6927885413169861,0.0078879725,-0.026003479957580566,50,2.052126240730286,0.2,-2.4194309175014497,-0.010051263379864395
1792,55.67741935483871,47,37,7,-9.63346964516129,0.0003,0.061328125,0.2804577052593231,0.012716975,-0.30368828773498535,60,0.7872091427445411,0.2,-2.3936691641807557,-0.015840076352469624
2048,54.638888888888886,46,43,8,-8.963212694444444,0.0003,0.19609375,0.10185685008764267,0.015570934,0.20897376537322998,70,0.3705902561545372,0.2,-2.3550995707511904,-0.024635698297061026
