rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/learning_rate,train/approx_kl,train/clip_fraction,train/value_loss
126.16666666666667,1024,27,1,37,-27.690945833333334,,,,,,,,,,
134.6153846153846,2048,55,2,36,-27.81606238461539,-0.014812557239201852,-2.482073301076889,0.9009795784950256,0.03150677680969238,10,0.1,0.0003,0.0035944302,0.19375,5.1431327290833
135.3,3072,83,3,36,-26.80774755,-0.012166725410497747,-2.4787005513906477,1.0984997749328613,0.35828399658203125,20,0.1,0.0003,0.0034098928,0.1255859375,3.98927346393466
137.96428571428572,4096,114,4,35,-27.124083999999993,-0.013555180368712172,-2.469638416171074,1.5498327016830444,0.5882442891597748,30,0.1,0.0003,0.0037133712,0.15048828125,2.716837064921856
141.14705882352942,5120,139,5,36,-27.26737755882353,-0.012393114250153303,-2.4613868445158005,0.687277615070343,0.3939332962036133,40,0.1,0.0003,0.005724732,0.1326171875,2.481723028421402
142.02439024390245,6144,167,6,36,-26.16277624390244,-0.011746293866599445,-2.4468874335289,1.0239918231964111,0.5753818452358246,50,0.1,0.0003,0.0036879454,0.15146484375,2.3464760206639768
142.1875,7168,215,7,33,-25.03011379166667,-0.009911000641295686,-2.4450369596481325,0.7102606296539307,0.672821432352066,60,0.1,0.0003,0.0033879827,0.14853515625,1.8046151153743266
141.125,8192,265,8,30,-23.355908035714286,-0.013021451355598401,-2.4321041479706764,0.55430668592453,0.790924608707428,70,0.1,0.0003,0.0030756332,0.1681640625,1.305744207650423
139.484375,9216,304,9,30,-22.148923734375,-0.010994845526874996,-2.429884696006775,0.22514474391937256,0.8358681946992874,80,0.1,0.0003,0.00390087,0.1576171875,1.0711723200976848
138.61971830985917,10240,339,10,30,-21.36806256338028,-0.012605948900454678,-2.4204075261950493,0.43630990386009216,0.8340297788381577,90,0.1,0.0003,0.004111099,0.146484375,0.9471960134804249
137.35,11264,377,11,29,-20.14485585,-0.013448966515716166,-2.413306626677513,0.3661859631538391,0.8724007457494736,100,0.1,0.0003,0.0032378735,0.1640625,0.7365566866472364
136.27272727272728,12288,411,12,29,-19.22790165909091,-0.011855332256527618,-2.401833674311638,0.28003746271133423,0.854247584939003,110,0.1,0.0003,0.0032118133,0.130859375,0.7549196752253919
135.98958333333334,13312,445,13,29,-18.776786927083332,-0.007530974679684732,-2.400198571383953,0.7542288303375244,0.6957195401191711,120,0.1,0.0003,0.003431865,0.09248046875,1.0804920196533203
135.38,14336,479,14,29,-17.681141469999996,-0.014145017588452902,-2.3910877987742425,0.7167860865592957,0.8340182453393936,130,0.1,0.0003,0.0042563807,0.23017578125,0.6553023141808808
134.3,15360,516,15,29,-16.20152108,-0.010826733321300708,-2.389590655267239,0.1322915256023407,0.8437124639749527,140,0.1,0.0003,0.0030293895,0.15361328125,0.6190316845895723
133.28,16384,560,16,29,-14.842780519999996,-0.008888141225907021,-2.389596961438656,0.13890770077705383,0.8174407631158829,150,0.1,0.0003,0.0035164794,0.1599609375,0.6636493124533445
131.49,17408,597,17,29,-13.338354120000002,-0.007347758645482827,-2.3820672199130057,0.32612261176109314,0.8408248871564865,160,0.1,0.0003,0.0027499946,0.13291015625,0.5872942337766289
128.9,18432,636,18,28,-11.91685479,-0.011389517755014822,-2.366534139215946,0.0917554646730423,0.8412917256355286,170,0.1,0.0003,0.0036875,0.1931640625,0.5089191482868045
126.84,19456,668,19,29,-10.902418010000002,-0.010740961461851838,-2.3640545889735223,0.18449068069458008,0.8424599319696426,180,0.1,0.0003,0.0029608998,0.151171875,0.6223775227088482
126.28,20480,698,20,29,-10.478981720000002,-0.007550606204313226,-2.36309085637331,0.037743035703897476,0.7969676107168198,190,0.1,0.0003,0.003235611,0.1666015625,0.7574146258062683
125.48,21504,728,21,29,-10.122691309999999,-0.007680275657185121,-2.366742195188999,0.5102106928825378,0.8030628710985184,200,0.1,0.0003,0.0025539144,0.1423828125,0.5998493490042165
124.9,22528,759,22,29,-9.59682918,-0.010988440876826645,-2.3628037869930267,0.11920654773712158,0.8357350379228592,210,0.1,0.0003,0.0045162872,0.17275390625,0.5665114277100656
124.5,23552,789,23,29,-9.39366222,-0.010892954713926883,-2.3484255880117417,0.9893761277198792,0.8347997516393661,220,0.1,0.0003,0.0036517219,0.17412109375,0.5611921533360146
124.93,24576,819,24,29,-9.70169295,-0.008839817416446748,-2.3405361011624337,0.4950122833251953,0.8402537852525711,230,0.1,0.0003,0.002999241,0.12763671875,0.6027249437291176
124.78,25600,848,25,30,-9.60349601,-0.0051814046979416165,-2.342254200577736,0.3925458490848541,0.1838880181312561,240,0.1,0.0003,0.0026263928,0.0494140625,2.5142374519258737
125.3,26624,880,26,30,-9.81753206,-0.00760983575892169,-2.345085418224335,0.3683222234249115,0.7596993446350098,250,0.1,0.0003,0.0029406948,0.13681640625,0.7805301491636782
125.4,27648,909,27,30,-9.869434029999999,-0.0059097179677337405,-2.3499004140496256,1.830583095550537,0.5016975700855255,260,0.1,0.0003,0.0017939874,0.03642578125,2.8391392951831222
125.11,28672,941,28,30,-9.675415719999998,-0.006796059081534622,-2.34858807772398,-0.008495690301060677,0.7652851045131683,270,0.1,0.0003,0.0025912977,0.102734375,0.4989573520259
125.61,29696,971,29,30,-10.233883919999998,-0.00590830494184047,-2.343022085726261,0.8344963788986206,0.24388760328292847,280,0.1,0.0003,0.0023620292,0.04248046875,4.021675976831466
125.68,30720,1001,30,30,-10.31287435,-0.012981302128173411,-2.3390639558434487,-0.007062409073114395,0.84696364402771,290,0.1,0.0003,0.0036269627,0.1345703125,0.4678820241242647
125.58,31744,1031,31,30,-10.31022517,-0.007571957135223783,-2.3348696038126944,0.3183209300041199,0.8122948855161667,300,0.1,0.0003,0.0038937877,0.18720703125,0.5068466985714621
125.55,32768,1065,32,30,-10.329460280000001,-0.007028392028587405,-2.331733527779579,0.285869836807251,0.8401165306568146,310,0.1,0.0003,0.0028627894,0.14345703125,0.5664879881544038
125.42,33792,1094,33,30,-10.33206501,-0.007276514674595091,-2.330136688053608,-0.024985454976558685,0.8355484455823898,320,0.1,0.0003,0.0035075499,0.17685546875,0.5051863036758732
125.35,34816,1124,34,30,-10.377217440000003,-0.006085031770635396,-2.325127382576466,-0.011916154995560646,0.8269417136907578,330,0.1,0.0003,0.002694283,0.17275390625,0.5578852568287402
125.18,35840,1154,35,31,-10.457039200000002,-0.010694028352736496,-2.327490437030792,0.246971994638443,0.8414887487888336,340,0.1,0.0003,0.0031216124,0.16953125,0.5239669241709635
125.09,36864,1183,36,31,-10.5124644,-0.007449922442174284,-2.3151716530323028,0.02291891723871231,0.8543236255645752,350,0.1,0.0003,0.0030953009,0.16416015625,0.4964866287424229
123.88,37888,1213,37,31,-9.705463029999999,-0.00657104530982906,-2.3082867965102194,0.07785013318061829,0.8568264245986938,360,0.1,0.0003,0.0025584497,0.14130859375,0.48881028934265486
123.11,38912,1245,38,31,-9.41786708,-0.007953528412326705,-2.2846634328365325,0.12964501976966858,0.877324067056179,370,0.1,0.0003,0.0031125303,0.1341796875,0.4383380663522985
122.92,39936,1275,39,31,-9.382310519999999,-0.007855630337144249,-2.2934951812028883,0.05748690292239189,0.8065182864665985,380,0.1,0.0003,0.0027225143,0.10791015625,0.6358599493512884
122.84,40960,1307,40,31,-9.499910179999999,-0.0072835162398405375,-2.287941333651543,0.1373199075460434,0.8534644842147827,390,0.1,0.0003,0.002980225,0.1884765625,0.507208700699266
