time/fps,train/explained_variance,train/policy_loss,train/entropy_loss,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/value_loss,rollout/ep_len_mean,time/iterations,train/learning_rate,train/n_updates
13,0.5222356617450714,-1.8719902038574219,-2.366945505142212,0.5828287499999998,148,2000,2.5241973400115967,15.76,100,0.0007,99
14,0.778188943862915,-0.394112765789032,-2.4039623737335205,-0.5389615200000002,280,4000,3.3041908740997314,18.54,200,0.0007,199
13,0.2712860107421875,2.5439019203186035,-2.308816909790039,0.10941205000000004,430,6000,25.293350219726562,15.43,300,0.0007,299
13,0.4396148920059204,-3.038794755935669,-2.3213133811950684,-0.21717454999999983,602,8000,4.011849403381348,12.95,400,0.0007,399
13,-3.296250820159912,-3.168717622756958,-2.374115228652954,-2.6662561399999998,728,10000,4.137176513671875,20.29,500,0.0007,499
13,-0.40608811378479004,-2.5488338470458984,-2.3569626808166504,1.5050652,879,12000,3.6242308616638184,13.96,600,0.0007,599
13,0.32645726203918457,3.5467617511749268,-2.2565035820007324,-1.0157639799999998,1008,14000,25.261831283569336,20.07,700,0.0007,699
