#{"t_start": 1785391113.9647865, "env_id": "None"}
r,l,t
6.879105,3,3.912344
6.622821,3,5.033464
3.559189,1,6.112806
4.742639,19,12.1384
-12.112605,60,26.034597
7.958205,6,29.32509
1.909478,9,31.755162
4.360781,15,33.241881
8.989989,5,34.424245
2.315019,8,37.476292
6.588408,8,40.101447
6.505911,14,44.07742
4.878997,4,45.250371
-14.382494,60,54.424037
0.03355,2,55.608506
4.076922,18,57.266188
5.370508,4,58.493891
-15.229616,60,75.909035
-2.707689,16,78.354103
-18.13595,60,85.328111
9.906221,1,86.326764
8.844979,3,87.493691
-1.145021,28,94.196378
-9.624565,57,103.985301
3.466851,3,105.172173
4.485818,3,106.378681
6.653853,5,108.759702
-22.196571,60,122.872996
5.307759,16,124.626014
1.20454,11,129.557554
2.864422,8,134.649393
10.168387,3,135.798476
-15.84462,60,146.948273
-0.522915,9,149.029224
5.073119,9,151.652067
9.068437,3,153.076779
-14.921646,60,172.92323
-0.499996,11,174.285197
2.372523,12,177.361812
-20.438291,60,212.471423
7.969491,1,214.078273
-12.959264,60,229.91115
-13.619023,60,247.523801
6.392907,1,248.759987
1.765466,8,251.311795
5.936904,23,255.429172
6.726768,3,256.525012
4.50075,3,258.791919
6.306208,5,261.239254
6.068211,10,263.734962
5.310522,18,267.386191
2.900825,6,268.819811
3.545027,8,270.27024
5.825236,4,271.914573
-16.617855,60,294.081287
6.197079,4,296.72861
1.453709,4,298.60931
8.774644,11,302.154736
2.595864,9,306.404334
4.595571,5,307.714077
6.404339,1,308.910376
4.580705,1,309.949951
-20.398855,60,322.007615
6.376042,15,323.664798
7.522973,1,324.740387
6.25789,9,327.440972
-21.441374,60,346.756126
4.331823,5,349.09499
8.49283,7,350.427139
2.572856,11,352.347122
6.37168,7,353.593886
4.310301,42,366.921688
-26.665763,60,380.281209
3.428542,2,381.351123
-5.339843,28,384.197516
-1.446561,17,388.933535
4.64955,16,396.57534
4.63174,16,401.672154
4.894249,8,405.344649
4.507247,7,406.707562
8.115279,2,407.955577
-20.465961,60,423.489892
-4.288217,44,429.020561
7.248697,8,430.364295
-1.607914,29,437.091477
5.5534,6,439.408699
8.195195,4,441.651822
-20.844082,60,456.822288
6.957002,2,459.161981
2.853803,1,460.172241
5.856452,8,463.320261
-18.998886,60,480.558043
6.652827,2,481.75038
-18.158578,60,497.595715
3.255129,11,500.2975
7.106235,1,501.611553
5.900517,1,502.904342
8.51453,7,506.677327
7.389588,3,507.969173
5.956178,2,509.263701
8.856673,2,510.408543
6.13767,7,514.941109
-12.795778,60,522.742269
8.4568,1,523.85628
0.260663,11,528.840015
-25.038739,60,539.696316
9.000721,6,541.137405
5.769103,1,542.740958
3.158846,7,544.20237
6.498407,7,545.579359
6.271022,12,548.432932
7.656567,7,550.826785
5.694102,19,561.41574
5.051681,1,562.567649
-19.658029,60,579.368939
2.414654,10,582.662196
-22.75843,60,597.271413
-30.429751,60,611.717498
-18.316934,60,632.314423
-20.838679,60,643.172033
6.912242,6,644.570551
1.20581,4,645.854763
-13.52669,60,668.833263
3.661185,16,676.352665
-24.011528,60,689.97009
1.683005,4,692.83758
6.284802,11,699.685467
3.416582,17,705.135907
5.908911,20,711.558858
5.474984,2,713.131992
7.939974,3,714.328237
8.257659,1,715.552598
-1.985217,13,718.969035
6.363496,3,720.292382
2.582736,10,722.912293
6.2728,2,724.084288
-27.987921,60,743.051422
4.980213,15,744.66168
0.996313,4,747.037309
7.558107,7,749.342439
-28.564879,60,764.767139
4.398679,5,766.079408
8.535614,6,767.311717
6.756906,8,769.678412
5.409485,11,774.820766
9.531347,7,778.754346
2.293178,1,779.826083
9.637627,1,780.927114
-0.118036,2,781.998693
9.302319,1,783.700223
2.175942,2,784.8574
-21.528079,60,796.514971
9.264195,2,797.638236
7.46124,2,800.199716
7.676678,9,803.616348
3.084155,4,805.888953
7.161937,5,809.044566
-31.959405,60,828.225948
6.376452,4,829.401375
-21.216888,60,851.543208
9.771649,1,852.674895
8.490232,6,853.973007
7.34299,3,855.076204
2.566063,2,856.154175
5.252196,1,857.232842
5.222822,1,858.38192
7.792979,1,859.514383
1.744677,5,860.727264
3.400646,10,864.274197
6.895638,5,865.500193
7.025518,5,869.411728
7.328379,8,874.004311
4.912739,3,875.181884
7.836577,1,876.330768
6.490117,2,877.412365
7.526117,2,878.687654
-0.649147,46,888.195465
3.93882,7,889.535554
-23.752269,60,904.547038
8.787864,2,905.663218
8.078902,1,906.703649
4.182318,21,910.651721
8.882477,1,911.686023
5.513806,1,912.738492
1.434414,1,913.812236
5.236733,6,917.236131
8.998975,11,922.636498
7.890091,1,924.270461
5.056761,1,925.870546
4.865676,5,930.590735
7.131892,2,931.756058
3.191742,15,938.084272
-1.237461,17,940.730649
