time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/n_updates,train/approx_kl,train/clip_fraction,train/loss
15,17.25,1.6889815961538461,1,64,1024,,,,,,,,,,
18,22.9390243902439,-0.5327412804878048,2,107,2048,-0.020866110600763932,-0.011318325996398926,-2.476902021467686,9.543041333556175,0.2,0.0003,10,0.0134605635,0.10751953125,4.41298770904541
18,26.98,-2.289080689999999,3,167,3072,-0.013416295498609542,0.18046414852142334,-2.472242087125778,8.991662672162056,0.2,0.0003,20,0.009614509,0.07275390625,3.522580623626709
18,25.58,-1.6073081700000003,4,219,4096,-0.01257338976720348,0.31019192934036255,-2.464594617486,10.767680579423905,0.2,0.0003,30,0.011528196,0.065234375,4.751567363739014
18,23.71,-0.9944729999999998,5,281,5120,-0.00885180949117057,0.19928669929504395,-2.4634123519062996,13.646548470854759,0.2,0.0003,40,0.008280767,0.0287109375,6.180709362030029
17,21.31,-0.5970273399999998,6,344,6144,-0.015327902589342557,0.32403284311294556,-2.4548889338970183,14.190494066476822,0.2,0.0003,50,0.01159136,0.06240234375,7.108044147491455
17,20.3,0.07847045000000014,7,409,7168,-0.01549246646463871,0.36742740869522095,-2.438439755141735,14.469304186105727,0.2,0.0003,60,0.009574009,0.08232421875,6.456036567687988
17,20.41,-0.14045845000000018,8,471,8192,-0.012891598712303675,0.2683384418487549,-2.416416673362255,15.27884617447853,0.2,0.0003,70,0.010305844,0.0572265625,6.275015830993652
17,20.65,-0.6415265200000002,9,526,9216,-0.01124979075975716,0.30598461627960205,-2.3812051221728323,16.739399921894073,0.2,0.0003,80,0.007394402,0.04775390625,7.274843215942383
17,23.2,-1.5423897800000004,10,579,10240,-0.015608662148588337,0.2030773162841797,-2.381636729836464,15.058475577831269,0.2,0.0003,90,0.009652397,0.06787109375,7.051348686218262
17,23.08,-1.3090021100000002,11,642,11264,-0.012084205390419812,0.08933669328689575,-2.414648246765137,12.654578885436058,0.2,0.0003,100,0.008174263,0.0375,6.25993537902832
17,20.35,-0.66104567,12,709,12288,-0.012798811963875778,0.11999577283859253,-2.405772867798805,15.979574006795882,0.2,0.0003,110,0.0087617105,0.038671875,6.4575324058532715
17,18.21,-0.05346657999999972,13,777,13312,-0.015820200604503044,0.2216639518737793,-2.3924588203430175,17.08276425600052,0.2,0.0003,120,0.008468622,0.04892578125,9.039989471435547
16,16.29,1.26656733,14,849,14336,-0.018512579932576045,0.2033969759941101,-2.361277759075165,19.11649680733681,0.2,0.0003,130,0.011186689,0.08125,9.28603458404541
16,15.11,1.43840133,15,926,15360,-0.011387901302077808,0.19797438383102417,-2.3304460391402246,20.58201225399971,0.2,0.0003,140,0.008742971,0.036328125,8.513038635253906
