r,l,t,success,freeze_attempted,d_m,alpha_deg,cum_timesteps,d_mm
-6.185299,60,7.817122,False,True,0.1163227439720782,87.33030435090015,60,116.3227439720782
3.256973,60,7.820126,False,True,0.0169191949348984,89.017118630719,120,16.9191949348984
5.615669,60,7.825655,False,True,0.0568984875179299,80.60805053880631,180,56.8984875179299
-1.686464,60,7.825655,False,True,0.0758889534442397,89.95360353012593,240,75.88895344423969
20.140703,60,10.7152,False,True,0.0030969071537021,81.4206941910041,300,3.0969071537021
-5.4331,60,10.717194,False,True,0.0905719716578814,85.82839917762105,360,90.5719716578814
-6.336648,60,10.71973,False,True,0.1012968080338797,77.43178143780257,420,101.29680803387971
2.125413,60,10.722168,False,True,0.0584835447504333,84.7957693025928,480,58.483544750433296
-5.935436,60,14.692255,False,True,0.0937681684937337,81.90141575099956,540,93.76816849373371
3.838317,60,14.69425,False,True,0.0591708469689926,89.10459150065472,600,59.1708469689926
8.052652,60,14.698786,False,True,0.0181741993878061,85.26543985002581,660,18.1741993878061
19.561787,60,14.700785,False,True,0.0373400383992346,85.20272138627809,720,37.3400383992346
21.61839,60,17.523524,False,True,0.007034747367412,86.65386382484793,780,7.034747367412
46.896398,60,17.524012,False,True,0.005554238534764,75.15997369492207,840,5.554238534764
37.815339,60,17.525541,False,True,0.004721008692363,87.21653507736066,900,4.721008692363
13.82396,60,17.532489,False,True,0.0152376795725438,86.4793361101894,960,15.237679572543799
-4.099492,60,21.334696,False,True,0.0770022010242189,88.53824316195359,1020,77.00220102421889
1.205145,60,21.338228,False,True,0.0641798584482975,81.40516867121143,1080,64.17985844829751
6.242938,60,21.339265,False,True,0.0391609249432508,70.42870569239987,1140,39.1609249432508
-6.906175,60,21.343789,False,True,0.1378960411469219,83.86802386282267,1200,137.8960411469219
15.442215,60,24.165202,False,True,0.0163821570589148,78.8289846780704,1260,16.382157058914803
-5.133962,60,24.170718,False,True,0.0865154296895822,85.05309248370656,1320,86.5154296895822
-2.223925,60,24.173578,False,True,0.0666371161836547,76.085614781254,1380,66.6371161836547
20.614477,60,24.176107,False,True,0.0050871698219837,83.62285885425199,1440,5.0871698219837
89.033442,60,27.966825,False,True,0.0045476925728317,80.04428182046983,1500,4.5476925728317
24.028685,60,27.967817,False,True,0.0304569596720839,89.89115483238946,1560,30.4569596720839
-2.817417,60,27.970842,False,True,0.0821900914429291,69.02989274435129,1620,82.1900914429291
79.203456,60,27.972384,False,True,3.18431621883844e-05,66.66011358999289,1680,0.0318431621883844
-5.749146,60,30.900093,False,True,0.1051596414071283,85.68164345419939,1740,105.1596414071283
27.176413,60,30.900097,False,True,0.017787936533833,88.32428069896285,1800,17.787936533833
-7.284927,60,30.900123,False,True,0.126535769181239,72.9683725326274,1860,126.53576918123899
2.791653,60,30.903656,False,True,0.0520942714011269,84.42923862789428,1920,52.0942714011269
