time/fps,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/entropy_loss
70,39.4,1,256,3,-9.442960000000001,,,,,,,,,,
67,49.7,2,512,7,-12.158876700000002,0.0003,-0.026022054650820792,0.037890625,10,-0.0533137321472168,11.589035367965698,0.2,0.011336324,3.8719515800476074,-2.481213170289993
65,52.642857142857146,3,768,11,-11.637707214285715,0.0003,-0.024885134794749318,0.059765625,20,-0.13343703746795654,3.527956545352936,0.2,0.0126971165,0.8100770115852356,-2.4673436105251314
65,54.27777777777778,4,1024,15,-11.257671333333334,0.0003,-0.028950480604544283,0.14375,30,0.0026355385780334473,2.109496679902077,0.2,0.0153428465,0.6873705387115479,-2.4474138259887694
65,54.17391304347826,5,1280,19,-10.137907869565218,0.0003,-0.020459042815491556,0.105859375,40,0.08658212423324585,0.5408910468220711,0.2,0.012544518,0.17368468642234802,-2.422185856103897
65,55.03703703703704,6,1536,23,-9.951214925925925,0.0003,-0.010051263379864395,0.025390625,50,-0.026003479957580566,2.052126240730286,0.2,0.0078879725,0.6927885413169861,-2.4194309175014497
65,55.67741935483871,7,1792,27,-9.63346964516129,0.0003,-0.015840076352469624,0.061328125,60,-0.30368828773498535,0.7872091427445411,0.2,0.012716975,0.2804577052593231,-2.3936691641807557
65,54.638888888888886,8,2048,31,-8.963212694444444,0.0003,-0.024635698297061026,0.19609375,70,0.20897376537322998,0.3705902561545372,0.2,0.015570934,0.10185685008764267,-2.3550995707511904
