#{"t_start": 1785357186.9480703, "env_id": "None"}
r,l,t
-3.055476,39,11.540424
6.429948,7,13.059338
4.195287,7,15.727821
4.409856,1,16.969386
2.224788,4,18.711192
6.369797,3,21.318589
4.924061,4,25.614383
5.441533,2,28.700113
5.671162,13,33.511658
5.2427,11,37.818556
6.016345,1,39.134757
-20.978127,60,64.380057
7.06648,2,66.058421
8.073899,1,67.426038
-12.285638,60,83.334568
-7.088228,60,108.075376
-90.021133,60,115.110168
-8.243738,60,122.763653
-9.525615,60,133.37226
8.833935,1,134.683587
2.526955,1,136.370117
-7.66349,60,148.573663
-66.790791,60,167.211219
-10.098219,60,177.360215
7.584161,1,178.715284
-6.821185,60,189.209024
9.908368,1,190.583378
5.482865,2,192.393241
5.570546,3,193.859975
9.908277,1,195.215974
2.840397,1,196.613081
2.01598,1,198.013471
-7.493727,60,212.467319
3.465452,1,213.780154
9.908475,1,215.164744
3.228295,1,216.594224
-14.67524,60,233.615479
4.363407,1,234.975124
-6.645833,60,250.410752
-27.08321,60,259.715589
-6.427914,60,266.959656
-6.907844,60,277.904944
-8.784262,60,289.575839
-7.106865,60,297.142839
8.58382,1,298.426014
1.105177,18,302.743216
-9.166746,60,313.167227
6.127692,1,314.468878
-10.146427,60,322.034639
8.076882,2,324.495414
-8.409105,60,332.220497
7.500898,1,333.519051
-8.253236,60,347.84603
