time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
61,1,125.5,8,-34.2533775,512,,,,,,,,,,
65,2,152.75,15,-40.46194925,1024,0.0003,10,-2.4771249175071715,1.515629768371582,0.016234169,7.370532876253128,0.2,-0.031867146492004395,-0.03412291532149538,0.1607421875
73,3,166.375,20,-36.525258125,1536,0.0003,20,-2.4618242025375365,1.2092901468276978,0.0120961685,3.1557684645056723,0.2,0.019574761390686035,-0.018692140199709682,0.071484375
75,4,169.1,27,-35.341297,2048,0.0003,30,-2.440165087580681,1.3139535188674927,0.016662713,2.789954423904419,0.2,0.03422635793685913,-0.018636884179431944,0.094140625
77,5,170.91666666666666,33,-34.053019416666665,2560,0.0003,40,-2.4242130130529405,0.5298988819122314,0.0100651635,1.5416312739253044,0.2,0.3075292706489563,-0.01560645520221442,0.0546875
79,6,173.1875,38,-32.1636453125,3072,0.0003,50,-2.4120773643255236,0.38003435730934143,0.008068278,1.522393038123846,0.2,0.4401921033859253,-0.011039509694091976,0.0591796875
80,7,173.94444444444446,44,-31.284320388888887,3584,0.0003,60,-2.4006746262311935,0.22491779923439026,0.012712579,0.6599805939942598,0.2,0.8129928559064865,-0.01773281559580937,0.0880859375
81,8,174.55,50,-30.463269349999997,4096,0.0003,70,-2.3768365770578384,0.027492480352520943,0.012660738,0.395437254011631,0.2,0.9214745759963989,-0.02394623989239335,0.1712890625
82,9,174.33333333333334,56,-28.823893541666667,4608,0.0003,80,-2.3809729397296904,0.11427737027406693,0.009709891,0.1935115449130535,0.2,0.9561312608420849,-0.015457210096064955,0.105078125
82,10,175.14285714285714,62,-27.946211500000004,5120,0.0003,90,-2.357041063904762,0.14999134838581085,0.012715212,0.3201286386698484,0.2,0.9327918738126755,-0.019535408890806138,0.0908203125
82,11,175.0,67,-27.382205100000004,5632,0.0003,100,-2.3027062624692918,0.2265862077474594,0.014411291,0.5338101156987249,0.2,0.9096250310540199,-0.01575419205473736,0.1482421875
83,12,175.3125,73,-27.1431268125,6144,0.0003,110,-2.2465016424655913,0.2223716825246811,0.016536947,0.4666391467675567,0.2,0.9030770063400269,-0.020650357723934577,0.13828125
83,13,175.83333333333334,79,-26.66041816666667,6656,0.0003,120,-2.208397400379181,0.1326848268508911,0.013389617,0.42068733721971513,0.2,0.9163036718964577,-0.01763922462705523,0.1146484375
84,14,176.15384615384616,84,-26.225204358974363,7168,0.0003,130,-2.153253111243248,0.06893088668584824,0.014738402,0.1436785094672814,0.2,0.9746317807585001,-0.018650727800559253,0.137890625
84,15,176.34146341463415,90,-25.947596609756104,7680,0.0003,140,-2.1235375940799712,0.06717491894960403,0.012367673,0.31264836704358456,0.2,0.9494977258145809,-0.017188312322832643,0.1779296875
84,16,176.5909090909091,96,-25.602785045454553,8192,0.0003,150,-2.0973033994436263,0.16466446220874786,0.010045354,0.3708858171477914,0.2,0.9226720482110977,-0.010021202272037044,0.0486328125
85,17,176.875,102,-25.1176953125,8704,0.0003,160,-2.0158073887228967,-0.0024207904934883118,0.013852244,0.18960516988299786,0.2,0.9578293077647686,-0.013794014847371727,0.1046875
85,18,177.0,107,-24.9071152,9216,0.0003,170,-1.9964151963591577,-0.008296849206089973,0.008623967,0.10158821444492787,0.2,0.9805463794618845,-0.014809259085450322,0.0943359375
85,19,177.1153846153846,113,-24.730807653846153,9728,0.0003,180,-2.0094250082969665,-0.021297261118888855,0.0147081,0.16498320903629066,0.2,0.9504415392875671,-0.01112394150113687,0.12109375
85,20,177.32142857142858,119,-24.421916017857143,10240,0.0003,190,-2.023432058095932,0.016286972910165787,0.01582507,0.16276831580325962,0.2,0.9546323083341122,-0.021303183666896076,0.2263671875
85,21,177.45762711864407,125,-24.199895305084745,10752,0.0003,200,-1.97718203663826,0.020175181329250336,0.009819839,0.1375313326716423,0.2,0.9717514738440514,-0.011144680465804413,0.0587890625
85,22,177.54098360655738,132,-24.082491213114753,11264,0.0003,210,-1.9645707219839097,0.019369248300790787,0.015416479,0.12568395165726542,0.2,0.9734333083033562,-0.016886742151109503,0.16640625
85,23,177.65625,138,-23.91948134375,11776,0.0003,220,-1.997917690873146,-0.011070732027292252,0.007276869,0.1690740928053856,0.2,0.9379598163068295,-0.006771581585053354,0.0521484375
