time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/n_updates,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss
12,512,-2.1503441249999997,60.0,1,40,,,,,,,,,,
21,1024,5.4249649375,60.0,2,48,10,0.2,-0.01815287207136862,0.0003,0.011247717,6.110604175925255,0.030076682567596436,2.7807505130767822,0.1021484375,-2.479018172621727
28,1536,3.206932416666666,60.0,3,54,20,0.2,-0.015026129016769118,0.0003,0.010066625,19.69371641278267,0.03618896007537842,14.601893424987793,0.0490234375,-2.465698543190956
35,2048,5.87085809375,60.0,4,57,30,0.2,-0.017789393983548507,0.0003,0.009789744,22.670115613937377,0.035400331020355225,13.873334884643555,0.0943359375,-2.4444605708122253
42,2560,6.991179150000001,60.0,5,59,40,0.2,-0.012759400781942532,0.0003,0.0062658987,39.81806616783142,0.09246981143951416,15.003599166870117,0.0359375,-2.4205154895782472
50,3072,8.909592625,60.0,6,61,50,0.2,-0.012742994842119515,0.0003,0.007383014,42.11156697273255,0.14735007286071777,19.972389221191406,0.043359375,-2.3918053090572355
57,3584,9.176270357142856,60.0,7,62,60,0.2,-0.014003248926019295,0.0003,0.008876316,29.867417418956755,0.02140522003173828,14.042076110839844,0.0513671875,-2.358146461844444
65,4096,10.668561073529412,60.0,8,62,70,0.2,-0.004414882912533358,0.0003,0.0030620946,109.91416635513306,0.0969705581665039,52.41120529174805,0.0,-2.3250554710626603
73,4608,11.968705710526317,60.0,9,63,80,0.2,-0.013592734991107136,0.0003,0.008730103,45.89099290370941,-0.07045722007751465,18.548954010009766,0.0408203125,-2.29226154088974
80,5120,13.538157702380953,60.0,10,63,90,0.2,-0.008690457278862595,0.0003,0.008413805,85.08737430572509,0.10661250352859497,48.56004333496094,0.009765625,-2.288874772191048
87,5632,14.215616402173913,60.0,11,64,100,0.2,-0.0048137272358872,0.0003,0.0027416083,123.59820508956909,0.13756906986236572,87.55999755859375,0.0060546875,-2.21264366209507
95,6144,15.654150670000002,60.0,12,64,110,0.2,-0.0029091023607179523,0.0003,0.0023646671,69.93915905952454,0.14255374670028687,49.65128707885742,0.0,-2.2024947583675383
102,6656,16.08723579,60.0,13,65,120,0.2,-0.004880307306302711,0.0003,0.0030173208,99.07251415252685,0.2022811770439148,61.55818557739258,0.0,-2.186132827401161
109,7168,17.88301426,60.0,14,65,130,0.2,-0.0038758191221859306,0.0003,0.007245885,33.180643796920776,0.48535728454589844,15.18770694732666,0.01328125,-2.210272318124771
119,7680,19.046382700000002,60.0,15,64,140,0.2,-0.010057746869279072,0.0003,0.007898933,73.67227058410644,0.28798580169677734,41.1168098449707,0.0220703125,-2.1864499509334565
128,8192,20.85747974,60.0,16,63,150,0.2,-0.014056480152066796,0.0003,0.007990814,74.97642679214478,0.3387620449066162,34.98933410644531,0.0384765625,-2.1974516838788984
138,8704,20.73169096,60.0,17,62,160,0.2,-0.010239321144763381,0.0003,0.009704494,98.75946946144104,0.35185277462005615,32.996368408203125,0.0416015625,-2.0915756568312647
149,9216,26.20356685,60.0,18,61,170,0.2,-0.011871844163397326,0.0003,0.008441697,69.26729187965392,0.4644410014152527,31.108938217163086,0.039453125,-1.9296192795038223
159,9728,25.392745910000002,60.0,19,60,180,0.2,-0.0032998168142512442,0.0003,0.0024238708,285.1051839828491,0.00825488567352295,141.63963317871094,0.0,-2.058267578482628
168,10240,26.011626450000005,60.0,20,60,190,0.2,-0.0032774314080597834,0.0003,0.003719622,126.76528749465942,0.3075556755065918,42.91326904296875,0.004296875,-1.9122394621372223
177,10752,26.030664939999998,60.0,21,60,200,0.2,-0.006796153075993061,0.0003,0.0074305683,48.15185232162476,0.4325736165046692,14.186126708984375,0.0306640625,-2.0158236131072043
189,11264,25.600607909999994,60.0,22,59,210,0.2,-0.007099908811505884,0.0003,0.0058539473,211.49404363632203,0.35552310943603516,84.0882797241211,0.015234375,-1.8980402573943138
198,11776,25.856837719999998,60.0,23,59,220,0.2,-0.0036802782386075707,0.0003,0.0017089607,90.59833216667175,0.3751256465911865,30.260414123535156,0.0,-2.0398627266287805
207,12288,28.01072901,60.0,24,59,230,0.2,-0.004824168057530187,0.0003,0.00486268,99.4890995979309,0.28850477933883667,35.84468460083008,0.0087890625,-1.8445949465036393
215,12800,28.96891607,60.0,25,59,240,0.2,-0.004902906494680792,0.0003,0.0030055312,243.71169300079345,0.26973849534988403,136.27552795410156,0.0,-1.9003161862492561
224,13312,30.80759941,60.0,26,59,250,0.2,-0.011610405548708513,0.0003,0.01054583,110.9188726902008,0.33036673069000244,46.4725227355957,0.03203125,-1.9223518431186677
232,13824,32.67173008,60.0,27,59,260,0.2,-0.002847562186070718,0.0003,0.0013357294,241.82058210372924,0.3170495629310608,147.65374755859375,0.001171875,-1.8118664488196372
240,14336,33.44162842,60.0,28,59,270,0.2,-0.0048749506066087635,0.0003,0.0037052063,164.20115041732788,0.3136155605316162,79.5518569946289,0.0,-1.9311600461602212
248,14848,35.23843526,60.0,29,59,280,0.2,-0.0015021439408883452,0.0003,0.0007237727,145.71477117538453,0.4377627372741699,52.48914337158203,0.0,-1.8186295181512833
258,15360,35.798781489999996,60.0,30,59,290,0.2,-0.0014023535419255494,0.0003,0.00405794,65.35026054382324,0.4203331470489502,30.13009262084961,0.009375,-1.7973737239837646
267,15872,37.09423308,60.0,31,59,300,0.2,-0.00572839030646719,0.0003,0.0027039158,375.36149463653567,0.3464524745941162,129.9823760986328,0.0017578125,-1.8438465356826783
276,16384,45.37587493,60.0,32,59,310,0.2,-0.003088218433549628,0.0003,0.003158498,276.85268783569336,0.3856157064437866,165.4718780517578,0.0,-1.9203342273831367
284,16896,41.68908571,60.0,33,59,320,0.2,-0.0013074800372123718,0.0003,0.0010067464,543.7976730346679,0.13831472396850586,234.36036682128906,0.0,-1.8421422243118286
294,17408,48.22327966000001,60.0,34,59,330,0.2,-0.004164199053775519,0.0003,0.0038381307,85.39355516433716,0.508463442325592,55.247859954833984,0.0,-1.9779392078518867
302,17920,49.162188050000005,60.0,35,59,340,0.2,-0.003845916601130739,0.0003,0.0027036401,241.57529335021974,0.40677034854888916,106.79979705810547,0.0,-1.8681563824415206
309,18432,48.17639569999999,60.0,36,59,350,0.2,-0.0028306964522926137,0.0003,0.0016924412,72.36814250946045,0.5988663136959076,23.642349243164062,0.0,-1.9010175436735153
317,18944,52.94143449999999,60.0,37,59,360,0.2,-0.005033861740957946,0.0003,0.004227686,188.85360097885132,0.5204814374446869,77.99942779541016,0.0048828125,-1.8813720226287842
326,19456,55.99505682,60.0,38,59,370,0.2,-0.006017105875071138,0.0003,0.0025766394,498.3423793792725,0.38292795419692993,203.41665649414062,0.0109375,-1.8003567665815354
333,19968,54.16689958999999,60.0,39,59,380,0.2,-0.0034168432932347058,0.0003,0.004263994,309.3285406112671,0.4733172059059143,172.9247589111328,0.021875,-1.6568033054471016
341,20480,60.166425020000005,60.0,40,60,390,0.2,-0.0016194486292079092,0.0003,0.0020155464,162.36078958511354,0.44016557931900024,66.5018081665039,0.000390625,-1.9271177291870116
349,20992,66.9806941,60.0,41,60,400,0.2,-0.00016747094341553747,0.0003,0.00025445817,375.907336807251,0.4820972681045532,157.20904541015625,0.0,-1.8636787727475166
357,21504,64.43874249,60.0,42,60,410,0.2,-0.006165333651006221,0.0003,0.0036261291,329.52507762908937,0.2637634873390198,168.99050903320312,0.0154296875,-1.7930293306708336
366,22016,64.75186953,60.0,43,60,420,0.2,-0.0073933124163886536,0.0003,0.0032318775,159.36487016677856,0.43765801191329956,78.40728759765625,0.0171875,-1.838514359295368
