time/fps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/n_updates
74,1,6,60.0,512,-6.504735375,,,,,,,,,,
74,2,13,60.0,1024,-6.6121166875,0.8111316541209816,0.0003,-0.01912035048007965,0.146484375,0.019622307,-0.019858955149538816,-0.1548711061477661,0.2,-2.475921967625618,10
74,3,20,60.0,1536,-6.552467666666666,0.28136090859770774,0.0003,-0.11956996470689774,0.083984375,0.013664842,-0.013699050270952284,0.39445924758911133,0.2,-2.4641696244478224,20
75,4,27,60.0,2048,-6.545527874999999,0.07461587376892567,0.0003,-0.1311216801404953,0.090234375,0.012544412,-0.01351323090493679,0.336891770362854,0.2,-2.460180789232254,30
70,5,36,60.0,2560,-6.532382349999999,0.05047617207746953,0.0003,-0.12473087757825851,0.0763671875,0.011891686,-0.015240514650940895,-1.1634390354156494,0.2,-2.455253353714943,40
68,6,44,60.0,3072,-6.5280301875,0.042754538625013085,0.0003,-0.11677445471286774,0.0556640625,0.01152148,-0.009629072376992554,-0.9787514209747314,0.2,-2.449747347831726,50
69,7,51,60.0,3584,-6.5147611071428555,0.04066284648142755,0.0003,-0.1346782147884369,0.0677734375,0.011291191,-0.014840018446557223,0.08040815591812134,0.2,-2.444375053048134,60
69,8,58,60.0,4096,-6.504892955882353,0.029084749915637077,0.0003,-0.1335899382829666,0.0931640625,0.0109608555,-0.015839937585406007,0.5356283485889435,0.2,-2.4478680580854415,70
70,9,65,60.0,4608,-6.498600828947367,0.012729635118739679,0.0003,-0.12820324301719666,0.0787109375,0.013417646,-0.019936913438141347,0.8214444369077682,0.2,-2.435347592830658,80
71,10,72,60.0,5120,-6.506177690476187,0.008436855842592194,0.0003,-0.14604304730892181,0.1171875,0.012090607,-0.020482464134693144,0.9240786135196686,0.2,-2.4053198426961897,90
71,11,78,60.0,5632,-6.502385391304347,0.010532666783547029,0.0003,-0.1344001740217209,0.080078125,0.009771569,-0.01399237490259111,0.8988323509693146,0.2,-2.402995651960373,100
72,12,85,60.0,6144,-6.50662056,0.00878982339054346,0.0003,-0.17281627655029297,0.23203125,0.0181037,-0.0272120017092675,0.8883665204048157,0.2,-2.4022563964128496,110
72,13,91,60.0,6656,-6.496416459999998,0.006333607897977345,0.0003,-0.14512281119823456,0.04921875,0.00972118,-0.011498166096862406,0.925463430583477,0.2,-2.405426102876663,120
72,14,98,60.0,7168,-6.476056439999999,0.004798902038601227,0.0003,-0.11712378263473511,0.083984375,0.009964494,-0.01263084280944895,0.9464661739766598,0.2,-2.3932162672281265,130
72,15,105,60.0,7680,-6.46285988,0.006267917109653354,0.0003,-0.1410396695137024,0.07578125,0.010829237,-0.018076258775545286,0.9364202544093132,0.2,-2.3822552472352982,140
72,16,112,60.0,8192,-6.46145031,0.0057626502675702795,0.0003,-0.14170975983142853,0.079296875,0.009587267,-0.015327994164545089,0.9419218339025974,0.2,-2.3644716322422026,150
72,17,119,60.0,8704,-6.43350139,0.00751449772506021,0.0003,-0.15970459580421448,0.1294921875,0.01158849,-0.019340507290326058,0.9255995377898216,0.2,-2.3396664768457414,160
73,18,126,60.0,9216,-6.45671681,0.013412463280837983,0.0003,-0.10119058936834335,0.1130859375,0.01333712,-0.020819797547301278,0.8748855292797089,0.2,-2.321552774310112,170
73,19,132,60.0,9728,-6.429512800000001,0.019648614746984094,0.0003,-0.13795782625675201,0.041015625,0.008409942,-0.008641430886927991,0.7086969912052155,0.2,-2.3172104567289353,180
73,20,139,60.0,10240,-6.4241150099999995,0.009367340273456648,0.0003,-0.15677233040332794,0.10546875,0.01447371,-0.01725605355168227,0.8859918713569641,0.2,-2.2789169758558274,190
73,21,146,60.0,10752,-6.402296950000001,0.01117561741557438,0.0003,-0.14570766687393188,0.0640625,0.010602162,-0.012902287009637803,0.8232053369283676,0.2,-2.2188026756048203,200
