episode,timesteps,episode_reward,episode_length,entropy
1,12,0.3248067978962941,12,2.4775166511535645
2,58,-1.0138604406526297,46,2.4723753929138184
3,62,8.222979449737487,4,2.4764959812164307
4,66,7.1140708809173026,4,2.462169885635376
5,74,7.78671471109339,8,2.47885799407959
6,80,3.741490196488912,6,2.474473714828491
7,140,-15.000145178556874,60,2.4792494773864746
8,166,3.060955817910843,26,2.469719171524048
9,168,1.764187676953312,2,2.476076602935791
10,173,5.904282800506851,5,2.4751105308532715
11,177,9.295216450919595,4,2.4734623432159424
12,193,1.081148217084202,16,2.467437267303467
13,205,3.494391278871672,12,2.4762485027313232
14,227,6.082628603839067,22,2.475680351257324
15,230,3.6864787825341914,3,2.455434560775757
16,290,-19.35968509136788,60,2.4634337425231934
17,303,-0.6849646893313455,13,2.4699912071228027
18,311,1.8683820856496423,8,2.460589647293091
19,320,6.52212765351866,9,2.462144613265991
20,374,-6.174703997464039,54,2.471498727798462
21,392,2.8964390440131993,18,2.463850736618042
22,452,-15.86107816265577,60,2.464564800262451
23,453,5.983151236679375,1,2.454519748687744
24,468,6.703009653116396,15,2.460181474685669
25,480,1.7098287369601297,12,2.453507423400879
26,540,-23.278237446018668,60,2.4508988857269287
27,551,2.4558421436257634,11,2.448411703109741
28,611,-15.629338385740235,60,2.448564291000366
29,621,8.442160041414743,10,2.4496161937713623
30,623,3.6308321270204282,2,2.4397759437561035
31,634,0.7795982093892184,11,2.450850009918213
32,639,3.185489186835796,5,2.4455230236053467
33,645,3.942382383515982,6,2.4398128986358643
34,652,-2.1600896109935293,7,2.4532103538513184
35,653,6.4327270723924475,1,2.4378573894500732
36,656,8.226512896555098,3,2.4383432865142822
37,676,4.6566496902656365,20,2.4344334602355957
38,683,4.403598272950108,7,2.4388575553894043
39,743,-16.418821950898824,60,2.4415786266326904
40,747,6.9973601983199165,4,2.4264256954193115
41,807,-16.13564249062878,60,2.444794178009033
42,830,4.893616900618819,23,2.4208598136901855
43,835,5.08229700062422,5,2.432124376296997
44,838,4.7215516005464915,3,2.4182040691375732
45,840,6.749491190283631,2,2.4283347129821777
46,857,-1.7248078817423307,17,2.4181952476501465
47,859,4.540567628579507,2,2.4209630489349365
48,861,8.346225404674987,2,2.4217798709869385
49,904,-0.31216547187969734,43,2.4464612007141113
50,964,-13.911891962959302,60,2.42138934135437
51,970,5.405443239413732,6,2.4139320850372314
52,1030,-18.81037541535505,60,2.4173715114593506
53,1032,5.306431560310184,2,2.416261911392212
54,1074,0.9019132695238388,42,2.4372174739837646
55,1076,5.986570819555104,2,2.40333890914917
56,1078,3.6728725598343464,2,2.4075112342834473
57,1101,-1.0588384166378981,23,2.4027926921844482
58,1102,7.180330320992847,1,2.41618013381958
59,1104,7.185939206545557,2,2.4138407707214355
60,1123,3.926191449655488,19,2.4062659740448
61,1128,3.5094346184218024,5,2.3742752075195312
62,1188,-17.517274994907154,60,2.3937559127807617
