#{"t_start": 1785359642.888316, "env_id": "None"}
r,l,t
-3.055476,39,10.488125
6.429948,7,12.019433
4.195287,7,14.723489
5.290291,5,16.242604
1.338368,19,24.980261
-22.268273,60,37.378322
3.093503,5,39.66572
1.919616,5,41.536479
8.068859,8,47.324893
4.2533,8,48.987622
8.311441,11,53.767291
-12.957002,60,67.997184
8.870583,2,70.61275
-12.755846,60,78.021078
-0.432831,51,90.452821
-13.59441,60,104.773265
5.090252,6,106.318161
-15.265748,60,113.760298
-8.949544,60,121.330073
-10.561257,60,130.889939
1.276497,9,132.999236
-8.851465,60,141.006146
-10.071212,60,149.802341
-7.229015,60,158.884644
-9.160714,60,166.398481
9.904608,1,167.745511
-64.896826,60,175.254626
6.992908,2,177.870731
7.539433,1,179.260384
-10.843706,60,187.077165
-8.515012,60,196.033495
-9.560108,60,203.86522
-7.70666,60,214.199306
-8.95735,60,229.23302
1.964589,1,230.590393
-8.673832,60,240.320244
-8.598339,60,254.305868
3.249041,1,255.589901
7.852059,1,256.913487
-6.486086,60,272.255393
8.717734,1,273.482315
8.282876,1,274.834379
-76.917887,43,284.024628
-7.472428,60,292.380143
9.17424,1,293.7687
-10.464964,60,303.804672
1.239319,34,308.801527
4.974925,3,312.047595
6.42984,12,313.795693
-8.119231,60,320.888391
7.235071,1,322.247226
-7.042598,60,329.43755
-10.65149,60,336.71864
-7.183708,60,343.891548
-7.911038,60,351.023598
6.989421,5,353.749357
5.997879,13,356.628354
-11.89477,60,363.57907
-11.125534,60,372.260716
-10.948065,60,380.401671
-9.559971,60,391.924821
9.895221,1,393.083844
9.843428,1,394.699352
-7.950454,60,404.609918
2.370316,1,405.669085
-6.352097,60,414.009615
7.560221,1,415.263397
8.986092,1,416.391387
4.713851,1,417.600653
-6.254969,60,424.850461
-9.621367,60,435.43639
-9.303493,60,442.404768
-6.322934,60,449.434987
-9.595967,60,457.490102
4.557082,1,458.747344
-9.42399,60,465.63344
-15.773649,60,473.552856
9.453518,1,474.70087
-9.683045,60,483.654103
4.534979,1,484.843623
6.387739,1,486.057296
8.426442,1,487.180892
-9.60753,60,494.907844
-8.501711,60,501.928664
-7.860364,60,508.749831
-0.069065,33,512.46998
-8.58971,60,519.341671
1.270909,8,520.854854
-7.497317,60,532.497945
-10.09905,60,541.78589
8.317636,1,543.540427
-10.17863,60,555.363492
-6.714576,60,563.159668
-7.245531,60,571.39891
2.751212,1,572.774037
-8.597757,60,581.593382
-11.786849,60,588.643885
-9.499516,60,596.473816
3.143129,19,600.59048
-9.333205,60,607.405566
-9.167808,60,614.081428
-9.044358,60,620.93152
