#{"t_start": 1785359360.8189297, "env_id": "None"}
r,l,t
2.018181,4,2.095801
-18.730852,60,19.748616
3.23076,1,21.202128
-21.486649,60,48.538247
3.563607,27,55.051166
5.291037,4,57.56378
-12.787579,60,77.752476
2.435806,1,79.123348
7.296958,5,80.552601
5.923848,1,81.81123
7.523771,1,83.156715
-105.11752,60,101.379798
8.105472,1,102.796261
8.190176,1,104.104387
-9.849301,60,112.909621
-7.953269,60,120.631818
-9.209664,60,128.226551
2.381017,9,129.881686
-8.869793,60,138.030654
-9.147529,60,145.386564
-8.580328,60,153.409909
-9.54888,60,160.999425
-9.265741,60,168.381516
6.419735,7,169.954226
-0.091039,2,171.367267
-2.234111,38,178.000213
-9.12761,60,185.657839
0.394713,25,189.216972
-5.983707,60,196.583064
-7.878668,60,203.970881
-7.926609,60,211.285512
-5.870527,60,218.789373
-6.915815,60,227.600083
-5.247038,60,235.215627
-9.564194,60,242.802598
-9.937932,60,250.474917
-2.527108,16,252.83532
-7.904467,60,260.328793
