#{"t_start": 1785371308.0560865, "env_id": "None"}
r,l,t
7.615595,1,1.363942
5.923573,6,5.87132
3.908728,15,10.611613
9.411315,3,11.766778
6.639503,1,12.982891
-26.138478,60,26.437566
0.951716,11,28.836392
7.124578,3,29.985094
3.350629,16,37.900597
8.475436,2,39.14554
8.226486,1,40.186105
8.145139,2,41.306565
7.017177,3,42.516309
5.010918,1,43.538901
0.785138,11,48.235282
5.695635,1,50.022007
7.579505,6,51.451509
-0.211217,4,52.69326
8.902968,5,55.754421
-37.373934,60,70.977383
-15.072106,60,87.558328
4.919603,1,88.63141
0.219574,45,96.926457
8.185275,5,99.369248
1.58119,6,100.623578
3.285595,3,102.936434
0.519838,17,105.345807
4.763296,23,116.465068
8.315767,6,121.435154
6.355642,5,122.75692
4.054079,7,127.271662
9.905666,1,128.470096
6.132465,2,129.616822
1.978457,13,134.743788
-8.34139,14,137.454105
-47.355311,60,150.050114
7.596503,4,152.54251
-39.143064,60,166.794134
-36.146979,60,184.797387
0.664022,5,188.022233
-28.524551,60,211.255564
6.601218,2,213.121826
9.490704,3,215.368779
7.216229,6,216.645685
2.495002,2,219.64965
6.838283,6,220.957155
7.297835,3,222.149409
5.511051,2,223.403452
0.830056,1,224.552567
4.325583,2,225.775314
8.249741,1,226.76332
7.147872,1,227.893197
4.546264,10,230.470622
5.143333,5,232.947026
6.941017,1,234.129305
9.20189,1,235.211488
6.012942,3,236.394463
7.960187,1,237.527713
7.791083,7,238.91159
-34.641839,60,252.736185
7.349786,1,254.676231
-44.170861,60,281.826182
3.116976,8,288.499909
3.111239,2,290.387516
5.60921,4,291.664185
9.501746,1,293.595919
-25.951452,60,303.897083
9.579855,2,307.097784
5.383442,1,308.197629
-7.819603,40,322.263354
8.950346,3,323.509663
6.603381,2,325.406569
7.435127,3,327.312048
8.387785,12,334.209885
6.968619,3,335.439976
6.138976,1,336.523836
4.698557,1,338.374853
-21.940548,60,365.918817
9.247544,1,367.12815
7.342782,1,368.239396
5.591882,1,369.455173
4.640481,14,370.991258
4.45868,12,373.744254
2.73695,5,377.176251
-51.013911,60,404.148171
-32.126566,60,419.248567
6.502266,1,420.2984
4.072482,2,421.478345
9.258441,1,422.625588
8.624161,9,424.860178
3.930322,10,426.273668
8.825262,1,427.381291
1.79889,13,428.997007
8.252214,1,430.116573
8.12903,3,431.350688
5.329102,2,433.275515
7.034617,1,435.127326
7.071048,3,437.36229
-22.199145,60,451.406006
5.612527,3,452.585857
6.480955,2,453.812421
-20.26538,60,468.251279
2.97195,7,469.554045
6.539483,6,470.851192
1.665937,2,471.963933
6.261328,3,473.792133
1.343128,2,474.995862
2.798621,12,476.520757
6.490664,4,479.001718
8.139517,2,482.166378
8.33848,3,485.087991
9.716562,2,488.661554
-37.437907,60,518.677371
7.372776,5,519.927849
5.365942,2,520.982445
-43.164349,60,555.877987
4.648496,2,558.881761
3.870666,3,561.711565
-45.069693,60,571.852289
1.504663,1,573.05833
8.499515,1,574.230183
8.675289,3,576.388383
5.613042,6,580.668258
7.338436,1,582.49819
6.34229,3,585.499474
3.361014,5,587.497667
2.254439,10,593.70185
4.065916,2,596.699447
5.338896,5,599.95152
5.07101,3,602.919529
7.739607,1,603.973131
-53.830362,60,623.782918
-10.947911,60,639.032756
-26.257776,60,655.725496
7.592087,3,658.700821
8.247945,1,659.844854
3.440765,11,662.47889
9.045178,1,663.621043
-14.395484,60,673.636195
-22.936525,60,688.793893
4.287565,2,691.031113
7.558005,3,692.302802
8.734861,1,693.376055
6.57544,1,694.543458
7.1942,3,695.794315
6.851638,3,696.991925
5.763417,6,698.23644
0.899331,2,699.43571
-20.882523,60,705.90871
7.274468,1,707.076009
8.46298,4,708.229733
5.586884,3,709.420533
8.384285,1,710.460666
-26.661067,60,721.042785
7.345509,1,722.086764
6.96067,6,724.555354
3.326408,2,725.724531
1.12272,1,726.764969
-32.884028,60,747.599453
4.409761,8,751.239686
-12.196807,60,768.992067
1.852453,1,770.049824
10.038714,2,771.153367
-14.779502,60,797.511093
6.765789,6,798.914649
7.870351,2,800.148506
1.99715,5,802.422601
8.3689,1,804.296308
-33.700406,60,820.116795
5.227439,2,821.269993
1.425981,1,822.417651
2.526876,15,826.334539
5.463874,1,827.500366
-13.310961,60,840.855844
2.539916,2,842.969401
7.88671,2,844.216269
6.1433,5,847.677116
3.792368,7,851.159471
5.034106,1,852.307133
6.327743,2,853.438749
6.513746,1,855.321865
6.281262,5,856.613972
6.987538,11,860.507589
-19.206409,60,873.023597
7.115891,8,875.620905
-5.702775,12,880.453024
-15.389817,60,893.291614
2.481327,1,894.479998
8.65805,1,895.624127
1.995457,10,900.20365
8.263676,1,901.376312
-8.262199,60,919.192582
3.7522,1,920.318527
-1.965699,9,921.766212
-10.282946,60,949.493627
8.140936,1,950.639726
7.864419,1,951.772717
8.876309,1,952.889074
-26.321168,57,961.421071
8.247649,3,965.478165
4.042069,1,966.529081
6.652412,2,968.460842
5.898463,3,969.664239
2.410827,4,970.827872
8.718552,1,972.722174
6.321301,1,973.828557
8.279863,1,974.847466
0.516659,6,979.059156
3.174132,7,981.574961
1.95138,5,982.858634
-55.954103,60,996.531801
-27.97508,60,1017.158493
5.649628,5,1018.447575
-36.966571,60,1039.23626
5.571763,3,1041.579386
-7.304725,60,1050.645418
5.514095,17,1059.624136
5.513102,2,1061.558222
-14.277243,60,1082.194802
3.748693,8,1083.604971
7.911493,1,1084.803676
6.46098,5,1086.039313
-8.835421,60,1104.631516
5.690426,1,1105.811049
8.717004,4,1109.327841
4.77754,1,1111.203342
4.179438,24,1113.990661
-0.213205,14,1117.859054
4.649985,17,1122.43038
7.090051,2,1123.591954
3.634609,2,1124.768737
1.402462,2,1126.9123
8.250817,3,1131.090831
1.376385,20,1143.487562
8.099762,2,1145.366524
9.622703,1,1147.275109
-22.60287,60,1159.222399
3.211524,3,1161.577064
9.117357,1,1162.756776
-33.178456,60,1170.0319
3.909629,16,1171.709262
2.826087,2,1172.888273
9.134789,1,1173.97309
3.626001,3,1175.221842
9.680603,25,1185.826424
6.150743,1,1187.711103
8.300675,1,1188.883597
-1.789189,8,1193.198878
9.907101,1,1194.456486
3.465785,5,1196.388573
-13.719889,60,1207.666731
7.357969,1,1209.604238
7.853609,4,1212.000597
3.97751,2,1213.103678
-12.901089,60,1228.115143
3.795907,1,1229.36243
5.879823,1,1230.576668
0.761062,4,1234.105662
3.69737,5,1237.194968
8.340575,3,1240.374083
5.289267,1,1242.183888
7.418001,1,1243.972432
9.126913,1,1245.117639
8.509437,1,1246.293498
-0.618144,13,1247.855661
3.153225,8,1249.218568
9.906414,1,1250.420978
9.654541,1,1251.582504
