rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
0.9822666666666665,9,4,8.0,4.860418,6,56,,,
0.9417333333333334,15,8,13.0,3.084421125,12,184,,,
0.9252666666666665,13,12,12.833333333333334,2.416279916666667,16,236,0.19949346780776978,0.001,2
0.9011999999999998,14,16,15.3125,1.529164625,22,312,0.28682178258895874,0.001,7
0.8809333333333332,13,20,16.55,0.3298475999999999,27,376,0.3276902735233307,0.001,11
0.8062000000000002,18,24,22.041666666666668,-1.7387662916666666,33,612,0.2477841079235077,0.001,26
0.7909999999999998,17,28,22.321428571428573,-1.5044948214285712,38,660,0.31675654649734497,0.001,29
0.720066666666667,19,32,24.375,-2.2259704375,44,884,0.4726985692977905,0.001,43
0.6997999999999999,19,36,24.0,-1.7529774166666667,49,948,0.11819646507501602,0.001,47
0.6516666666666666,19,40,25.125,-2.280454575,55,1100,0.2819645404815674,0.001,56
0.6098666666666664,19,44,25.77777777777778,-2.398551377777778,61,1232,0.31826251745224,0.001,64
0.5655333333333332,20,48,26.791666666666668,-2.3766169791666667,66,1372,0.0935235470533371,0.001,73
0.48953333333333315,22,52,29.346153846153847,-3.3173730384615387,72,1612,0.12365218251943588,0.001,88
0.45406666666666673,22,56,29.464285714285715,-3.333921446428572,77,1724,0.2288092076778412,0.001,95
0.37806666666666666,23,60,31.5,-3.942529283333334,83,1964,0.1690441519021988,0.001,110
0.31726666666666703,24,64,31.671875,-3.7076381562500003,89,2156,0.040173180401325226,0.001,122
0.29066666666666685,23,68,31.86764705882353,-3.5583574558823527,93,2240,0.1928367167711258,0.001,127
0.25773333333333337,23,72,31.291666666666668,-3.424684888888889,98,2344,0.11083006113767624,0.001,134
0.2083333333333336,23,76,32.03947368421053,-3.528645657894737,104,2500,0.09170518070459366,0.001,144
0.1323333333333334,24,80,32.575,-3.5213430000000003,110,2740,0.12430059909820557,0.001,159
0.10573333333333335,24,84,33.166666666666664,-3.5093378333333343,114,2824,0.14127667248249054,0.001,164
0.05,25,88,34.38636363636363,-4.328911011363636,119,3064,0.2547657787799835,0.001,179
0.05,26,92,34.90217391304348,-4.3638884782608685,125,3292,0.1797717660665512,0.001,193
0.05,26,96,35.333333333333336,-4.282703854166667,130,3484,0.04895402863621712,0.001,205
0.05,26,100,34.55,-3.9818192,133,3532,0.1824745386838913,0.001,208
0.05,26,104,36.63,-4.51266224,139,3772,0.11032553017139435,0.001,223
0.05,27,108,37.18,-4.6544963,144,3968,0.007687665987759829,0.001,235
0.05,27,112,38.02,-4.71171178,148,4028,0.08726537972688675,0.001,239
0.05,27,116,38.51,-4.68010368,154,4208,0.05515219271183014,0.001,250
0.05,27,120,40.05,-4.89053387,160,4448,0.22130966186523438,0.001,265
0.05,27,124,39.32,-4.36426602,165,4544,0.02976328320801258,0.001,271
0.05,27,128,39.15,-4.30614178,170,4656,0.1622399389743805,0.001,278
0.05,26,132,38.28,-3.941244110000001,175,4692,0.1591302752494812,0.001,281
0.05,26,136,38.66,-4.07558723,180,4788,0.23679320514202118,0.001,287
0.05,26,140,39.21,-4.05765104,185,4988,0.046525247395038605,0.001,299
0.05,26,144,38.99,-3.9459912100000003,191,5164,0.17917340993881226,0.001,310
0.05,26,148,38.25,-3.8246761000000005,196,5188,0.13184498250484467,0.001,312
0.05,26,152,38.25,-3.9687163899999995,202,5428,0.1606258898973465,0.001,327
0.05,27,156,39.41,-4.16236426,208,5668,0.08636810630559921,0.001,342
0.05,27,160,38.82,-4.0465477,214,5888,0.18531867861747742,0.001,355
0.05,27,164,38.67,-4.0940793399999995,219,5960,0.139165461063385,0.001,360
0.05,27,168,38.49,-4.17157508,224,6136,0.052540965378284454,0.001,371
0.05,27,172,39.45,-4.29842376,230,6292,0.09291945397853851,0.001,381
0.05,27,176,38.86,-4.07802926,235,6404,0.1573883295059204,0.001,388
0.05,26,180,37.32,-3.7873496099999993,239,6444,0.15343035757541656,0.001,390
0.05,26,184,36.68,-3.60279947,242,6540,0.12265771627426147,0.001,396
0.05,26,188,35.5,-2.7379161700000014,248,6684,0.125706285238266,0.001,405
0.05,26,192,34.36,-2.4356266,253,6720,0.08445940911769867,0.001,407
0.05,26,196,34.36,-2.51838538,259,6936,0.057228703051805496,0.001,421
0.05,26,200,35.54,-2.86934317,264,7112,0.1789705455303192,0.001,432
0.05,26,204,35.06,-2.67883234,270,7264,0.15484607219696045,0.001,441
0.05,27,208,35.6,-2.7464979399999994,276,7496,0.16121011972427368,0.001,456
0.05,27,212,36.13,-3.27391232,282,7656,0.13390114903450012,0.001,466
0.05,27,216,36.54,-4.32491177,288,7832,0.1610531508922577,0.001,477
0.05,27,220,35.95,-4.06665728,294,8004,0.19453534483909607,0.001,488
0.05,26,224,35.33,-3.9486664300000003,299,8076,0.1456034779548645,0.001,492
0.05,26,228,34.74,-3.6947789799999997,301,8084,0.17195528745651245,0.001,493
0.05,26,232,34.69,-3.7026664,306,8148,0.24122390151023865,0.001,497
0.05,26,236,35.28,-4.32518186,310,8328,0.13677994906902313,0.001,508
0.05,26,240,33.95,-3.876008529999999,315,8388,0.14170005917549133,0.001,512
0.05,26,244,33.12,-3.48327097,319,8408,0.12475872039794922,0.001,513
0.05,26,248,32.53,-3.35066299,322,8416,,,
0.05,26,252,31.94,-3.09815001,328,8656,0.15237008035182953,0.001,528
0.05,26,256,32.53,-3.27269146,333,8896,0.11545025557279587,0.001,543
0.05,26,260,31.94,-2.8697902899999996,338,9120,0.11986029893159866,0.001,557
0.05,26,264,32.53,-2.99746213,342,9192,0.10493691265583038,0.001,562
0.05,26,268,33.12,-3.0252550299999994,348,9380,0.13957346975803375,0.001,574
0.05,27,272,32.52,-3.0123374600000004,354,9608,0.0777144581079483,0.001,588
0.05,26,276,32.61,-3.274212220000001,358,9660,0.1674305647611618,0.001,591
0.05,27,280,33.13,-3.3783382,364,9856,0.05865934491157532,0.001,603
0.05,26,284,33.72,-3.467762159999999,369,9900,0.04692286252975464,0.001,606
0.05,26,288,34.31,-3.6120262100000002,375,10108,0.16745786368846893,0.001,619
0.05,26,292,34.82,-3.7038609199999994,379,10156,0.1058153361082077,0.001,622
0.05,26,296,34.24,-3.5915250100000002,385,10364,0.18440614640712738,0.001,635
0.05,26,300,34.1,-3.52281179,389,10456,0.2887714207172394,0.001,641
0.05,26,304,33.7,-3.39621338,395,10640,0.0870850533246994,0.001,652
0.05,26,308,33.11,-3.2886087500000003,401,10828,0.1021033525466919,0.001,664
0.05,26,312,32.46,-2.8242822299999997,406,10884,0.1447315663099289,0.001,668
0.05,26,316,32.12,-1.8130753400000001,412,11076,0.18582908809185028,0.001,680
0.05,26,320,32.19,-2.40043938,417,11228,0.14270536601543427,0.001,689
0.05,26,324,33.37,-2.73986982,423,11424,0.18642167747020721,0.001,701
0.05,26,328,34.39,-3.0613409600000008,429,11560,0.05502849444746971,0.001,710
0.05,26,332,34.39,-2.96183721,434,11604,0.07378803193569183,0.001,713
0.05,26,336,33.8,-2.3402239500000004,439,11716,0.08753905445337296,0.001,720
0.05,26,340,35.57,-2.83751079,445,11956,0.20606525242328644,0.001,735
0.05,26,344,37.58,-3.51299337,451,12196,0.1881176084280014,0.001,750
0.05,27,348,39.94,-4.04992277,458,12436,0.10698122531175613,0.001,765
0.05,27,352,40.39,-3.8645852999999994,463,12628,0.21344026923179626,0.001,777
0.05,27,356,39.99,-3.7041659999999994,469,12860,0.13656938076019287,0.001,791
0.05,27,360,40.58,-3.89740167,476,13100,0.14582300186157227,0.001,806
0.05,27,364,41.17,-4.00376142,482,13340,0.05302349478006363,0.001,821
0.05,27,368,41.76,-4.20560526,488,13580,0.05730022117495537,0.001,836
0.05,27,372,42.35,-4.25836216,494,13804,0.04637826234102249,0.001,850
0.05,27,376,42.85,-4.165971389999999,500,14004,0.03189349174499512,0.001,863
0.05,27,380,43.47,-4.44270506,505,14072,0.042230427265167236,0.001,867
0.05,27,384,44.65,-4.785358349999999,511,14312,0.14339277148246765,0.001,882
0.05,28,388,44.26,-4.67293976,517,14552,0.1458340585231781,0.001,897
0.05,28,392,45.28,-4.9824035900000005,523,14728,0.06793234497308731,0.001,908
0.05,28,396,45.93,-5.0476805,529,14964,0.10727071762084961,0.001,923
