episode,length,success,freeze_attempted,terminal_alpha_deg,terminal_d_mm,total_reward
0,60,False,False,40.63932735423401,59.007246387348445,-5.912000211728593
1,60,False,False,0.3177014997469861,3.70342754893072,-4.061530753531681
2,60,False,False,0.04796433754481683,26.51605251243697,-7.499002776852896
3,60,False,False,0.07455159369900848,5.12236903811958,-5.215173852235663
4,60,False,False,40.86228680111723,76.106063043506,-5.930398858564606
5,60,False,False,0.08071843811171008,87.63225625274336,-6.605415889067082
6,60,False,False,0.3122963683469149,81.27377453163827,-7.867016928241881
7,60,False,False,0.3172668239057329,112.21524615283977,-5.976469290919633
8,60,False,False,0.30010372998979845,93.59241307193473,-6.695455658109061
9,60,False,False,0.10774925609111745,114.74580289330707,-6.880065421426329
10,60,False,False,19.697174384822524,42.88147281857611,-5.651102956150236
11,60,False,False,0.15586491965001206,19.38708676549321,-6.5030013808813845
12,60,False,False,53.66243693743396,93.77793372401172,-5.9584988990184
13,60,False,False,41.51183541347483,82.62080469015046,-5.916173916219124
14,60,False,False,0.04496295088407372,107.71931663883842,-7.182727951657665
15,60,False,False,0.10735271305933944,79.90136514901577,-6.422274272170656
16,60,False,False,0.08033325160006365,117.86218597371848,-6.989223977950367
17,60,False,False,0.1865129699660034,67.60606822656699,-7.407183274607158
18,60,False,False,29.322973495941252,41.97017547587747,-5.873017270767146
19,60,False,False,71.34552344600236,55.784157389840445,-6.029868028759777
20,60,False,False,0.046729223496292945,59.785608047112305,-7.0294713515670715
21,60,False,False,29.570528877966364,26.212244056377067,-5.846590800657456
22,60,False,False,0.08083099065334273,23.621241058231526,-7.620914536817456
23,60,False,False,0.17947388140059048,113.26120162921217,-6.483207772599973
24,60,False,False,0.25299433299971724,78.06802900663145,-6.633392659552962
25,60,False,False,32.49429158457605,38.60412993771456,-5.896119553271966
26,60,False,False,83.31027481226579,131.5478951114931,-6.007613355408531
27,60,False,False,49.28304000692726,102.54048062175704,-5.949339399693819
28,60,False,False,0.3144323728174303,2.753027708116984,-5.042731215745954
29,60,False,False,16.397522482178225,59.304203615836975,-5.478448692560363
30,60,False,False,0.31816458281653365,117.98949390741166,-6.173497449249353
31,60,False,False,0.20641855934619863,18.009271966211937,-5.077809073780077
32,60,False,False,0.11249339873169045,22.3235950464192,-7.090563872032949
33,60,False,False,0.057855250180234526,0.08491022037329464,-3.5703974688725695
34,60,False,False,0.2068987852082147,27.289903384258302,-5.604050619575775
35,60,False,False,19.111638544087917,22.632696065573242,-5.794666129383197
36,60,False,False,52.41698079496521,100.1843227115759,-5.960055285194011
37,60,False,False,0.18483349247665337,23.32697682807303,-5.091675671746499
38,60,False,False,0.07459993534829533,90.53940084609711,-6.245062500599531
39,60,False,False,61.70872568753941,135.90876248640586,-5.983261245935998
40,60,False,False,0.2250913856838333,16.45737731979997,-5.779854451461924
41,60,False,False,0.30258862157402083,16.685987518300216,-5.446206461003088
42,60,False,False,0.31796245178051297,13.576487546275255,-5.415320513013171
43,60,False,False,38.33911878167347,71.59728466997205,-5.9066206823275245
44,60,False,False,0.3176490464527146,84.41329667678843,-5.6577623658563745
45,60,False,False,0.09589111329812565,27.06336508204398,-4.982778593124166
46,60,False,False,0.29373595757361187,5.2731313730158265,-3.5833042234105954
