episode,timesteps,episode_reward,episode_length,entropy
1,60,-10.618587919548553,60,2.4740633964538574
2,120,-22.20339454996705,60,2.4762206077575684
3,180,-10.07213250046099,60,2.4742045402526855
4,240,-10.733616525077117,60,2.476381540298462
5,300,-14.525952153960223,60,2.474672794342041
6,360,-19.543219238644575,60,2.4744908809661865
7,420,-12.202098649499806,60,2.4711482524871826
8,480,-12.04037681772257,60,2.4744296073913574
9,540,-17.98568887645484,60,2.4735260009765625
10,600,-11.985353776069774,60,2.4750165939331055
11,660,-24.010057093274014,60,2.472721576690674
12,720,-10.055174954654323,60,2.474985361099243
13,780,-14.0353788449485,60,2.472482442855835
14,840,-14.079041181019464,60,2.4767892360687256
15,900,-10.053841986045732,60,2.471642017364502
16,960,-12.050534724982334,60,2.4728245735168457
17,1020,-17.89656416777909,60,2.4690639972686768
18,1080,-12.617903028750147,60,2.471798896789551
19,1140,-16.050783987714166,60,2.470057249069214
20,1200,-11.87640669080237,60,2.471518039703369
21,1260,-13.55643301693314,60,2.4703688621520996
22,1320,-10.241614322758602,60,2.4713821411132812
23,1380,-16.1161975238265,60,2.468906879425049
24,1440,-12.004502823043648,60,2.468162775039673
25,1500,-12.01133046151127,60,2.4701738357543945
26,1560,-18.038104382269314,60,2.4732818603515625
27,1620,-11.9894867033461,60,2.4747273921966553
28,1680,-20.102690809423482,60,2.4718778133392334
29,1740,-12.012406823504953,60,2.469376802444458
30,1800,-10.033683603950237,60,2.472633123397827
31,1860,-10.045956525482888,60,2.4688148498535156
32,1920,-12.03545804067508,60,2.475161552429199
33,1980,-14.014835057086895,60,2.473367929458618
34,2040,-12.441395849327796,60,2.4689509868621826
