rollout/exploration_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/loss,train/learning_rate,train/n_updates
0.9556666666666668,8,4,8.0,4.860418,6,56,,,
0.8543333333333336,14,8,13.0,3.084421125,12,184,,,
0.8036666666666668,13,12,13.166666666666666,2.4073818333333334,18,248,0.2193533182144165,0.001,3
0.7529999999999998,12,16,15.375,2.0050570625,24,312,0.353517085313797,0.001,7
0.6991666666666666,12,20,16.75,0.86139645,29,380,0.1254628449678421,0.001,11
0.6326666666666665,13,24,16.291666666666668,1.2020821250000002,35,464,0.34674033522605896,0.001,16
0.5851666666666665,12,28,14.5,1.6792506071428577,41,524,0.282621294260025,0.001,20
0.490166666666667,13,32,18.75,0.4238275625000001,47,644,0.19777131080627441,0.001,28
0.47116666666666696,12,36,17.38888888888889,1.0113080555555554,52,668,0.050225354731082916,0.001,29
0.373,13,40,18.475,0.3583094750000001,59,792,0.2245541512966156,0.001,37
0.2811666666666668,13,44,19.204545454545453,-0.2818127727272726,66,908,0.4190889894962311,0.001,44
0.14500000000000035,14,48,21.083333333333332,-0.6936524166666667,72,1080,0.16154932975769043,0.001,55
0.05,15,52,21.98076923076923,-0.7262180192307692,79,1264,0.06804554164409637,0.001,66
0.05,17,56,24.696428571428573,-1.2928369999999998,86,1504,0.39241236448287964,0.001,81
0.05,17,60,25.1,-1.2601157666666662,91,1604,0.28465768694877625,0.001,88
0.05,18,64,27.28125,-2.1326264531250003,98,1844,0.08921817690134048,0.001,103
0.05,18,68,28.115942028985508,-2.154878811594203,106,1996,0.18418866395950317,0.001,112
0.05,19,72,28.625,-2.1585594722222226,110,2140,0.16256919503211975,0.001,121
0.05,19,76,28.82894736842105,-2.152873355263158,116,2276,0.1913038045167923,0.001,130
0.05,20,80,30.3875,-2.4115192875000004,123,2516,0.10996432602405548,0.001,145
0.05,21,84,31.797619047619047,-3.4196023095238095,130,2756,0.06461470574140549,0.001,160
0.05,21,88,33.07954545454545,-3.626661329545455,138,2996,0.10384345054626465,0.001,175
0.05,21,92,33.52173913043478,-3.546108826086957,144,3180,0.10867186635732651,0.001,186
0.05,21,96,33.4375,-3.4814748229166668,150,3312,0.060723789036273956,0.001,194
0.05,22,100,34.25,-3.61136573,158,3552,0.3558630049228668,0.001,209
0.05,22,104,35.78,-4.03740521,164,3684,0.06609990447759628,0.001,218
0.05,22,108,37.46,-4.41642764,171,3924,0.21910667419433594,0.001,233
0.05,23,112,39.32,-4.7945565100000005,179,4164,0.1875527948141098,0.001,248
0.05,23,116,40.5,-4.999877970000001,186,4404,0.016389690339565277,0.001,263
0.05,23,120,42.01,-5.53969386,193,4644,0.049326442182064056,0.001,278
0.05,24,124,43.85,-6.051677959999999,200,4884,0.15055707097053528,0.001,293
0.05,24,128,45.75,-6.4299287,207,5092,0.047971516847610474,0.001,306
0.05,24,132,46.69,-6.52306604,215,5332,0.10895837098360062,0.001,321
0.05,25,136,48.7,-6.99324653,221,5572,0.004439519718289375,0.001,336
0.05,25,140,48.95,-6.8671077700000005,226,5736,0.006572983227670193,0.001,346
0.05,25,144,49.97,-6.82783532,233,5928,0.04573948681354523,0.001,358
