length,success,freeze_attempted,terminal_d_mm
60,False,False,0.47179382447574275
60,False,False,40.03412147335754
60,False,False,6.771441477915129
60,False,False,72.69342802581836
60,False,False,33.56355916999948
60,False,False,34.51425927289037
60,False,False,6.991389634545943
60,False,False,15.375898682189648
60,False,False,98.6191241972105
60,False,False,8.177366041909838
60,False,False,77.73387704437508
60,False,False,4.350687381502463
60,False,False,28.57760809571916
60,False,False,17.94671252614791
60,False,False,32.46220395823068
60,False,False,124.09556144073012
60,False,False,6.324583509549136
60,False,False,54.70457986139219
60,False,False,12.432656677585241
60,False,False,51.8707487484575
60,False,False,22.688199324729858
60,False,False,25.303119086700796
60,False,False,8.511423380553223
60,False,False,56.142124046069526
60,False,False,28.22040094660566
60,False,False,31.618914572196537
60,False,False,56.455543130680006
60,False,False,23.844507058633567
60,False,False,71.27678013738543
60,False,False,43.052595035763936
60,False,False,2.0379870041098322
60,False,False,4.447299932887443
60,False,False,37.417853127030874
60,False,False,52.225179367064804
60,False,False,18.41215353239793
60,False,False,22.54145577246873
60,False,False,65.27027829546773
60,False,False,43.39721999440658
60,False,False,23.4634747216953
60,False,False,24.354094074174807
60,False,False,52.77936896544406
60,False,False,100.39987794072374
60,False,False,29.908522007194502
60,False,False,0.2999880391989125
60,False,False,35.59800423451814
60,False,False,83.29663443035899
60,False,False,34.26121718121524
60,False,False,61.61724042120627
60,False,False,4.988038022827566
60,False,False,8.164109204446534
60,False,False,78.64072992325023
60,False,False,8.763192591589336
60,False,False,12.870907629803405
60,False,False,15.971944648315612
60,False,False,15.062098216754787
60,False,False,32.96078596840348
60,False,False,7.206585233390763
60,False,False,23.115358111630414
60,False,False,22.06799333868107
60,False,False,19.352159264196157
60,False,False,41.553108355039164
60,False,False,60.48548383412049
60,False,False,1.7911926279830652
60,False,False,3.33003785478906
60,False,False,70.20111684599401
60,False,False,1.2280878776748487
60,False,False,74.85196952779063
60,False,False,33.32818065929764
60,False,False,11.079583458797108
60,False,False,48.07299909399639
60,False,False,36.11094489252425
60,False,False,25.942485449597683
60,False,False,8.081272488809159
60,False,False,7.1826276236332145
60,False,False,15.528467832759508
60,False,False,43.63805286258424
60,False,False,17.88180199872188
60,False,False,25.7376995725442
60,False,False,24.513248022036567
60,False,False,48.84804684650035
60,False,False,42.25517859808481
60,False,False,25.951399207464164
60,False,False,71.51816864093982
60,False,False,32.83068842874886
60,False,False,31.94862216863162
60,False,False,14.95327062344777
60,False,False,17.954759353514092
60,False,False,3.9282928722689445
60,False,False,47.569124214785546
60,False,False,13.183094882385122
60,False,False,11.299869866863272
60,False,False,19.458482288670414
60,False,False,102.32905979345844
60,False,False,1.8355519254148727
60,False,False,22.425625327461425
60,False,False,50.676835264818635
60,False,False,57.38204816102627
60,False,False,30.787797413550948
60,False,False,36.25125671870129
60,False,False,8.899266922221225
