length,success,freeze_attempted,terminal_d_mm
60,False,False,0.47179382447574275
60,False,False,42.136054625400874
60,False,False,13.954393902919954
60,False,False,13.061078140860394
60,False,False,33.56355916999948
60,False,False,34.51425927289037
60,False,False,6.991389634545943
60,False,False,25.42130835702876
60,False,False,2.3156364554516933
60,False,False,17.791605072838216
60,False,False,9.104929445562817
60,False,False,34.65189453504192
60,False,False,28.57760809571916
60,False,False,43.12828040395488
60,False,False,32.46220395823068
60,False,False,48.88508330874179
60,False,False,12.53792948965466
60,False,False,58.620566381422044
60,False,False,12.432656677585241
60,False,False,31.003929476469725
60,False,False,22.688199324729858
60,False,False,24.035893900969796
60,False,False,50.758691366944454
60,False,False,56.142124046069526
60,False,False,28.22040094660566
60,False,False,31.618914572196537
60,False,False,56.455543130680006
60,False,False,23.844507058633567
60,False,False,46.98877673549265
60,False,False,35.1602486225279
60,False,False,11.040522429930158
60,False,False,0.7052358902092868
60,False,False,14.488921065408066
60,False,False,25.365613712966336
60,False,False,18.41215353239793
60,False,False,22.54145577246873
60,False,False,30.688056435003364
60,False,False,43.39721999440658
60,False,False,34.43196733827126
60,False,False,24.354094074174807
60,False,False,37.38220651494143
60,False,False,57.8816634587
60,False,False,32.337207175383526
60,False,False,0.9728763321930172
60,False,False,35.59800423451814
60,False,False,28.405576642060065
60,False,False,30.28189545568308
60,False,False,35.92692661033622
60,False,False,4.988038022827566
60,False,False,0.28577351583359245
60,False,False,20.327593339526985
60,False,False,28.15304086349071
60,False,False,12.870907629803405
60,False,False,15.971944648315612
60,False,False,15.062098216754787
60,False,False,32.96078596840348
60,False,False,7.206585233390763
60,False,False,23.115358111630414
60,False,False,24.75697476716158
60,False,False,41.514515047220215
60,False,False,41.553108355039164
60,False,False,51.13889331939967
60,False,False,1.7911926279830652
60,False,False,38.699734118336
60,False,False,70.20111684599401
60,False,False,1.2280878776748487
60,False,False,59.15405458599779
60,False,False,57.27867806497597
60,False,False,23.113404636766496
60,False,False,48.07299909399639
60,False,False,26.938714631871896
60,False,False,25.942485449597683
60,False,False,11.605586457737692
60,False,False,18.006546347019903
60,False,False,15.528467832759508
60,False,False,30.806231825214635
60,False,False,51.97663515886461
60,False,False,24.64655967061432
60,False,False,24.513248022036567
60,False,False,48.84804684650035
60,False,False,42.25517859808481
60,False,False,67.58976844662867
60,False,False,59.61118036896769
60,False,False,32.83068842874886
60,False,False,21.278630403017672
60,False,False,2.126423947428473
60,False,False,18.64309772099182
60,False,False,13.522952530289498
60,False,False,47.569124214785546
60,False,False,38.5750995492046
60,False,False,24.4731303085614
60,False,False,42.67501432555587
60,False,False,22.140611869997123
60,False,False,66.54119926638886
60,False,False,5.8399389568620546
60,False,False,50.676835264818635
60,False,False,57.38204816102627
60,False,False,48.61788666574111
60,False,False,36.25125671870129
60,False,False,34.541233942085164
