#{"t_start": 1785358127.96242, "env_id": "None"}
r,l,t
2.018181,4,1.661498
-12.769044,60,16.988503
1.991157,14,18.830584
1.381349,7,21.337601
4.921635,17,26.631649
6.565277,27,29.951488
-8.851227,60,41.514274
-14.884652,60,51.809386
2.363649,6,53.203109
-7.857628,60,59.924215
-9.22875,60,69.238536
-8.85407,60,76.008758
-6.614367,60,82.949597
-8.350866,60,89.897551
-10.186022,60,96.859217
-17.708763,60,103.740664
2.020943,34,108.470548
-6.977464,60,117.771539
-8.344121,60,126.009114
-13.925536,60,134.236331
-9.331579,60,141.524269
1.738548,12,148.724914
8.041955,1,149.98707
-8.359652,60,157.101414
-10.279031,60,167.286665
-9.653783,60,174.437653
-7.425724,60,181.62521
-6.571004,60,188.668229
-8.855649,60,195.978166
-9.162073,60,203.120759
-9.157254,60,210.363227
