#{"t_start": 1785358127.96242, "env_id": "None"}
r,l,t
5.575223,14,4.423952
-0.628199,6,5.903918
-7.869697,28,11.671992
2.674094,13,15.70016
5.300527,3,16.982507
-18.319979,60,28.57337
7.254139,6,31.187096
-2.15263,42,38.560643
-10.74996,60,46.504383
3.650154,8,49.111227
0.237928,31,54.800786
-7.826148,60,62.822782
-8.820434,60,70.893717
-9.911105,60,77.775272
-9.469292,60,84.662284
-10.512836,60,91.810448
-10.400177,60,99.807341
-8.042196,60,106.574539
-11.382977,60,115.938915
-6.152372,60,122.841048
7.160613,16,124.613335
-9.056947,60,131.811658
7.986822,1,133.014283
-7.083871,60,140.330252
7.029776,1,141.524269
2.103847,2,144.500305
8.376019,1,145.863461
3.296691,1,147.153645
-15.722175,60,155.67772
-9.486659,60,165.64382
-7.943081,60,172.932079
-8.679243,60,179.9529
-8.394145,60,187.096386
-9.009065,60,194.377361
-9.011925,60,201.624928
-8.181626,60,208.869918
-7.769253,60,216.139536
